Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,10-06-2017,,,,,,,,
Gegevens beschikbaar:,14-04-1981,tot:,13-07-1998,,,,,,,,
Datum: ,10-06-2017,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B24F0113,001,24FL0019,99540,496120,,,14-04-1981,28-12-1998,730,,330,230


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B24F0113,001,14-04-1981,371,,359,,,,,,
B24F0113,001,14-05-1981,386,,344,,,,,,
B24F0113,001,14-06-1981,400,,330,,,,,,
B24F0113,001,14-07-1981,405,,325,,,,,,
B24F0113,001,14-08-1981,410,,320,,,,,,
B24F0113,001,15-09-1981,415,,315,,,,,,
B24F0113,001,15-10-1981,403,,327,,,,,,
B24F0113,001,13-11-1981,373,,357,,,,,,
B24F0113,001,15-12-1981,359,,371,,,,,,
B24F0113,001,14-01-1982,351,,379,,,,,,
B24F0113,001,14-02-1982,353,,377,,,,,,
B24F0113,001,15-03-1982,363,,367,,,,,,
B24F0113,001,14-04-1982,371,,359,,,,,,
B24F0113,001,14-05-1982,384,,346,,,,,,
B24F0113,001,14-06-1982,383,,347,,,,,,
B24F0113,001,14-07-1982,390,,340,,,,,,
B24F0113,001,14-08-1982,363,,367,,,,,,
B24F0113,001,14-09-1982,412,,318,,,,,,
B24F0113,001,14-10-1982,403,,327,,,,,,
B24F0113,001,14-11-1982,392,,338,,,,,,
B24F0113,001,14-12-1982,385,,345,,,,,,
B24F0113,001,14-01-1983,374,,356,,,,,,
B24F0113,001,15-02-1983,363,,367,,,,,,
B24F0113,001,14-03-1983,362,,368,,,,,,
B24F0113,001,14-04-1983,360,,370,,,,,,
B24F0113,001,14-05-1983,343,,387,,,,,,
B24F0113,001,14-06-1983,340,,390,,,,,,
B24F0113,001,14-07-1983,358,,372,,,,,,
B24F0113,001,14-09-1983,368,,362,,,,,,
B24F0113,001,14-10-1983,365,,365,,,,,,
B24F0113,001,14-11-1983,377,,353,,,,,,
B24F0113,001,14-12-1983,361,,369,,,,,,
B24F0113,001,14-01-1984,356,,374,,,,,,
B24F0113,001,14-02-1984,334,,396,,,,,,
B24F0113,001,14-03-1984,331,,399,,,,,,
B24F0113,001,14-04-1984,342,,388,,,,,,
B24F0113,001,14-05-1984,354,,376,,,,,,
B24F0113,001,14-06-1984,354,,376,,,,,,
B24F0113,001,14-07-1984,361,,369,,,,,,
B24F0113,001,14-08-1984,372,,358,,,,,,
B24F0113,001,14-09-1984,376,,354,,,,,,
B24F0113,001,14-10-1984,369,,361,,,,,,
B24F0113,001,14-11-1984,375,,355,,,,,,
B24F0113,001,14-12-1984,362,,368,,,,,,
B24F0113,001,14-02-1985,352,,378,,,,,,
B24F0113,001,14-03-1985,355,,375,,,,,,
B24F0113,001,14-04-1985,365,,365,,,,,,
B24F0113,001,14-05-1985,372,,358,,,,,,
B24F0113,001,14-07-1985,381,,349,,,,,,
B24F0113,001,14-08-1985,371,,359,,,,,,
B24F0113,001,14-09-1985,378,,352,,,,,,
B24F0113,001,14-10-1985,387,,343,,,,,,
B24F0113,001,14-11-1985,388,,342,,,,,,
B24F0113,001,14-12-1985,384,,346,,,,,,
B24F0113,001,14-01-1986,359,,371,,,,,,
B24F0113,001,14-02-1986,349,,381,,,,,,
B24F0113,001,14-03-1986,355,,375,,,,,,
B24F0113,001,14-04-1986,363,,367,,,,,,
B24F0113,001,14-05-1986,371,,359,,,,,,
B24F0113,001,14-06-1986,382,,348,,,,,,
B24F0113,001,14-07-1986,392,,338,,,,,,
B24F0113,001,14-08-1986,397,,333,,,,,,
B24F0113,001,14-10-1986,381,,349,,,,,,
B24F0113,001,14-11-1986,385,,345,,,,,,
B24F0113,001,14-12-1986,380,,350,,,,,,
B24F0113,001,14-01-1987,355,,375,,,,,,
B24F0113,001,14-02-1987,350,,380,,,,,,
B24F0113,001,14-03-1987,352,,378,,,,,,
B24F0113,001,14-04-1987,358,,372,,,,,,
B24F0113,001,14-05-1987,362,,368,,,,,,
B24F0113,001,14-06-1987,372,,358,,,,,,
B24F0113,001,14-07-1987,381,,349,,,,,,
B24F0113,001,14-08-1987,332,,398,,,,,,
B24F0113,001,14-09-1987,343,,387,,,,,,
B24F0113,001,14-10-1987,352,,378,,,,,,
B24F0113,001,14-11-1987,355,,375,,,,,,
B24F0113,001,14-12-1987,336,,394,,,,,,
B24F0113,001,14-01-1988,321,,409,,,,,,
B24F0113,001,14-02-1988,296,,434,,,,,,
B24F0113,001,14-03-1988,295,,435,,,,,,
B24F0113,001,14-04-1988,299,,431,,,,,,
B24F0113,001,14-05-1988,315,,415,,,,,,
B24F0113,001,14-06-1988,329,,401,,,,,,
B24F0113,001,14-07-1988,337,,393,,,,,,
B24F0113,001,14-09-1988,356,,374,,,,,,
B24F0113,001,14-10-1988,351,,379,,,,,,
B24F0113,001,14-11-1988,363,,367,,,,,,
B24F0113,001,14-12-1988,359,,371,,,,,,
B24F0113,001,10-01-1989,357,,373,,,,,,
B24F0113,001,10-02-1990,380,,350,,,,,,
B24F0113,001,12-03-1990,368,,362,,,,,,
B24F0113,001,12-05-1990,382,,348,,,,,,
B24F0113,001,12-06-1990,392,,338,,,,,,
B24F0113,001,11-09-1990,416,,314,,,,,,
B24F0113,001,12-10-1990,419,,311,,,,,,
B24F0113,001,11-11-1990,409,,321,,,,,,
B24F0113,001,11-12-1990,390,,340,,,,,,
B24F0113,001,11-01-1991,386,,344,,,,,,
B24F0113,001,13-03-1991,387,,343,,,,,,
B24F0113,001,12-04-1991,398,,332,,,,,,
B24F0113,001,13-05-1991,403,,327,,,,,,
B24F0113,001,12-07-1991,403,,327,,,,,,
B24F0113,001,12-08-1991,412,,318,,,,,,
B24F0113,001,12-10-1991,445,,285,,,,,,
B24F0113,001,11-11-1991,409,,321,,,,,,
B24F0113,001,12-12-1991,426,,304,,,,,,
B24F0113,001,11-01-1992,398,,332,,,,,,
B24F0113,001,11-02-1992,396,,334,,,,,,
B24F0113,001,12-03-1992,398,,332,,,,,,
B24F0113,001,11-04-1992,397,,333,,,,,,
B24F0113,001,12-05-1992,400,,330,,,,,,
