Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B24F0029,001,24FP0029,99590,487860,723,,731,-3677,-3777,1960/06/22,2004/11/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B24F0029,001,1960/09/28 00:00:00,753,
B24F0029,001,1960/10/28 00:00:00,744,
B24F0029,001,1960/11/28 00:00:00,714,
B24F0029,001,1960/12/28 00:00:00,699,
B24F0029,001,1961/01/28 00:00:00,711,
B24F0029,001,1961/02/28 00:00:00,706,
B24F0029,001,1961/03/28 00:00:00,703,
B24F0029,001,1961/04/28 00:00:00,710,
B24F0029,001,1961/05/27 00:00:00,723,
B24F0029,001,1961/06/28 00:00:00,741,
B24F0029,001,1961/07/28 00:00:00,733,
B24F0029,001,1961/08/28 00:00:00,732,
B24F0029,001,1961/09/28 00:00:00,726,
B24F0029,001,1961/10/30 00:00:00,712,
B24F0029,001,1961/11/28 00:00:00,699,
B24F0029,001,1962/01/29 00:00:00,694,
B24F0029,001,1962/02/28 00:00:00,704,
B24F0029,001,1962/03/28 00:00:00,700,
B24F0029,001,1962/05/01 00:00:00,700,
B24F0029,001,1962/05/28 00:00:00,702,
B24F0029,001,1962/06/28 00:00:00,719,
B24F0029,001,1962/07/27 00:00:00,722,
B24F0029,001,1962/08/28 00:00:00,718,
B24F0029,001,1962/09/28 00:00:00,720,
B24F0029,001,1962/10/29 00:00:00,713,
B24F0029,001,1962/11/28 00:00:00,722,
B24F0029,001,1962/12/28 00:00:00,716,
B24F0029,001,1963/01/28 00:00:00,750,
B24F0029,001,1963/02/28 00:00:00,760,
B24F0029,001,1963/03/28 00:00:00,741,
B24F0029,001,1963/04/29 00:00:00,744,
B24F0029,001,1963/06/04 00:00:00,761,
B24F0029,001,1963/06/28 00:00:00,734,
B24F0029,001,1963/07/29 00:00:00,752,
B24F0029,001,1963/08/28 00:00:00,769,
B24F0029,001,1963/09/30 00:00:00,737,
B24F0029,001,1963/10/28 00:00:00,742,
B24F0029,001,1963/11/28 00:00:00,719,
B24F0029,001,1963/12/24 00:00:00,736,
B24F0029,001,1964/01/28 00:00:00,741,
B24F0029,001,1964/02/28 00:00:00,755,
B24F0029,001,1964/03/26 00:00:00,760,
B24F0029,001,1964/04/04 00:00:00,759,
B24F0029,001,1964/05/28 00:00:00,766,
B24F0029,001,1964/06/28 00:00:00,769,
B24F0029,001,1964/07/28 00:00:00,786,
B24F0029,001,1964/08/28 00:00:00,773,
B24F0029,001,1964/09/28 00:00:00,763,
B24F0029,001,1964/10/28 00:00:00,777,
B24F0029,001,1964/12/01 00:00:00,777,
B24F0029,001,1965/01/28 00:00:00,756,
B24F0029,001,1965/03/01 00:00:00,752,
B24F0029,001,1965/03/29 00:00:00,756,
B24F0029,001,1965/04/28 00:00:00,753,
B24F0029,001,1965/05/28 00:00:00,753,
B24F0029,001,1965/06/28 00:00:00,770,
B24F0029,001,1965/07/28 00:00:00,757,
B24F0029,001,1965/08/30 00:00:00,761,
B24F0029,001,1965/10/14 00:00:00,765,
B24F0029,001,1965/10/28 00:00:00,766,
B24F0029,001,1965/11/29 00:00:00,755,
B24F0029,001,1965/12/28 00:00:00,730,
B24F0029,001,1966/01/28 00:00:00,740,
B24F0029,001,1966/02/28 00:00:00,735,
B24F0029,001,1966/03/28 00:00:00,732,
B24F0029,001,1966/04/28 00:00:00,745,
B24F0029,001,1966/05/27 00:00:00,758,
B24F0029,001,1966/06/29 00:00:00,758,
B24F0029,001,1966/07/29 00:00:00,762,
B24F0029,001,1966/08/29 00:00:00,767,
B24F0029,001,1966/09/28 00:00:00,768,
B24F0029,001,1966/10/28 00:00:00,762,
B24F0029,001,1966/11/28 00:00:00,751,
B24F0029,001,1966/12/28 00:00:00,720,
B24F0029,001,1967/01/30 00:00:00,728,
B24F0029,001,1967/02/28 00:00:00,730,
B24F0029,001,1967/03/28 00:00:00,717,
