Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,10-06-2017,,,,,,,,
Gegevens beschikbaar:,14-02-1992,tot:,13-09-1996,,,,,,,,
Datum: ,10-06-2017,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B25A1361,004,25AP0126,104120,495565,377,15-06-1991,14-07-1991,14-09-1996,372,-5,-1610,-1710


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B25A1361,004,14-02-1992,485,490,-113,,,,,,
B25A1361,004,28-02-1992,485,490,-113,,,,,,
B25A1361,004,14-03-1992,496,501,-124,,,,,,
B25A1361,004,28-03-1992,501,506,-129,,,,,,
B25A1361,004,14-04-1992,527,532,-155,,,,,,
B25A1361,004,28-04-1992,530,535,-158,,,,,,
B25A1361,004,14-05-1992,530,535,-158,,,,,,
B25A1361,004,28-05-1992,580,585,-208,,,,,,
B25A1361,004,15-06-1992,545,550,-173,,,,,,
B25A1361,004,30-06-1992,594,599,-222,,,,,,
B25A1361,004,28-08-1992,517,522,-145,,,,,,
B25A1361,004,15-09-1992,507,512,-135,,,,,,
B25A1361,004,28-09-1992,502,507,-130,,,,,,
B25A1361,004,14-10-1992,508,513,-136,,,,,,
B25A1361,004,28-10-1992,487,492,-115,,,,,,
B25A1361,004,12-11-1992,484,489,-112,,,,,,
B25A1361,004,27-11-1992,476,481,-104,,,,,,
B25A1361,004,15-12-1992,487,492,-115,,,,,,
B25A1361,004,29-12-1992,478,483,-106,,,,,,
B25A1361,004,15-01-1993,469,474,-97,,,,,,
B25A1361,004,29-01-1993,472,477,-100,,,,,,
B25A1361,004,16-02-1993,491,496,-119,,,,,,
B25A1361,004,02-03-1993,468,473,-96,,,,,,
B25A1361,004,16-03-1993,477,482,-105,,,,,,
B25A1361,004,30-03-1993,482,487,-110,,,,,,
B25A1361,004,15-04-1993,483,488,-111,,,,,,
B25A1361,004,28-04-1993,493,498,-121,,,,,,
B25A1361,004,14-05-1993,493,498,-121,,,,,,
B25A1361,004,28-05-1993,513,518,-141,,,,,,
B25A1361,004,15-06-1993,551,556,-179,,,,,,
B25A1361,004,29-06-1993,563,568,-191,,,,,,
