Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,10-06-2017,,,,,,,,
Gegevens beschikbaar:,28-03-1960,tot:,28-08-1980,,,,,,,,
Datum: ,10-06-2017,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B24F0100,001,24FL0007,99040,491270,235,28-03-1960,28-03-1960,14-06-1963,255,20,-145,-195
B24F0100,001,24FL0007,99040,491270,221,14-06-1963,14-06-1963,24-04-1972,249,28,-151,-201
B24F0100,001,24FL0007,99040,491270,219,24-04-1972,24-04-1972,14-10-1980,224,5,-176,-226


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B24F0100,001,28-03-1960,150,130,105,,,,,,
B24F0100,001,14-04-1960,156,136,99,,,,,,
B24F0100,001,28-04-1960,160,140,95,,,,,,
B24F0100,001,14-05-1960,166,146,89,,,,,,
B24F0100,001,28-05-1960,170,150,85,,,,,,
B24F0100,001,14-06-1960,172,152,83,,,,,,
B24F0100,001,28-06-1960,176,156,79,,,,,,
B24F0100,001,14-07-1960,180,160,75,,,,,,
B24F0100,001,28-07-1960,180,160,75,,,,,,
B24F0100,001,15-08-1960,181,161,74,,,,,,
B24F0100,001,29-08-1960,176,156,79,,,,,,
B24F0100,001,14-09-1960,160,140,95,,,,,,
B24F0100,001,28-09-1960,162,142,93,,,,,,
B24F0100,001,14-10-1960,160,140,95,,,,,,
B24F0100,001,28-10-1960,155,135,100,,,,,,
B24F0100,001,14-11-1960,139,119,116,,,,,,
B24F0100,001,28-11-1960,128,108,127,,,,,,
B24F0100,001,14-12-1960,100,80,155,,,,,,
B24F0100,001,28-12-1960,104,84,151,,,,,,
B24F0100,001,14-01-1961,97,77,158,,,,,,
B24F0100,001,28-01-1961,97,77,158,,,,,,
B24F0100,001,14-02-1961,88,68,167,,,,,,
B24F0100,001,28-02-1961,92,72,163,,,,,,
B24F0100,001,14-03-1961,100,80,155,,,,,,
B24F0100,001,28-03-1961,103,83,152,,,,,,
B24F0100,001,14-04-1961,105,85,150,,,,,,
B24F0100,001,28-04-1961,109,89,146,,,,,,
B24F0100,001,16-05-1961,115,95,140,,,,,,
B24F0100,001,29-05-1961,120,100,135,,,,,,
B24F0100,001,14-06-1961,125,105,130,,,,,,
B24F0100,001,28-06-1961,131,111,124,,,,,,
B24F0100,001,14-07-1961,138,118,117,,,,,,
B24F0100,001,28-07-1961,141,121,114,,,,,,
B24F0100,001,14-08-1961,145,125,110,,,,,,
B24F0100,001,28-08-1961,148,128,107,,,,,,
B24F0100,001,14-09-1961,138,118,117,,,,,,
B24F0100,001,28-09-1961,143,123,112,,,,,,
B24F0100,001,14-10-1961,148,128,107,,,,,,
B24F0100,001,30-10-1961,125,105,130,,,,,,
B24F0100,001,14-11-1961,116,96,139,,,,,,
B24F0100,001,30-11-1961,120,100,135,,,,,,
B24F0100,001,14-12-1961,102,82,153,,,,,,
B24F0100,001,29-12-1961,100,80,155,,,,,,
B24F0100,001,15-01-1962,95,75,160,,,,,,
B24F0100,001,29-01-1962,95,75,160,,,,,,
B24F0100,001,14-02-1962,94,74,161,,,,,,
B24F0100,001,28-02-1962,100,80,155,,,,,,
B24F0100,001,14-03-1962,105,85,150,,,,,,
B24F0100,001,28-03-1962,108,88,147,,,,,,
B24F0100,001,14-04-1962,97,77,158,,,,,,
B24F0100,001,28-04-1962,102,82,153,,,,,,
B24F0100,001,14-05-1962,110,90,145,,,,,,
B24F0100,001,28-05-1962,112,92,143,,,,,,
B24F0100,001,14-06-1962,121,101,134,,,,,,
B24F0100,001,28-06-1962,128,108,127,,,,,,
B24F0100,001,14-07-1962,132,112,123,,,,,,
B24F0100,001,28-07-1962,136,116,119,,,,,,
B24F0100,001,14-08-1962,138,118,117,,,,,,
B24F0100,001,28-08-1962,140,120,115,,,,,,
B24F0100,001,14-09-1962,139,119,116,,,,,,
B24F0100,001,28-09-1962,142,122,113,,,,,,
B24F0100,001,15-10-1962,139,119,116,,,,,,
B24F0100,001,14-11-1962,151,131,104,,,,,,
B24F0100,001,28-11-1962,144,124,111,,,,,,
B24F0100,001,14-12-1962,145,125,110,,,,,,
B24F0100,001,14-03-1963,152,132,103,,,,,,
B24F0100,001,28-03-1963,144,124,111,,,,,,
B24F0100,001,16-04-1963,149,129,106,,,,,,
B24F0100,001,29-04-1963,155,135,100,,,,,,
B24F0100,001,14-05-1963,154,134,101,,,,,,
B24F0100,001,28-05-1963,152,132,103,,,,,,
B24F0100,001,14-06-1963,158,130,91,,,,,,
B24F0100,001,28-06-1963,159,131,90,,,,,,
B24F0100,001,15-07-1963,162,134,87,,,,,,
B24F0100,001,28-07-1963,165,137,84,,,,,,
B24F0100,001,14-08-1963,167,139,82,,,,,,
B24F0100,001,28-08-1963,170,142,79,,,,,,
B24F0100,001,16-09-1963,159,131,90,,,,,,
B24F0100,001,28-09-1963,158,130,91,,,,,,
B24F0100,001,14-10-1963,155,127,94,,,,,,
B24F0100,001,28-10-1963,156,128,93,,,,,,
B24F0100,001,14-11-1963,158,130,91,,,,,,
B24F0100,001,28-11-1963,125,97,124,,,,,,
B24F0100,001,14-12-1963,133,105,116,,,,,,
B24F0100,001,28-12-1963,139,111,110,,,,,,
B24F0100,001,14-01-1964,144,116,105,,,,,,
B24F0100,001,28-01-1964,147,119,102,,,,,,
B24F0100,001,14-02-1964,150,122,99,,,,,,
B24F0100,001,28-02-1964,153,125,96,,,,,,
B24F0100,001,14-03-1964,160,132,89,,,,,,
B24F0100,001,28-03-1964,162,134,87,,,,,,
B24F0100,001,14-04-1964,162,134,87,,,,,,
B24F0100,001,28-04-1964,164,136,85,,,,,,
B24F0100,001,14-05-1964,165,137,84,,,,,,
B24F0100,001,28-05-1964,168,140,81,,,,,,
B24F0100,001,14-06-1964,173,145,76,,,,,,
B24F0100,001,29-06-1964,175,147,74,,,,,,
B24F0100,001,14-07-1964,178,150,71,,,,,,
B24F0100,001,28-07-1964,181,153,68,,,,,,
B24F0100,001,14-08-1964,182,154,67,,,,,,
B24F0100,001,28-08-1964,172,144,77,,,,,,
B24F0100,001,14-09-1964,178,150,71,,,,,,
B24F0100,001,28-09-1964,182,154,67,,,,,,
B24F0100,001,13-10-1964,182,154,67,,,,,,
B24F0100,001,28-10-1964,166,138,83,,,,,,
B24F0100,001,14-11-1964,163,135,86,,,,,,
B24F0100,001,27-11-1964,163,135,86,,,,,,
B24F0100,001,14-12-1964,159,131,90,,,,,,
B24F0100,001,28-12-1964,155,127,94,,,,,,
B24F0100,001,14-01-1965,151,123,98,,,,,,
B24F0100,001,28-01-1965,146,118,103,,,,,,
B24F0100,001,14-02-1965,146,118,103,,,,,,
B24F0100,001,28-02-1965,152,124,97,,,,,,
B24F0100,001,14-03-1965,160,132,89,,,,,,
B24F0100,001,28-03-1965,160,132,89,,,,,,
B24F0100,001,14-04-1965,165,137,84,,,,,,
B24F0100,001,28-04-1965,162,134,87,,,,,,
B24F0100,001,14-05-1965,149,121,100,,,,,,
B24F0100,001,28-05-1965,145,117,104,,,,,,
B24F0100,001,14-06-1965,160,132,89,,,,,,
B24F0100,001,28-06-1965,164,136,85,,,,,,
B24F0100,001,14-07-1965,168,140,81,,,,,,
B24F0100,001,28-07-1965,164,136,85,,,,,,
B24F0100,001,14-08-1965,165,137,84,,,,,,
B24F0100,001,28-08-1965,168,140,81,,,,,,
B24F0100,001,14-09-1965,142,114,107,,,,,,
B24F0100,001,28-09-1965,143,115,106,,,,,,
B24F0100,001,14-10-1965,143,115,106,,,,,,
B24F0100,001,28-10-1965,149,121,100,,,,,,
B24F0100,001,15-11-1965,154,126,95,,,,,,
B24F0100,001,28-11-1965,155,127,94,,,,,,
B24F0100,001,14-12-1965,119,91,130,,,,,,
B24F0100,001,28-12-1965,108,80,141,,,,,,
B24F0100,001,14-01-1966,106,78,143,,,,,,
B24F0100,001,28-01-1966,118,90,131,,,,,,
B24F0100,001,14-02-1966,112,84,137,,,,,,
B24F0100,001,28-02-1966,107,79,142,,,,,,
B24F0100,001,14-03-1966,109,81,140,,,,,,
B24F0100,001,28-03-1966,115,87,134,,,,,,
B24F0100,001,14-06-1966,55,27,194,,,,,,
B24F0100,001,28-06-1966,75,47,174,,,,,,
B24F0100,001,14-07-1966,125,97,124,,,,,,
B24F0100,001,28-07-1966,138,110,111,,,,,,
B24F0100,001,14-08-1966,144,116,105,,,,,,
B24F0100,001,28-08-1966,149,121,100,,,,,,
B24F0100,001,14-09-1966,153,125,96,,,,,,
B24F0100,001,28-09-1966,155,127,94,,,,,,
B24F0100,001,14-10-1966,158,130,91,,,,,,
B24F0100,001,28-10-1966,158,130,91,,,,,,
B24F0100,001,14-11-1966,152,124,97,,,,,,
B24F0100,001,28-11-1966,134,106,115,,,,,,
B24F0100,001,28-12-1966,100,72,149,,,,,,
B24F0100,001,14-01-1967,98,70,151,,,,,,
B24F0100,001,28-01-1967,102,74,147,,,,,,
B24F0100,001,14-02-1967,104,76,145,,,,,,
B24F0100,001,28-02-1967,102,74,147,,,,,,
B24F0100,001,14-03-1967,105,77,144,,,,,,
B24F0100,001,28-03-1967,110,82,139,,,,,,
B24F0100,001,14-04-1967,114,86,135,,,,,,
B24F0100,001,28-04-1967,117,89,132,,,,,,
B24F0100,001,14-05-1967,124,96,125,,,,,,
B24F0100,001,28-05-1967,125,97,124,,,,,,
B24F0100,001,14-06-1967,134,106,115,,,,,,
B24F0100,001,28-06-1967,138,110,111,,,,,,
B24F0100,001,14-07-1967,145,117,104,,,,,,
