Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,10-06-2017,,,,,,,,
Gegevens beschikbaar:,14-01-1974,tot:,20-12-2002,,,,,,,,
Datum: ,10-06-2017,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B25B1021,002,25BP0043,113277,487557,-388,14-01-1974,14-01-1974,13-06-1983,-303,85,-2339,-2439
B25B1021,002,25BP0043,113277,487557,-391,13-06-1983,13-06-1983,20-12-2002,-314,77,-2339,-2439


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B25B1021,002,14-01-1974,8,-77,-311,,,,,,
B25B1021,002,28-01-1974,6,-79,-309,,,,,,
B25B1021,002,15-02-1974,8,-77,-311,,,,,,
B25B1021,002,26-02-1974,23,-62,-326,,,,,,
B25B1021,002,27-02-1974,27,-58,-330,,,,,,
B25B1021,002,13-03-1974,22,-63,-325,,,,,,
B25B1021,002,27-03-1974,22,-63,-325,,,,,,
B25B1021,002,17-04-1974,37,-48,-340,,,,,,
B25B1021,002,16-05-1974,39,-46,-342,,,,,,
B25B1021,002,15-07-1974,47,-38,-350,,,,,,
B25B1021,002,19-08-1974,62,-23,-365,,,,,,
B25B1021,002,28-08-1974,103,18,-406,,,,,,
B25B1021,002,13-09-1974,95,10,-398,,,,,,
B25B1021,002,27-09-1974,86,1,-389,,,,,,
B25B1021,002,14-10-1974,78,-7,-381,,,,,,
B25B1021,002,28-10-1974,66,-19,-369,,,,,,
B25B1021,002,15-11-1974,80,-5,-383,,,,,,
B25B1021,002,28-11-1974,71,-14,-374,,,,,,
B25B1021,002,13-12-1974,75,-10,-378,,,,,,
B25B1021,002,14-01-1975,65,-20,-368,,,,,,
B25B1021,002,28-01-1975,63,-22,-366,,,,,,
B25B1021,002,14-02-1975,66,-19,-369,,,,,,
B25B1021,002,28-02-1975,78,-7,-381,,,,,,
B25B1021,002,13-03-1975,79,-6,-382,,,,,,
B25B1021,002,27-03-1975,62,-23,-365,,,,,,
B25B1021,002,14-04-1975,60,-25,-363,,,,,,
B25B1021,002,25-04-1975,70,-15,-373,,,,,,
B25B1021,002,16-05-1975,73,-12,-376,,,,,,
B25B1021,002,28-05-1975,75,-10,-378,,,,,,
B25B1021,002,13-06-1975,83,-2,-386,,,,,,
B25B1021,002,27-06-1975,85,0,-388,,,,,,
B25B1021,002,14-07-1975,101,16,-404,,,,,,
B25B1021,002,28-07-1975,91,6,-394,,,,,,
B25B1021,002,14-08-1975,103,18,-406,,,,,,
B25B1021,002,27-08-1975,100,15,-403,,,,,,
B25B1021,002,12-09-1975,93,8,-396,,,,,,
B25B1021,002,26-09-1975,87,2,-390,,,,,,
B25B1021,002,13-10-1975,85,0,-388,,,,,,
B25B1021,002,28-10-1975,88,3,-391,,,,,,
B25B1021,002,14-11-1975,90,5,-393,,,,,,
B25B1021,002,28-11-1975,59,-26,-362,,,,,,
B25B1021,002,12-12-1975,75,-10,-378,,,,,,
B25B1021,002,13-01-1976,26,-59,-329,,,,,,
B25B1021,002,27-01-1976,26,-59,-329,,,,,,
B25B1021,002,16-02-1976,35,-50,-338,,,,,,
B25B1021,002,26-02-1976,36,-49,-339,,,,,,
B25B1021,002,15-03-1976,29,-56,-332,,,,,,
B25B1021,002,28-03-1976,34,-51,-337,,,,,,
B25B1021,002,14-04-1976,38,-47,-341,,,,,,
B25B1021,002,29-04-1976,40,-45,-343,,,,,,
B25B1021,002,17-05-1976,44,-41,-347,,,,,,
B25B1021,002,26-05-1976,49,-36,-352,,,,,,
B25B1021,002,14-06-1976,55,-30,-358,,,,,,
B25B1021,002,29-06-1976,65,-20,-368,,,,,,
B25B1021,002,28-07-1976,103,18,-406,,,,,,
B25B1021,002,13-08-1976,99,14,-402,,,,,,
B25B1021,002,26-08-1976,71,-14,-374,,,,,,
B25B1021,002,14-09-1976,58,-27,-361,,,,,,
B25B1021,002,27-09-1976,63,-22,-366,,,,,,
B25B1021,002,14-10-1976,56,-29,-359,,,,,,
B25B1021,002,29-10-1976,52,-33,-355,,,,,,
B25B1021,002,15-11-1976,62,-23,-365,,,,,,
B25B1021,002,29-11-1976,55,-30,-358,,,,,,
B25B1021,002,13-12-1976,46,-39,-349,,,,,,
B25B1021,002,27-12-1976,42,-43,-345,,,,,,
B25B1021,002,13-01-1977,37,-48,-340,,,,,,
B25B1021,002,27-01-1977,39,-46,-342,,,,,,
B25B1021,002,28-02-1977,50,-35,-353,,,,,,
B25B1021,002,14-03-1977,44,-41,-347,,,,,,
B25B1021,002,15-04-1977,42,-43,-345,,,,,,
B25B1021,002,28-04-1977,42,-43,-345,,,,,,
B25B1021,002,13-05-1977,42,-43,-345,,,,,,
B25B1021,002,27-05-1977,57,-28,-360,,,,,,
B25B1021,002,17-06-1977,59,-26,-362,,,,,,
B25B1021,002,01-07-1977,59,-26,-362,,,,,,
B25B1021,002,13-07-1977,64,-21,-367,,,,,,
B25B1021,002,29-07-1977,61,-24,-364,,,,,,
B25B1021,002,17-08-1977,58,-27,-361,,,,,,
B25B1021,002,29-08-1977,55,-30,-358,,,,,,
B25B1021,002,28-09-1977,57,-28,-360,,,,,,
B25B1021,002,15-10-1977,54,-31,-357,,,,,,
B25B1021,002,26-10-1977,53,-32,-356,,,,,,
B25B1021,002,15-11-1977,33,-52,-336,,,,,,
B25B1021,002,29-11-1977,36,-49,-339,,,,,,
B25B1021,002,15-12-1977,36,-49,-339,,,,,,
B25B1021,002,28-12-1977,25,-60,-328,,,,,,
B25B1021,002,16-01-1978,25,-60,-328,,,,,,
B25B1021,002,31-01-1978,31,-54,-334,,,,,,
B25B1021,002,14-02-1978,28,-57,-331,,,,,,
B25B1021,002,28-02-1978,27,-58,-330,,,,,,
B25B1021,002,16-03-1978,19,-66,-322,,,,,,
B25B1021,002,29-03-1978,23,-62,-326,,,,,,
B25B1021,002,14-04-1978,22,-63,-325,,,,,,
B25B1021,002,02-05-1978,24,-61,-327,,,,,,
B25B1021,002,17-05-1978,34,-51,-337,,,,,,
B25B1021,002,30-05-1978,51,-34,-354,,,,,,
B25B1021,002,14-06-1978,58,-27,-361,,,,,,
B25B1021,002,29-06-1978,40,-45,-343,,,,,,
B25B1021,002,12-07-1978,32,-53,-335,,,,,,
B25B1021,002,17-08-1978,45,-40,-348,,,,,,
B25B1021,002,29-08-1978,37,-48,-340,,,,,,
B25B1021,002,13-09-1978,25,-60,-328,,,,,,
B25B1021,002,27-09-1978,18,-67,-321,,,,,,
B25B1021,002,12-10-1978,16,-69,-319,,,,,,
B25B1021,002,27-10-1978,12,-73,-315,,,,,,
B25B1021,002,15-11-1978,3,-82,-306,,,,,,
B25B1021,002,29-11-1978,0,-85,-303,,,,,,
B25B1021,002,15-12-1978,11,-74,-314,,,,,,
B25B1021,002,17-01-1979,-5,-90,-298,,,,,,
B25B1021,002,05-03-1979,-3,-88,-300,,,,,,
B25B1021,002,14-03-1979,-5,-90,-298,,,,,,
B25B1021,002,03-04-1979,-3,-88,-300,,,,,,
B25B1021,002,18-04-1979,6,-79,-309,,,,,,
B25B1021,002,02-05-1979,-4,-89,-299,,,,,,
B25B1021,002,15-05-1979,3,-82,-306,,,,,,
B25B1021,002,29-05-1979,3,-82,-306,,,,,,
B25B1021,002,15-06-1979,-3,-88,-300,,,,,,
B25B1021,002,25-07-1979,12,-73,-315,,,,,,
B25B1021,002,17-08-1979,13,-72,-316,,,,,,
B25B1021,002,29-08-1979,16,-69,-319,,,,,,
B25B1021,002,12-09-1979,14,-71,-317,,,,,,
B25B1021,002,28-09-1979,15,-70,-318,,,,,,
B25B1021,002,17-10-1979,12,-73,-315,,,,,,
B25B1021,002,30-10-1979,8,-77,-311,,,,,,
B25B1021,002,19-11-1979,-2,-87,-301,,,,,,
B25B1021,002,29-11-1979,0,-85,-303,,,,,,
B25B1021,002,18-12-1979,-14,-99,-289,,,,,,
B25B1021,002,18-01-1980,-10,-95,-293,,,,,,
B25B1021,002,31-01-1980,-15,-100,-288,,,,,,
B25B1021,002,18-02-1980,-8,-93,-295,,,,,,
B25B1021,002,04-03-1980,-3,-88,-300,,,,,,
B25B1021,002,17-03-1980,-10,-95,-293,,,,,,
B25B1021,002,31-03-1980,-6,-91,-297,,,,,,
B25B1021,002,17-04-1980,-4,-89,-299,,,,,,
B25B1021,002,13-05-1980,7,-78,-310,,,,,,
B25B1021,002,29-05-1980,9,-76,-312,,,,,,
B25B1021,002,13-06-1980,15,-70,-318,,,,,,
B25B1021,002,25-06-1980,9,-76,-312,,,,,,
B25B1021,002,01-08-1980,6,-79,-309,,,,,,
B25B1021,002,15-08-1980,9,-76,-312,,,,,,
B25B1021,002,29-08-1980,10,-75,-313,,,,,,
B25B1021,002,17-09-1980,9,-76,-312,,,,,,
B25B1021,002,01-10-1980,11,-74,-314,,,,,,
B25B1021,002,15-10-1980,4,-81,-307,,,,,,
