Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,10-06-2017,,,,,,,,
Gegevens beschikbaar:,11-09-1957,tot:,28-07-1988,,,,,,,,
Datum: ,10-06-2017,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B25B0289,002,25BP0289,113800,497775,-120,01-01-1957,09-04-1957,01-01-1962,-95,25,-3320,-3420
B25B0289,002,25BP0289,113800,497775,-120,01-01-1957,01-01-1962,14-08-1988,-90,30,-3320,-3420


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B25B0289,002,11-09-1957,201,176,-296,,,,,,
B25B0289,002,24-09-1957,193,168,-288,,,,,,
B25B0289,002,24-10-1957,198,173,-293,,,,,,
B25B0289,002,08-11-1957,190,165,-285,,,,,,
B25B0289,002,19-11-1957,179,154,-274,,,,,,
B25B0289,002,16-12-1957,180,155,-275,,,,,,
B25B0289,002,13-01-1958,176,151,-271,,,,,,
B25B0289,002,31-01-1958,178,153,-273,,,,,,
B25B0289,002,12-02-1958,170,145,-265,,,,,,
B25B0289,002,03-03-1958,172,147,-267,,,,,,
B25B0289,002,20-03-1958,170,145,-265,,,,,,
B25B0289,002,31-03-1958,169,144,-264,,,,,,
B25B0289,002,11-04-1958,172,147,-267,,,,,,
B25B0289,002,13-05-1958,174,149,-269,,,,,,
B25B0289,002,09-06-1958,180,155,-275,,,,,,
B25B0289,002,20-06-1958,178,153,-273,,,,,,
B25B0289,002,26-06-1958,179,154,-274,,,,,,
B25B0289,002,09-07-1958,178,153,-273,,,,,,
B25B0289,002,25-07-1958,180,155,-275,,,,,,
B25B0289,002,05-08-1958,178,153,-273,,,,,,
B25B0289,002,22-08-1958,178,153,-273,,,,,,
B25B0289,002,12-09-1958,176,151,-271,,,,,,
B25B0289,002,25-09-1958,174,149,-269,,,,,,
B25B0289,002,09-10-1958,176,151,-271,,,,,,
B25B0289,002,22-10-1958,176,151,-271,,,,,,
B25B0289,002,07-11-1958,168,143,-263,,,,,,
B25B0289,002,05-12-1958,165,140,-260,,,,,,
B25B0289,002,18-12-1958,160,135,-255,,,,,,
B25B0289,002,23-01-1959,156,131,-251,,,,,,
B25B0289,002,06-02-1959,162,137,-257,,,,,,
B25B0289,002,23-02-1959,170,145,-265,,,,,,
B25B0289,002,06-03-1959,171,146,-266,,,,,,
B25B0289,002,23-03-1959,166,141,-261,,,,,,
B25B0289,002,08-04-1959,161,136,-256,,,,,,
B25B0289,002,22-04-1959,159,134,-254,,,,,,
B25B0289,002,12-05-1959,160,135,-255,,,,,,
B25B0289,002,26-05-1959,161,136,-256,,,,,,
B25B0289,002,05-06-1959,163,138,-258,,,,,,
B25B0289,002,18-06-1959,170,145,-265,,,,,,
B25B0289,002,29-06-1959,174,149,-269,,,,,,
B25B0289,002,08-07-1959,173,148,-268,,,,,,
B25B0289,002,21-07-1959,180,155,-275,,,,,,
