Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,10-06-2017,,,,,,,,
Gegevens beschikbaar:,15-10-1990,tot:,31-05-2016,,,,,,,,
Datum: ,10-06-2017,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B25A1322,001,25AP1322,101950,491450,1316,01-01-1990,14-09-1990,31-05-2016,1381,65,-384,-484


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B25A1322,001,15-10-1990,1055,990,326,,,,,,
B25A1322,001,29-10-1990,1056,991,325,,,,,,
B25A1322,001,14-11-1990,1048,983,333,,,,,,
B25A1322,001,28-11-1990,1036,971,345,,,,,,
B25A1322,001,14-12-1990,1028,963,353,,,,,,
B25A1322,001,28-12-1990,1024,959,357,,,,,,
B25A1322,001,14-01-1991,1020,955,361,,,,,,
B25A1322,001,28-01-1991,1019,954,362,,,,,,
B25A1322,001,14-02-1991,1026,961,355,,,,,,
B25A1322,001,28-02-1991,1030,965,351,,,,,,
B25A1322,001,14-03-1991,1027,962,354,,,,,,
B25A1322,001,28-03-1991,1031,966,350,,,,,,
B25A1322,001,15-04-1991,1035,970,346,,,,,,
B25A1322,001,26-04-1991,1037,972,344,,,,,,
B25A1322,001,14-05-1991,1040,975,341,,,,,,
B25A1322,001,28-05-1991,1047,982,334,,,,,,
B25A1322,001,14-06-1991,1049,984,332,,,,,,
B25A1322,001,28-06-1991,1043,978,338,,,,,,
B25A1322,001,14-07-1991,1047,982,334,,,,,,
B25A1322,001,29-07-1991,1043,978,338,,,,,,
B25A1322,001,14-08-1991,1041,976,340,,,,,,
B25A1322,001,28-08-1991,1050,985,331,,,,,,
B25A1322,001,14-09-1991,1040,975,341,,,,,,
B25A1322,001,27-09-1991,1050,985,331,,,,,,
B25A1322,001,14-10-1991,1036,971,345,,,,,,
B25A1322,001,28-10-1991,1035,970,346,,,,,,
B25A1322,001,14-11-1991,1028,963,353,,,,,,
B25A1322,001,28-11-1991,1022,957,359,,,,,,
B25A1322,001,14-12-1991,1023,958,358,,,,,,
B25A1322,001,24-12-1991,1023,958,358,,,,,,
