Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B24F0043,001,24FP0043,99880,497070,405,,437,-2195,-2295,1968/02/20,2005/04/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B24F0043,001,1975/06/03 00:00:00,608,
B24F0043,001,1975/06/13 00:00:00,663,
B24F0043,001,1975/06/27 00:00:00,648,
B24F0043,001,1975/07/14 00:00:00,598,
B24F0043,001,1975/07/28 00:00:00,604,
B24F0043,001,1975/08/15 00:00:00,654,
B24F0043,001,1975/08/28 00:00:00,643,
B24F0043,001,1975/09/15 00:00:00,548,
B24F0043,001,1975/09/29 00:00:00,533,
B24F0043,001,1975/10/14 00:00:00,598,
B24F0043,001,1975/10/28 00:00:00,573,
B24F0043,001,1975/11/15 00:00:00,590,
B24F0043,001,1975/11/28 00:00:00,602,
B24F0043,001,1975/12/15 00:00:00,552,
B24F0043,001,1975/12/29 00:00:00,502,
B24F0043,001,1976/01/14 00:00:00,549,
B24F0043,001,1976/01/28 00:00:00,559,
B24F0043,001,1976/02/13 00:00:00,538,
B24F0043,001,1976/03/01 00:00:00,440,
B24F0043,001,1976/03/16 00:00:00,514,
B24F0043,001,1976/03/29 00:00:00,436,
B24F0043,001,1976/04/14 00:00:00,544,
B24F0043,001,1976/04/28 00:00:00,446,
B24F0043,001,1976/05/14 00:00:00,483,
B24F0043,001,1976/05/28 00:00:00,448,
B24F0043,001,1976/06/14 00:00:00,431,
B24F0043,001,1976/06/28 00:00:00,448,
B24F0043,001,1976/07/14 00:00:00,448,
B24F0043,001,1976/07/28 00:00:00,448,
B24F0043,001,1976/08/16 00:00:00,458,
B24F0043,001,1976/08/27 00:00:00,468,
B24F0043,001,1976/09/14 00:00:00,434,
B24F0043,001,1976/09/28 00:00:00,441,
B24F0043,001,1976/10/14 00:00:00,452,
B24F0043,001,1976/10/28 00:00:00,456,
B24F0043,001,1976/11/15 00:00:00,454,
B24F0043,001,1976/11/29 00:00:00,368,
B24F0043,001,1976/12/14 00:00:00,460,
B24F0043,001,1976/12/28 00:00:00,398,
B24F0043,001,1977/01/14 00:00:00,443,
B24F0043,001,1977/01/28 00:00:00,407,
B24F0043,001,1977/02/14 00:00:00,426,
B24F0043,001,1977/02/28 00:00:00,428,
B24F0043,001,1977/03/14 00:00:00,396,
B24F0043,001,1977/03/28 00:00:00,430,
B24F0043,001,1977/04/14 00:00:00,401,
B24F0043,001,1977/04/28 00:00:00,428,
B24F0043,001,1977/05/13 00:00:00,457,
B24F0043,001,1977/05/27 00:00:00,453,
B24F0043,001,1977/06/15 00:00:00,456,
B24F0043,001,1977/06/28 00:00:00,424,
B24F0043,001,1977/07/15 00:00:00,460,
B24F0043,001,1977/07/28 00:00:00,457,
B24F0043,001,1977/08/15 00:00:00,451,
B24F0043,001,1977/08/30 00:00:00,415,
B24F0043,001,1977/09/14 00:00:00,458,
B24F0043,001,1977/09/28 00:00:00,458,
B24F0043,001,1977/10/14 00:00:00,465,
B24F0043,001,1977/10/28 00:00:00,433,
B24F0043,001,1977/11/14 00:00:00,388,
