Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,10-06-2017,,,,,,,,
Gegevens beschikbaar:,28-04-1989,tot:,31-05-2016,,,,,,,,
Datum: ,10-06-2017,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B25A1269,003,25AP1269,109075,494200,-79,09-11-1988,28-04-1989,16-02-1995,-89,-10,-3089,-3189
B25A1269,003,25AP1269,109075,494200,-79,09-11-1988,16-02-1995,31-05-2016,-92,-13,-3089,-3189


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B25A1269,003,28-04-1989,56,66,-145,,,,,,
B25A1269,003,16-05-1989,66,76,-155,,,,,,
B25A1269,003,29-05-1989,64,74,-153,,,,,,
B25A1269,003,14-06-1989,62,72,-151,,,,,,
B25A1269,003,26-06-1989,56,66,-145,,,,,,
B25A1269,003,14-07-1989,60,70,-149,,,,,,
B25A1269,003,28-07-1989,54,64,-143,,,,,,
B25A1269,003,14-08-1989,54,64,-143,,,,,,
B25A1269,003,28-08-1989,54,64,-143,,,,,,
B25A1269,003,14-09-1989,51,61,-140,,,,,,
B25A1269,003,28-09-1989,45,55,-134,,,,,,
B25A1269,003,16-10-1989,48,58,-137,,,,,,
B25A1269,003,30-10-1989,45,55,-134,,,,,,
B25A1269,003,15-11-1989,44,54,-133,,,,,,
B25A1269,003,28-11-1989,44,54,-133,,,,,,
B25A1269,003,14-12-1989,40,50,-129,,,,,,
B25A1269,003,28-12-1989,51,61,-140,,,,,,
B25A1269,003,15-01-1990,49,59,-138,,,,,,
B25A1269,003,29-01-1990,51,61,-140,,,,,,
B25A1269,003,14-02-1990,48,58,-137,,,,,,
B25A1269,003,28-02-1990,48,58,-137,,,,,,
B25A1269,003,14-03-1990,66,76,-155,,,,,,
B25A1269,003,28-03-1990,55,65,-144,,,,,,
B25A1269,003,12-04-1990,56,66,-145,,,,,,
B25A1269,003,15-04-1990,56,66,-145,,,,,,
B25A1269,003,27-04-1990,56,66,-145,,,,,,
B25A1269,003,28-05-1990,58,68,-147,,,,,,
B25A1269,003,14-06-1990,54,64,-143,,,,,,
B25A1269,003,28-06-1990,56,66,-145,,,,,,
B25A1269,003,13-07-1990,52,62,-141,,,,,,
B25A1269,003,30-07-1990,62,72,-151,,,,,,
B25A1269,003,14-08-1990,52,62,-141,,,,,,
B25A1269,003,28-08-1990,50,60,-139,,,,,,
B25A1269,003,14-09-1990,54,64,-143,,,,,,
B25A1269,003,01-10-1990,48,58,-137,,,,,,
B25A1269,003,15-10-1990,46,56,-135,,,,,,
B25A1269,003,29-10-1990,48,58,-137,,,,,,
B25A1269,003,14-11-1990,40,50,-129,,,,,,
B25A1269,003,28-11-1990,40,50,-129,,,,,,
B25A1269,003,14-12-1990,43,53,-132,,,,,,
B25A1269,003,28-12-1990,47,57,-136,,,,,,
B25A1269,003,14-01-1991,56,66,-145,,,,,,
B25A1269,003,28-01-1991,55,65,-144,,,,,,
B25A1269,003,28-02-1991,63,73,-152,,,,,,
B25A1269,003,14-03-1991,58,68,-147,,,,,,
B25A1269,003,28-03-1991,62,72,-151,,,,,,
B25A1269,003,15-04-1991,70,80,-159,,,,,,
B25A1269,003,26-04-1991,54,64,-143,,,,,,
B25A1269,003,14-05-1991,64,74,-153,,,,,,
B25A1269,003,28-05-1991,63,73,-152,,,,,,
B25A1269,003,14-06-1991,66,76,-155,,,,,,
B25A1269,003,28-06-1991,60,70,-149,,,,,,
B25A1269,003,15-07-1991,62,72,-151,,,,,,
B25A1269,003,29-07-1991,52,62,-141,,,,,,
B25A1269,003,14-08-1991,68,78,-157,,,,,,
B25A1269,003,28-08-1991,70,80,-159,,,,,,
B25A1269,003,13-09-1991,64,74,-153,,,,,,
B25A1269,003,27-09-1991,52,62,-141,,,,,,
B25A1269,003,14-10-1991,52,62,-141,,,,,,
B25A1269,003,28-10-1991,58,68,-147,,,,,,
B25A1269,003,14-11-1991,48,58,-137,,,,,,
B25A1269,003,28-11-1991,56,66,-145,,,,,,
B25A1269,003,13-12-1991,58,68,-147,,,,,,
B25A1269,003,30-12-1991,57,67,-146,,,,,,
B25A1269,003,14-01-1992,50,60,-139,,,,,,
B25A1269,003,28-01-1992,60,70,-149,,,,,,
B25A1269,003,14-02-1992,60,70,-149,,,,,,
B25A1269,003,28-02-1992,58,68,-147,,,,,,
B25A1269,003,13-03-1992,56,66,-145,,,,,,
B25A1269,003,27-03-1992,69,79,-158,,,,,,
B25A1269,003,14-04-1992,61,71,-150,,,,,,
B25A1269,003,28-04-1992,59,69,-148,,,,,,
B25A1269,003,14-05-1992,66,76,-155,,,,,,
B25A1269,003,29-05-1992,62,72,-151,,,,,,
B25A1269,003,15-06-1992,68,78,-157,,,,,,
B25A1269,003,29-06-1992,66,76,-155,,,,,,
B25A1269,003,14-07-1992,58,68,-147,,,,,,
B25A1269,003,28-07-1992,62,72,-151,,,,,,
B25A1269,003,13-08-1992,62,72,-151,,,,,,
B25A1269,003,28-08-1992,54,64,-143,,,,,,
B25A1269,003,14-09-1992,54,64,-143,,,,,,
B25A1269,003,28-09-1992,54,64,-143,,,,,,
B25A1269,003,14-10-1992,58,68,-147,,,,,,
B25A1269,003,28-10-1992,50,60,-139,,,,,,
B25A1269,003,13-11-1992,52,62,-141,,,,,,
B25A1269,003,30-11-1992,52,62,-141,,,,,,
B25A1269,003,14-12-1992,50,60,-139,,,,,,
