Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,10-06-2017,,,,,,,,
Gegevens beschikbaar:,14-01-1974,tot:,20-12-2002,,,,,,,,
Datum: ,10-06-2017,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B25B1007,002,25BP0028,110408,492158,-257,16-01-1968,16-01-1968,14-01-1974,-261,,-2398,-2498
B25B1007,002,25BP0028,110408,492158,-318,14-01-1974,14-01-1974,19-01-1982,-230,88,-2398,-2498
B25B1007,002,25BP0028,110408,492158,-318,14-01-1974,19-01-1982,13-06-1983,-230,,-2398,-2498
B25B1007,002,25BP0028,110408,492158,-323,13-06-1983,13-06-1983,22-04-1993,-231,92,-2398,-2498
B25B1007,002,25BP0028,110408,492158,-323,13-06-1983,22-04-1993,10-01-1995,-243,92,-2398,-2498
B25B1007,002,25BP0028,110408,492158,-323,13-06-1983,10-01-1995,29-03-2001,-255,,-2398,-2498
B25B1007,002,25BP0028,110408,492158,-323,13-06-1983,29-03-2001,20-12-2002,-198,,-2398,-2498


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B25B1007,002,14-01-1974,41,-47,-271,,,,,,
B25B1007,002,28-01-1974,43,-45,-273,,,,,,
B25B1007,002,15-02-1974,45,-43,-275,,,,,,
B25B1007,002,26-02-1974,56,-32,-286,,,,,,
B25B1007,002,13-03-1974,49,-39,-279,,,,,,
B25B1007,002,27-03-1974,53,-35,-283,,,,,,
B25B1007,002,17-04-1974,67,-21,-297,,,,,,
B25B1007,002,26-04-1974,62,-26,-292,,,,,,
B25B1007,002,15-05-1974,64,-24,-294,,,,,,
B25B1007,002,28-05-1974,65,-23,-295,,,,,,
B25B1007,002,14-06-1974,70,-18,-300,,,,,,
B25B1007,002,28-06-1974,70,-18,-300,,,,,,
B25B1007,002,15-07-1974,71,-17,-301,,,,,,
B25B1007,002,29-07-1974,74,-14,-304,,,,,,
B25B1007,002,14-08-1974,70,-18,-300,,,,,,
B25B1007,002,28-08-1974,76,-12,-306,,,,,,
B25B1007,002,13-09-1974,104,16,-334,,,,,,
B25B1007,002,27-09-1974,60,-28,-290,,,,,,
B25B1007,002,14-10-1974,49,-39,-279,,,,,,
B25B1007,002,28-10-1974,39,-49,-269,,,,,,
B25B1007,002,15-11-1974,43,-45,-273,,,,,,
B25B1007,002,28-11-1974,34,-54,-264,,,,,,
B25B1007,002,13-12-1974,35,-53,-265,,,,,,
B25B1007,002,14-01-1975,63,-25,-293,,,,,,
B25B1007,002,28-01-1975,61,-27,-291,,,,,,
B25B1007,002,14-02-1975,67,-21,-297,,,,,,
B25B1007,002,28-02-1975,54,-34,-284,,,,,,
B25B1007,002,13-03-1975,57,-31,-287,,,,,,
B25B1007,002,27-03-1975,45,-43,-275,,,,,,
B25B1007,002,14-04-1975,48,-40,-278,,,,,,
B25B1007,002,25-04-1975,52,-36,-282,,,,,,
B25B1007,002,16-05-1975,53,-35,-283,,,,,,
B25B1007,002,28-05-1975,60,-28,-290,,,,,,
B25B1007,002,13-06-1975,61,-27,-291,,,,,,
B25B1007,002,27-06-1975,66,-22,-296,,,,,,
B25B1007,002,14-07-1975,75,-13,-305,,,,,,
B25B1007,002,28-07-1975,71,-17,-301,,,,,,
B25B1007,002,14-08-1975,78,-10,-308,,,,,,
B25B1007,002,27-08-1975,78,-10,-308,,,,,,
B25B1007,002,12-09-1975,73,-15,-303,,,,,,
B25B1007,002,26-09-1975,65,-23,-295,,,,,,
B25B1007,002,13-10-1975,65,-23,-295,,,,,,
B25B1007,002,28-10-1975,66,-22,-296,,,,,,
B25B1007,002,14-11-1975,64,-24,-294,,,,,,
B25B1007,002,28-11-1975,55,-33,-285,,,,,,
B25B1007,002,12-12-1975,53,-35,-283,,,,,,
B25B1007,002,13-01-1976,47,-41,-277,,,,,,
B25B1007,002,27-01-1976,46,-42,-276,,,,,,
B25B1007,002,16-02-1976,51,-37,-281,,,,,,
B25B1007,002,26-02-1976,58,-30,-288,,,,,,
B25B1007,002,15-03-1976,55,-33,-285,,,,,,
B25B1007,002,28-03-1976,63,-25,-293,,,,,,
B25B1007,002,14-04-1976,61,-27,-291,,,,,,
B25B1007,002,29-04-1976,66,-22,-296,,,,,,
B25B1007,002,17-05-1976,72,-16,-302,,,,,,
B25B1007,002,26-05-1976,76,-12,-306,,,,,,
B25B1007,002,14-06-1976,84,-4,-314,,,,,,
B25B1007,002,29-06-1976,88,0,-318,,,,,,
B25B1007,002,28-07-1976,86,-2,-316,,,,,,
B25B1007,002,13-08-1976,83,-5,-313,,,,,,
B25B1007,002,26-08-1976,90,2,-320,,,,,,
B25B1007,002,14-09-1976,82,-6,-312,,,,,,
B25B1007,002,27-09-1976,77,-11,-307,,,,,,
B25B1007,002,13-10-1976,69,-19,-299,,,,,,
B25B1007,002,29-10-1976,73,-15,-303,,,,,,
B25B1007,002,15-11-1976,79,-9,-309,,,,,,
B25B1007,002,29-11-1976,68,-20,-298,,,,,,
B25B1007,002,13-12-1976,71,-17,-301,,,,,,
B25B1007,002,27-12-1976,63,-25,-293,,,,,,
B25B1007,002,13-01-1977,60,-28,-290,,,,,,
B25B1007,002,27-01-1977,58,-30,-288,,,,,,
B25B1007,002,15-02-1977,67,-21,-297,,,,,,
B25B1007,002,28-02-1977,69,-19,-299,,,,,,
B25B1007,002,14-03-1977,66,-22,-296,,,,,,
B25B1007,002,15-04-1977,68,-20,-298,,,,,,
B25B1007,002,28-04-1977,71,-17,-301,,,,,,
B25B1007,002,13-05-1977,69,-19,-299,,,,,,
B25B1007,002,27-05-1977,79,-9,-309,,,,,,
B25B1007,002,17-06-1977,85,-3,-315,,,,,,
B25B1007,002,01-07-1977,86,-2,-316,,,,,,
B25B1007,002,13-07-1977,89,1,-319,,,,,,
B25B1007,002,29-07-1977,90,2,-320,,,,,,
B25B1007,002,17-08-1977,81,-7,-311,,,,,,
B25B1007,002,30-08-1977,85,-3,-315,,,,,,
B25B1007,002,28-09-1977,83,-5,-313,,,,,,
B25B1007,002,15-10-1977,78,-10,-308,,,,,,
B25B1007,002,26-10-1977,75,-13,-305,,,,,,
B25B1007,002,15-11-1977,52,-36,-282,,,,,,
B25B1007,002,28-11-1977,73,-15,-303,,,,,,
B25B1007,002,15-12-1977,61,-27,-291,,,,,,
B25B1007,002,28-12-1977,50,-38,-280,,,,,,
B25B1007,002,16-01-1978,49,-39,-279,,,,,,
B25B1007,002,31-01-1978,59,-29,-289,,,,,,
B25B1007,002,14-02-1978,57,-31,-287,,,,,,
B25B1007,002,28-02-1978,51,-37,-281,,,,,,
B25B1007,002,16-03-1978,50,-38,-280,,,,,,
B25B1007,002,29-03-1978,51,-37,-281,,,,,,
B25B1007,002,14-04-1978,56,-32,-286,,,,,,
B25B1007,002,02-05-1978,62,-26,-292,,,,,,
B25B1007,002,17-05-1978,61,-27,-291,,,,,,
B25B1007,002,30-05-1978,69,-19,-299,,,,,,
B25B1007,002,14-06-1978,77,-11,-307,,,,,,
B25B1007,002,29-06-1978,73,-15,-303,,,,,,
B25B1007,002,12-07-1978,54,-34,-284,,,,,,
B25B1007,002,17-08-1978,73,-15,-303,,,,,,
B25B1007,002,29-08-1978,71,-17,-301,,,,,,
B25B1007,002,13-09-1978,66,-22,-296,,,,,,
B25B1007,002,27-09-1978,62,-26,-292,,,,,,
B25B1007,002,12-10-1978,59,-29,-289,,,,,,
B25B1007,002,27-10-1978,58,-30,-288,,,,,,
B25B1007,002,15-11-1978,52,-36,-282,,,,,,
B25B1007,002,29-11-1978,43,-45,-273,,,,,,
B25B1007,002,15-12-1978,36,-52,-266,,,,,,
B25B1007,002,17-01-1979,142,54,-372,,,,,,
B25B1007,002,13-02-1979,138,50,-368,,,,,,
B25B1007,002,05-03-1979,140,52,-370,,,,,,
B25B1007,002,14-03-1979,143,55,-373,,,,,,
B25B1007,002,03-04-1979,138,50,-368,,,,,,
B25B1007,002,18-04-1979,148,60,-378,,,,,,
B25B1007,002,02-05-1979,137,49,-367,,,,,,
B25B1007,002,15-05-1979,145,57,-375,,,,,,
B25B1007,002,29-05-1979,47,-41,-277,,,,,,
B25B1007,002,15-06-1979,40,-48,-270,,,,,,
B25B1007,002,25-07-1979,56,-32,-286,,,,,,
B25B1007,002,17-08-1979,57,-31,-287,,,,,,
B25B1007,002,29-08-1979,58,-30,-288,,,,,,
B25B1007,002,12-09-1979,56,-32,-286,,,,,,
B25B1007,002,28-09-1979,58,-30,-288,,,,,,
B25B1007,002,17-10-1979,53,-35,-283,,,,,,
B25B1007,002,30-10-1979,51,-37,-281,,,,,,
B25B1007,002,19-11-1979,38,-50,-268,,,,,,
B25B1007,002,29-11-1979,44,-44,-274,,,,,,
B25B1007,002,18-12-1979,29,-59,-259,,,,,,
B25B1007,002,18-01-1980,37,-51,-267,,,,,,
B25B1007,002,31-01-1980,29,-59,-259,,,,,,
