Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,08-06-2017,,,,,,,,
Gegevens beschikbaar:,06-08-2014,tot:,19-04-2017,,,,,,,,
Datum: ,08-06-2017,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B25A3868,001,,102645,489385,44,23-07-2014,23-07-2014,19-04-2017,32,-12,-536,-636


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B25A3868,001,06-08-2014,83,95,-51,,,,,,
B25A3868,001,07-08-2014,84,96,-52,,,,,,
B25A3868,001,08-08-2014,83,95,-51,,,,,,
B25A3868,001,09-08-2014,85,97,-53,,,,,,
B25A3868,001,10-08-2014,82,94,-50,,,,,,
B25A3868,001,11-08-2014,87,99,-55,,,,,,
B25A3868,001,12-08-2014,87,99,-55,,,,,,
B25A3868,001,13-08-2014,85,97,-53,,,,,,
B25A3868,001,14-08-2014,87,99,-55,,,,,,
B25A3868,001,15-08-2014,88,100,-56,,,,,,
B25A3868,001,16-08-2014,89,101,-57,,,,,,
B25A3868,001,17-08-2014,87,99,-55,,,,,,
B25A3868,001,18-08-2014,88,100,-56,,,,,,
B25A3868,001,19-08-2014,85,97,-53,,,,,,
B25A3868,001,20-08-2014,85,97,-53,,,,,,
B25A3868,001,21-08-2014,83,95,-51,,,,,,
B25A3868,001,22-08-2014,92,104,-60,,,,,,
B25A3868,001,23-08-2014,86,98,-54,,,,,,
B25A3868,001,24-08-2014,104,116,-72,,,,,,
B25A3868,001,25-08-2014,99,111,-67,,,,,,
B25A3868,001,26-08-2014,105,117,-73,,,,,,
B25A3868,001,27-08-2014,82,94,-50,,,,,,
B25A3868,001,28-08-2014,96,108,-64,,,,,,
B25A3868,001,29-08-2014,82,94,-50,,,,,,
B25A3868,001,30-08-2014,83,95,-51,,,,,,
B25A3868,001,31-08-2014,82,94,-50,,,,,,
B25A3868,001,01-09-2014,82,94,-50,,,,,,
B25A3868,001,02-09-2014,83,95,-51,,,,,,
B25A3868,001,03-09-2014,83,95,-51,,,,,,
B25A3868,001,04-09-2014,83,95,-51,,,,,,
B25A3868,001,05-09-2014,86,98,-54,,,,,,
B25A3868,001,06-09-2014,83,95,-51,,,,,,
B25A3868,001,07-09-2014,84,96,-52,,,,,,
B25A3868,001,08-09-2014,85,97,-53,,,,,,
B25A3868,001,09-09-2014,86,98,-54,,,,,,
B25A3868,001,10-09-2014,87,99,-55,,,,,,
B25A3868,001,11-09-2014,87,99,-55,,,,,,
B25A3868,001,12-09-2014,88,100,-56,,,,,,
B25A3868,001,13-09-2014,89,101,-57,,,,,,
B25A3868,001,14-09-2014,88,100,-56,,,,,,
B25A3868,001,15-09-2014,89,101,-57,,,,,,
B25A3868,001,16-09-2014,89,101,-57,,,,,,
B25A3868,001,17-09-2014,89,101,-57,,,,,,
B25A3868,001,18-09-2014,89,101,-57,,,,,,
B25A3868,001,19-09-2014,91,103,-59,,,,,,
B25A3868,001,20-09-2014,92,104,-60,,,,,,
B25A3868,001,21-09-2014,92,104,-60,,,,,,
B25A3868,001,22-09-2014,93,105,-61,,,,,,
B25A3868,001,23-09-2014,93,105,-61,,,,,,
B25A3868,001,24-09-2014,92,104,-60,,,,,,
B25A3868,001,25-09-2014,94,106,-62,,,,,,
B25A3868,001,26-09-2014,94,106,-62,,,,,,
B25A3868,001,27-09-2014,95,107,-63,,,,,,
B25A3868,001,28-09-2014,94,106,-62,,,,,,
B25A3868,001,29-09-2014,94,106,-62,,,,,,
B25A3868,001,30-09-2014,95,107,-63,,,,,,
B25A3868,001,01-10-2014,96,108,-64,,,,,,
B25A3868,001,02-10-2014,96,108,-64,,,,,,
B25A3868,001,03-10-2014,96,108,-64,,,,,,
B25A3868,001,04-10-2014,94,106,-62,,,,,,
B25A3868,001,05-10-2014,95,107,-63,,,,,,
B25A3868,001,06-10-2014,93,105,-61,,,,,,
B25A3868,001,07-10-2014,91,103,-59,,,,,,
B25A3868,001,08-10-2014,92,104,-60,,,,,,
B25A3868,001,09-10-2014,92,104,-60,,,,,,
B25A3868,001,10-10-2014,94,106,-62,,,,,,
B25A3868,001,11-10-2014,93,105,-61,,,,,,
B25A3868,001,12-10-2014,94,106,-62,,,,,,
B25A3868,001,13-10-2014,92,104,-60,,,,,,
B25A3868,001,14-10-2014,92,104,-60,,,,,,
B25A3868,001,15-10-2014,91,103,-59,,,,,,
B25A3868,001,16-10-2014,91,103,-59,,,,,,
B25A3868,001,17-10-2014,93,105,-61,,,,,,
B25A3868,001,18-10-2014,93,105,-61,,,,,,
B25A3868,001,19-10-2014,92,104,-60,,,,,,
B25A3868,001,20-10-2014,93,105,-61,,,,,,
B25A3868,001,21-10-2014,87,99,-55,,,,,,
B25A3868,001,22-10-2014,87,99,-55,,,,,,
B25A3868,001,23-10-2014,86,98,-54,,,,,,
B25A3868,001,24-10-2014,86,98,-54,,,,,,
B25A3868,001,25-10-2014,85,97,-53,,,,,,
B25A3868,001,26-10-2014,85,97,-53,,,,,,
B25A3868,001,27-10-2014,86,98,-54,,,,,,
B25A3868,001,28-10-2014,86,98,-54,,,,,,
B25A3868,001,29-10-2014,85,97,-53,,,,,,
B25A3868,001,30-10-2014,87,99,-55,,,,,,
B25A3868,001,31-10-2014,87,99,-55,,,,,,
B25A3868,001,01-11-2014,87,99,-55,,,,,,
B25A3868,001,02-11-2014,86,98,-54,,,,,,
B25A3868,001,03-11-2014,85,97,-53,,,,,,
B25A3868,001,04-11-2014,84,96,-52,,,,,,
B25A3868,001,05-11-2014,85,97,-53,,,,,,
B25A3868,001,06-11-2014,86,98,-54,,,,,,
B25A3868,001,07-11-2014,86,98,-54,,,,,,
B25A3868,001,08-11-2014,87,99,-55,,,,,,
B25A3868,001,09-11-2014,87,99,-55,,,,,,
B25A3868,001,10-11-2014,88,100,-56,,,,,,
B25A3868,001,11-11-2014,87,99,-55,,,,,,
B25A3868,001,12-11-2014,88,100,-56,,,,,,
B25A3868,001,13-11-2014,89,101,-57,,,,,,
B25A3868,001,14-11-2014,88,100,-56,,,,,,
B25A3868,001,15-11-2014,85,97,-53,,,,,,
B25A3868,001,16-11-2014,83,95,-51,,,,,,
B25A3868,001,17-11-2014,82,94,-50,,,,,,
B25A3868,001,18-11-2014,83,95,-51,,,,,,
B25A3868,001,19-11-2014,85,97,-53,,,,,,
B25A3868,001,20-11-2014,85,97,-53,,,,,,
B25A3868,001,21-11-2014,84,96,-52,,,,,,
B25A3868,001,22-11-2014,84,96,-52,,,,,,
B25A3868,001,23-11-2014,84,96,-52,,,,,,
B25A3868,001,24-11-2014,86,98,-54,,,,,,
B25A3868,001,25-11-2014,85,97,-53,,,,,,
B25A3868,001,26-11-2014,83,95,-51,,,,,,
B25A3868,001,27-11-2014,84,96,-52,,,,,,
B25A3868,001,28-11-2014,98,110,-66,,,,,,
B25A3868,001,29-11-2014,86,98,-54,,,,,,
B25A3868,001,30-11-2014,86,98,-54,,,,,,
B25A3868,001,01-12-2014,83,95,-51,,,,,,
B25A3868,001,02-12-2014,83,95,-51,,,,,,
B25A3868,001,03-12-2014,85,97,-53,,,,,,
B25A3868,001,04-12-2014,83,95,-51,,,,,,
B25A3868,001,05-12-2014,85,97,-53,,,,,,
B25A3868,001,06-12-2014,87,99,-55,,,,,,
B25A3868,001,07-12-2014,84,96,-52,,,,,,
B25A3868,001,08-12-2014,83,95,-51,,,,,,
B25A3868,001,09-12-2014,84,96,-52,,,,,,
B25A3868,001,10-12-2014,82,94,-50,,,,,,
B25A3868,001,11-12-2014,82,94,-50,,,,,,
B25A3868,001,12-12-2014,104,116,-72,,,,,,
B25A3868,001,13-12-2014,82,94,-50,,,,,,
B25A3868,001,14-12-2014,86,98,-54,,,,,,
B25A3868,001,15-12-2014,82,94,-50,,,,,,
B25A3868,001,16-12-2014,88,100,-56,,,,,,
B25A3868,001,17-12-2014,87,99,-55,,,,,,
B25A3868,001,18-12-2014,81,93,-49,,,,,,
B25A3868,001,19-12-2014,82,94,-50,,,,,,
B25A3868,001,20-12-2014,89,101,-57,,,,,,
B25A3868,001,21-12-2014,97,109,-65,,,,,,
B25A3868,001,22-12-2014,82,94,-50,,,,,,
B25A3868,001,23-12-2014,104,116,-72,,,,,,
B25A3868,001,24-12-2014,82,94,-50,,,,,,
