Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,10-06-2017,,,,,,,,
Gegevens beschikbaar:,20-02-1967,tot:,14-12-1978,,,,,,,,
Datum: ,10-06-2017,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B25B0357,002,25BP0357,114150,497220,-78,01-04-1966,20-02-1967,28-12-1978,-82,-4,-1478,-1578


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B25B0357,002,20-02-1967,175,179,-257,,,,,,
B25B0357,002,01-03-1967,190,194,-272,,,,,,
B25B0357,002,14-03-1967,190,194,-272,,,,,,
B25B0357,002,28-03-1967,167,171,-249,,,,,,
B25B0357,002,14-04-1967,200,204,-282,,,,,,
B25B0357,002,28-04-1967,192,196,-274,,,,,,
B25B0357,002,12-05-1967,188,192,-270,,,,,,
B25B0357,002,26-05-1967,189,193,-271,,,,,,
B25B0357,002,14-06-1967,187,191,-269,,,,,,
B25B0357,002,28-06-1967,190,194,-272,,,,,,
B25B0357,002,14-07-1967,184,188,-266,,,,,,
B25B0357,002,28-07-1967,175,179,-257,,,,,,
B25B0357,002,15-08-1967,182,186,-264,,,,,,
B25B0357,002,28-08-1967,175,179,-257,,,,,,
B25B0357,002,14-09-1967,189,193,-271,,,,,,
B25B0357,002,28-09-1967,185,189,-267,,,,,,
B25B0357,002,13-10-1967,181,185,-263,,,,,,
B25B0357,002,27-10-1967,179,183,-261,,,,,,
B25B0357,002,14-11-1967,160,164,-242,,,,,,
B25B0357,002,29-11-1967,162,166,-244,,,,,,
B25B0357,002,14-12-1967,169,173,-251,,,,,,
B25B0357,002,28-12-1967,146,150,-228,,,,,,
B25B0357,002,16-01-1968,157,161,-239,,,,,,
B25B0357,002,29-01-1968,152,156,-234,,,,,,
B25B0357,002,14-02-1968,164,168,-246,,,,,,
B25B0357,002,15-03-1968,172,176,-254,,,,,,
B25B0357,002,28-03-1968,179,183,-261,,,,,,
B25B0357,002,16-04-1968,161,165,-243,,,,,,
B25B0357,002,29-04-1968,165,169,-247,,,,,,
B25B0357,002,14-05-1968,177,181,-259,,,,,,
B25B0357,002,28-05-1968,173,177,-255,,,,,,
B25B0357,002,13-06-1968,189,193,-271,,,,,,
B25B0357,002,25-06-1968,182,186,-264,,,,,,
B25B0357,002,15-07-1968,154,158,-236,,,,,,
B25B0357,002,30-07-1968,168,172,-250,,,,,,
B25B0357,002,15-08-1968,181,185,-263,,,,,,
B25B0357,002,28-08-1968,179,183,-261,,,,,,
B25B0357,002,13-09-1968,186,190,-268,,,,,,
B25B0357,002,27-09-1968,180,184,-262,,,,,,
B25B0357,002,14-10-1968,158,162,-240,,,,,,
B25B0357,002,28-10-1968,158,162,-240,,,,,,
B25B0357,002,14-11-1968,176,180,-258,,,,,,
B25B0357,002,28-11-1968,174,178,-256,,,,,,
B25B0357,002,14-01-1969,156,160,-238,,,,,,
B25B0357,002,28-01-1969,157,161,-239,,,,,,
B25B0357,002,14-03-1969,166,170,-248,,,,,,
B25B0357,002,28-03-1969,176,180,-258,,,,,,
B25B0357,002,14-04-1969,180,184,-262,,,,,,
B25B0357,002,28-04-1969,157,161,-239,,,,,,
B25B0357,002,29-08-1969,186,190,-268,,,,,,
B25B0357,002,14-10-1969,171,175,-253,,,,,,
B25B0357,002,18-12-1969,175,179,-257,,,,,,
B25B0357,002,28-04-1970,165,169,-247,,,,,,
B25B0357,002,28-08-1970,193,197,-275,,,,,,
B25B0357,002,14-10-1970,175,179,-257,,,,,,
B25B0357,002,14-12-1970,153,157,-235,,,,,,
B25B0357,002,28-04-1971,195,199,-277,,,,,,
B25B0357,002,13-08-1971,186,190,-268,,,,,,
B25B0357,002,12-10-1971,166,170,-248,,,,,,
B25B0357,002,14-10-1971,180,184,-262,,,,,,
B25B0357,002,27-04-1972,160,164,-242,,,,,,
B25B0357,002,28-08-1972,162,166,-244,,,,,,
B25B0357,002,13-10-1972,170,174,-252,,,,,,
B25B0357,002,14-12-1972,159,163,-241,,,,,,
B25B0357,002,27-04-1973,153,157,-235,,,,,,
B25B0357,002,28-08-1973,170,174,-252,,,,,,
B25B0357,002,15-10-1973,147,151,-229,,,,,,
B25B0357,002,14-12-1973,154,158,-236,,,,,,
B25B0357,002,24-04-1974,152,156,-234,,,,,,
B25B0357,002,30-10-1974,144,148,-226,,,,,,
B25B0357,002,14-01-1975,144,148,-226,,,,,,
B25B0357,002,28-04-1975,133,137,-215,,,,,,
B25B0357,002,14-08-1975,173,177,-255,,,,,,
B25B0357,002,14-10-1975,165,169,-247,,,,,,
B25B0357,002,28-11-1975,145,149,-227,,,,,,
B25B0357,002,29-12-1975,139,143,-221,,,,,,
B25B0357,002,14-02-1976,142,146,-224,,,,,,
B25B0357,002,28-02-1976,146,150,-228,,,,,,
B25B0357,002,14-03-1976,144,148,-226,,,,,,
B25B0357,002,28-03-1976,148,152,-230,,,,,,
B25B0357,002,14-04-1976,146,150,-228,,,,,,
B25B0357,002,28-04-1976,148,152,-230,,,,,,
B25B0357,002,14-05-1976,158,162,-240,,,,,,
B25B0357,002,28-05-1976,160,164,-242,,,,,,
B25B0357,002,14-06-1976,168,172,-250,,,,,,
B25B0357,002,28-06-1976,171,175,-253,,,,,,
B25B0357,002,14-07-1976,171,175,-253,,,,,,
B25B0357,002,28-07-1976,170,174,-252,,,,,,
B25B0357,002,14-08-1976,170,174,-252,,,,,,
B25B0357,002,28-08-1976,178,182,-260,,,,,,
B25B0357,002,14-09-1976,171,175,-253,,,,,,
B25B0357,002,28-09-1976,169,173,-251,,,,,,
B25B0357,002,14-10-1976,168,172,-250,,,,,,
B25B0357,002,28-10-1976,166,170,-248,,,,,,
B25B0357,002,14-11-1976,165,169,-247,,,,,,
B25B0357,002,28-11-1976,167,171,-249,,,,,,
B25B0357,002,14-12-1976,145,149,-227,,,,,,
B25B0357,002,27-01-1978,142,146,-224,,,,,,
B25B0357,002,15-05-1978,165,169,-247,,,,,,
B25B0357,002,28-06-1978,141,145,-223,,,,,,
B25B0357,002,14-08-1978,162,166,-244,,,,,,
B25B0357,002,28-08-1978,172,176,-254,,,,,,
B25B0357,002,13-10-1978,147,151,-229,,,,,,
B25B0357,002,14-12-1978,139,143,-221,,,,,,
