Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,10-06-2017,,,,,,,,
Gegevens beschikbaar:,14-07-1996,tot:,28-05-1997,,,,,,,,
Datum: ,10-06-2017,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B25A1681,001,25AP7824,103163,493653,545,14-07-1996,14-07-1996,31-10-2005,575,30,368,318


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B25A1681,001,14-07-1996,216,186,359,,,,,,
B25A1681,001,26-07-1996,219,189,356,,,,,,
B25A1681,001,14-08-1996,209,179,366,,,,,,
B25A1681,001,28-08-1996,214,184,361,,,,,,
B25A1681,001,14-09-1996,219,189,356,,,,,,
B25A1681,001,27-09-1996,227,197,348,,,,,,
B25A1681,001,14-10-1996,227,197,348,,,,,,
B25A1681,001,29-10-1996,221,191,354,,,,,,
B25A1681,001,14-11-1996,189,159,386,,,,,,
B25A1681,001,28-11-1996,151,121,424,,,,,,
B25A1681,001,14-12-1996,159,129,416,,,,,,
B25A1681,001,28-12-1996,160,130,415,,,,,,
B25A1681,001,14-01-1997,185,155,390,,,,,,
B25A1681,001,28-01-1997,180,150,395,,,,,,
B25A1681,001,14-02-1997,167,137,408,,,,,,
B25A1681,001,28-02-1997,166,136,409,,,,,,
B25A1681,001,14-03-1997,175,145,400,,,,,,
B25A1681,001,28-03-1997,180,150,395,,,,,,
B25A1681,001,14-04-1997,191,161,384,,,,,,
B25A1681,001,28-04-1997,196,166,379,,,,,,
B25A1681,001,14-05-1997,199,169,376,,,,,,
B25A1681,001,28-05-1997,205,175,370,,,,,,
