Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,10-06-2017,,,,,,,,
Gegevens beschikbaar:,09-02-1988,tot:,24-10-2016,,,,,,,,
Datum: ,10-06-2017,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B25B0909,004,25BP0909,115090,491600,92,01-12-1987,09-02-1988,16-11-1990,86,-6,-9114,-9214
B25B0909,004,25BP0909,115090,491600,92,01-12-1987,16-11-1990,29-09-1992,74,-18,-9114,-9214
B25B0909,004,25BP0909,115090,491600,92,01-12-1987,29-09-1992,19-12-2006,97,5,-9114,-9214
B25B0909,004,25BP0909,115090,491600,92,01-12-1987,19-12-2006,24-10-2016,111,19,-9114,-9214


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B25B0909,004,09-02-1988,256,262,-170,,,,,,
B25B0909,004,24-02-1988,265,271,-179,,,,,,
B25B0909,004,09-03-1988,269,275,-183,,,,,,
B25B0909,004,25-03-1988,260,266,-174,,,,,,
B25B0909,004,08-04-1988,268,274,-182,,,,,,
B25B0909,004,25-04-1988,275,281,-189,,,,,,
B25B0909,004,09-05-1988,278,284,-192,,,,,,
B25B0909,004,24-05-1988,283,289,-197,,,,,,
B25B0909,004,08-06-1988,280,286,-194,,,,,,
B25B0909,004,21-06-1988,285,291,-199,,,,,,
B25B0909,004,05-07-1988,367,373,-281,,,,,,
B25B0909,004,15-07-1988,370,376,-284,,,,,,
B25B0909,004,29-08-1988,360,366,-274,,,,,,
B25B0909,004,09-09-1988,367,373,-281,,,,,,
B25B0909,004,28-11-1988,360,366,-274,,,,,,
B25B0909,004,14-12-1988,363,369,-277,,,,,,
B25B0909,004,27-12-1988,359,365,-273,,,,,,
B25B0909,004,13-01-1989,359,365,-273,,,,,,
B25B0909,004,28-01-1989,361,367,-275,,,,,,
B25B0909,004,14-02-1989,364,370,-278,,,,,,
B25B0909,004,28-02-1989,354,360,-268,,,,,,
B25B0909,004,14-03-1989,354,360,-268,,,,,,
B25B0909,004,28-03-1989,363,369,-277,,,,,,
B25B0909,004,14-04-1989,360,366,-274,,,,,,
B25B0909,004,28-04-1989,363,369,-277,,,,,,
B25B0909,004,14-05-1989,362,368,-276,,,,,,
B25B0909,004,28-05-1989,373,379,-287,,,,,,
B25B0909,004,14-06-1989,370,376,-284,,,,,,
B25B0909,004,28-06-1989,373,379,-287,,,,,,
B25B0909,004,13-07-1989,374,380,-288,,,,,,
B25B0909,004,28-07-1989,372,378,-286,,,,,,
B25B0909,004,18-08-1989,372,378,-286,,,,,,
B25B0909,004,28-08-1989,373,379,-287,,,,,,
B25B0909,004,14-09-1989,371,377,-285,,,,,,
B25B0909,004,28-09-1989,374,380,-288,,,,,,
B25B0909,004,13-10-1989,371,377,-285,,,,,,
B25B0909,004,28-10-1989,367,373,-281,,,,,,
B25B0909,004,14-11-1989,367,373,-281,,,,,,
B25B0909,004,28-11-1989,369,375,-283,,,,,,
B25B0909,004,14-12-1989,368,374,-282,,,,,,
B25B0909,004,28-12-1989,363,369,-277,,,,,,
B25B0909,004,14-01-1990,365,371,-279,,,,,,
B25B0909,004,28-01-1990,356,362,-270,,,,,,
B25B0909,004,14-02-1990,351,357,-265,,,,,,
B25B0909,004,28-02-1990,353,359,-267,,,,,,
B25B0909,004,14-03-1990,365,371,-279,,,,,,
B25B0909,004,28-03-1990,366,372,-280,,,,,,
B25B0909,004,15-05-1990,371,377,-285,,,,,,
B25B0909,004,29-05-1990,372,378,-286,,,,,,
B25B0909,004,14-06-1990,371,377,-285,,,,,,
B25B0909,004,28-06-1990,372,378,-286,,,,,,
B25B0909,004,12-07-1990,371,377,-285,,,,,,
B25B0909,004,26-07-1990,372,378,-286,,,,,,
B25B0909,004,29-08-1990,371,377,-285,,,,,,
B25B0909,004,18-09-1990,371,377,-285,,,,,,
B25B0909,004,28-09-1990,367,373,-281,,,,,,
B25B0909,004,15-10-1990,364,370,-278,,,,,,
B25B0909,004,18-10-1990,364,370,-278,,,,,,
B25B0909,004,29-10-1990,359,365,-273,,,,,,
B25B0909,004,15-11-1990,362,368,-276,,,,,,
B25B0909,004,29-11-1990,340,358,-266,,,,,,
B25B0909,004,13-12-1990,349,367,-275,,,,,,
B25B0909,004,16-01-1991,350,368,-276,,,,,,
B25B0909,004,23-01-1991,351,369,-277,,,,,,
B25B0909,004,27-02-1991,357,375,-283,,,,,,
B25B0909,004,15-03-1991,357,375,-283,,,,,,
B25B0909,004,26-03-1991,358,376,-284,,,,,,
B25B0909,004,12-04-1991,356,374,-282,,,,,,
B25B0909,004,26-04-1991,354,372,-280,,,,,,
B25B0909,004,14-05-1991,356,374,-282,,,,,,
B25B0909,004,28-05-1991,357,375,-283,,,,,,
B25B0909,004,28-06-1991,352,370,-278,,,,,,
B25B0909,004,16-07-1991,355,373,-281,,,,,,
B25B0909,004,29-07-1991,357,375,-283,,,,,,
B25B0909,004,13-08-1991,360,378,-286,,,,,,
B25B0909,004,17-09-1991,360,378,-286,,,,,,
