Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B24F0005,002,24FP0001,99680,493440,643,,690,-2691,-2791,1956/01/17,2015/09/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B24F0005,002,1956/01/17 00:00:00,554,
B24F0005,002,1956/03/21 00:00:00,562,
B24F0005,002,1956/04/18 00:00:00,568,
B24F0005,002,1956/05/17 00:00:00,576,
B24F0005,002,1956/06/14 00:00:00,581,
B24F0005,002,1956/07/12 00:00:00,585,
B24F0005,002,1956/08/16 00:00:00,580,
B24F0005,002,1956/09/13 00:00:00,582,
B24F0005,002,1956/10/18 00:00:00,585,
B24F0005,002,1956/11/02 00:00:00,599,
B24F0005,002,1956/12/01 00:00:00,581,
B24F0005,002,1957/01/04 00:00:00,575,
B24F0005,002,1957/02/01 00:00:00,580,
B24F0005,002,1957/03/01 00:00:00,581,
B24F0005,002,1957/04/04 00:00:00,579,
B24F0005,002,1957/05/02 00:00:00,578,
B24F0005,002,1957/06/06 00:00:00,583,
B24F0005,002,1957/07/10 00:00:00,593,
B24F0005,002,1957/08/02 00:00:00,592,
B24F0005,002,1957/09/05 00:00:00,577,
B24F0005,002,1957/10/04 00:00:00,558,
B24F0005,002,1957/11/07 00:00:00,542,
B24F0005,002,1957/12/06 00:00:00,545,
B24F0005,002,1958/01/09 00:00:00,527,
B24F0005,002,1958/02/07 00:00:00,518,
B24F0005,002,1958/03/06 00:00:00,514,
B24F0005,002,1958/04/02 00:00:00,529,
B24F0005,002,1958/05/07 00:00:00,520,
B24F0005,002,1958/06/05 00:00:00,531,
B24F0005,002,1958/07/03 00:00:00,535,
B24F0005,002,1958/08/06 00:00:00,538,
B24F0005,002,1958/09/03 00:00:00,552,
B24F0005,002,1958/10/08 00:00:00,540,
B24F0005,002,1958/11/05 00:00:00,548,
B24F0005,002,1958/12/04 00:00:00,545,
B24F0005,002,1959/01/07 00:00:00,522,
