Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,10-06-2017,,,,,,,,
Gegevens beschikbaar:,14-09-1995,tot:,28-05-1997,,,,,,,,
Datum: ,10-06-2017,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B25A1670,001,25AP7813,102855,493701,462,27-06-1995,27-06-1995,29-05-1997,512,50,184,134


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B25A1670,001,14-09-1995,128,78,384,,,,,,
B25A1670,001,28-09-1995,106,56,406,,,,,,
B25A1670,001,14-10-1995,116,66,396,,,,,,
B25A1670,001,28-10-1995,127,77,385,,,,,,
B25A1670,001,28-11-1995,123,73,389,,,,,,
B25A1670,001,14-12-1995,131,81,381,,,,,,
B25A1670,001,14-01-1996,123,73,389,,,,,,
B25A1670,001,14-02-1996,131,81,381,,,,,,
B25A1670,001,28-02-1996,120,70,392,,,,,,
B25A1670,001,14-04-1996,137,87,375,,,,,,
B25A1670,001,28-04-1996,145,95,367,,,,,,
B25A1670,001,22-05-1996,152,102,360,,,,,,
B25A1670,001,14-06-1996,163,113,349,,,,,,
B25A1670,001,28-06-1996,167,117,345,,,,,,
B25A1670,001,14-07-1996,169,119,343,,,,,,
B25A1670,001,26-07-1996,175,125,337,,,,,,
B25A1670,001,14-08-1996,165,115,347,,,,,,
B25A1670,001,28-08-1996,172,122,340,,,,,,
B25A1670,001,14-09-1996,177,127,335,,,,,,
B25A1670,001,27-09-1996,181,131,331,,,,,,
B25A1670,001,14-10-1996,181,131,331,,,,,,
B25A1670,001,29-10-1996,177,127,335,,,,,,
B25A1670,001,14-11-1996,153,103,359,,,,,,
B25A1670,001,28-11-1996,124,74,388,,,,,,
B25A1670,001,14-12-1996,124,74,388,,,,,,
B25A1670,001,28-12-1996,123,73,389,,,,,,
B25A1670,001,14-01-1997,140,90,372,,,,,,
B25A1670,001,28-01-1997,144,94,368,,,,,,
B25A1670,001,14-02-1997,132,82,380,,,,,,
B25A1670,001,28-02-1997,127,77,385,,,,,,
B25A1670,001,14-03-1997,133,83,379,,,,,,
B25A1670,001,28-03-1997,137,87,375,,,,,,
B25A1670,001,14-04-1997,145,95,367,,,,,,
B25A1670,001,28-04-1997,150,100,362,,,,,,
B25A1670,001,14-05-1997,152,102,360,,,,,,
B25A1670,001,28-05-1997,159,109,353,,,,,,
