Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,10-06-2017,,,,,,,,
Gegevens beschikbaar:,29-08-1988,tot:,06-05-1999,,,,,,,,
Datum: ,10-06-2017,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B25A1628,001,25AL0075,107820,490810,,,30-05-1988,14-05-1999,,-7,,


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B25A1628,001,29-08-1988,60,67,,,,,,,
B25A1628,001,20-10-1988,61,68,,,,,,,
B25A1628,001,16-12-1988,57,64,,,,,,,
B25A1628,001,03-05-1989,64,71,,,,,,,
B25A1628,001,30-08-1989,75,82,,,,,,,
B25A1628,001,16-10-1989,74,81,,,,,,,
B25A1628,001,14-12-1989,51,58,,,,,,,
B25A1628,001,07-05-1990,72,79,,,,,,,
B25A1628,001,28-08-1990,70,77,,,,,,,
B25A1628,001,15-10-1990,70,77,,,,,,,
B25A1628,001,14-12-1990,66,73,,,,,,,
B25A1628,001,02-05-1991,72,79,,,,,,,
B25A1628,001,02-09-1991,80,87,,,,,,,
B25A1628,001,25-10-1991,65,72,,,,,,,
B25A1628,001,13-12-1991,70,77,,,,,,,
B25A1628,001,28-04-1992,63,70,,,,,,,
B25A1628,001,28-08-1992,65,72,,,,,,,
B25A1628,001,16-10-1992,56,63,,,,,,,
B25A1628,001,14-12-1992,48,55,,,,,,,
B25A1628,001,29-04-1993,71,78,,,,,,,
B25A1628,001,27-08-1993,68,75,,,,,,,
B25A1628,001,14-10-1993,46,53,,,,,,,
B25A1628,001,14-12-1993,30,37,,,,,,,
B25A1628,001,28-04-1994,65,72,,,,,,,
B25A1628,001,30-08-1994,66,73,,,,,,,
B25A1628,001,17-10-1994,63,70,,,,,,,
B25A1628,001,14-12-1994,57,64,,,,,,,
B25A1628,001,29-03-1995,68,75,,,,,,,
B25A1628,001,04-05-1995,72,79,,,,,,,
B25A1628,001,28-08-1995,81,88,,,,,,,
B25A1628,001,13-10-1995,75,82,,,,,,,
B25A1628,001,20-12-1995,70,77,,,,,,,
B25A1628,001,25-04-1996,73,80,,,,,,,
B25A1628,001,29-08-1996,64,71,,,,,,,
B25A1628,001,14-10-1996,68,75,,,,,,,
B25A1628,001,18-12-1996,67,74,,,,,,,
B25A1628,001,28-04-1997,76,83,,,,,,,
B25A1628,001,23-02-1998,72,79,,,CONTROLE,,,,
B25A1628,001,14-05-1998,70,77,,,,,,,
B25A1628,001,01-09-1998,64,71,,,,,,,
B25A1628,001,19-10-1998,52,59,,,,,,,
B25A1628,001,17-12-1998,25,32,,,,,,,
B25A1628,001,06-05-1999,70,77,,,,,,,
