Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B24F0005,001,24FP0001,99680,493440,643,,690,-490,-590,1956/01/17,2015/09/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B24F0005,001,1966/05/10 00:00:00,274,
B24F0005,001,1966/05/14 00:00:00,286,
B24F0005,001,1966/07/12 00:00:00,298,
B24F0005,001,1966/08/02 00:00:00,304,
B24F0005,001,1966/09/06 00:00:00,307,
B24F0005,001,1966/10/04 00:00:00,315,
B24F0005,001,1966/11/01 00:00:00,321,
B24F0005,001,1966/12/06 00:00:00,296,
B24F0005,001,1967/01/03 00:00:00,258,
B24F0005,001,1967/02/07 00:00:00,248,
B24F0005,001,1967/03/07 00:00:00,237,
B24F0005,001,1967/04/05 00:00:00,255,
B24F0005,001,1967/05/09 00:00:00,263,
B24F0005,001,1967/06/06 00:00:00,272,
B24F0005,001,1967/07/04 00:00:00,281,
B24F0005,001,1967/08/01 00:00:00,293,
B24F0005,001,1967/09/12 00:00:00,311,
B24F0005,001,1967/10/03 00:00:00,317,
B24F0005,001,1967/11/13 00:00:00,288,
B24F0005,001,1967/12/05 00:00:00,282,
B24F0005,001,1968/01/09 00:00:00,266,
B24F0005,001,1968/02/13 00:00:00,251,
B24F0005,001,1968/03/05 00:00:00,253,
B24F0005,001,1968/04/02 00:00:00,263,
B24F0005,001,1968/05/07 00:00:00,278,
B24F0005,001,1968/06/04 00:00:00,286,
B24F0005,001,1968/07/02 00:00:00,294,
B24F0005,001,1968/08/06 00:00:00,301,
B24F0005,001,1968/09/03 00:00:00,308,
B24F0005,001,1968/10/01 00:00:00,310,
B24F0005,001,1968/11/05 00:00:00,288,
B24F0005,001,1968/12/04 00:00:00,298,
B24F0005,001,1969/01/14 00:00:00,302,
B24F0005,001,1969/01/28 00:00:00,298,
B24F0005,001,1969/02/14 00:00:00,291,
B24F0005,001,1969/02/28 00:00:00,290,
B24F0005,001,1969/03/14 00:00:00,287,
B24F0005,001,1969/03/28 00:00:00,285,
B24F0005,001,1969/04/15 00:00:00,285,
B24F0005,001,1969/04/29 00:00:00,289,
B24F0005,001,1969/05/14 00:00:00,291,
B24F0005,001,1969/05/28 00:00:00,297,
B24F0005,001,1969/06/13 00:00:00,303,
B24F0005,001,1969/06/27 00:00:00,307,
B24F0005,001,1969/07/14 00:00:00,311,
B24F0005,001,1969/07/28 00:00:00,316,
B24F0005,001,1969/08/14 00:00:00,322,
B24F0005,001,1969/08/26 00:00:00,327,
B24F0005,001,1969/09/15 00:00:00,325,
B24F0005,001,1969/09/29 00:00:00,328,
B24F0005,001,1969/10/14 00:00:00,333,
B24F0005,001,1969/10/28 00:00:00,338,
B24F0005,001,1969/11/14 00:00:00,345,
B24F0005,001,1969/11/28 00:00:00,349,
B24F0005,001,1969/12/15 00:00:00,351,
B24F0005,001,1969/12/29 00:00:00,353,
B24F0005,001,1970/01/14 00:00:00,352,
B24F0005,001,1970/01/28 00:00:00,352,
B24F0005,001,1970/02/13 00:00:00,357,
B24F0005,001,1970/02/27 00:00:00,343,
B24F0005,001,1970/03/13 00:00:00,340,
B24F0005,001,1970/03/26 00:00:00,321,
B24F0005,001,1970/04/14 00:00:00,323,
B24F0005,001,1970/04/22 00:00:00,334,
B24F0005,001,1970/05/14 00:00:00,337,
B24F0005,001,1970/05/28 00:00:00,340,
B24F0005,001,1970/06/15 00:00:00,346,
