Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,08-06-2017,,,,,,,,
Gegevens beschikbaar:,25-04-1979,tot:,24-04-2015,,,,,,,,
Datum: ,08-06-2017,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B25C0335,001,25CP0335,101110,484383,400,01-01-1976,25-04-1979,24-04-2015,465,65,-700,-800


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B25C0335,001,25-04-1979,480,415,-15,,,,,,
B25C0335,001,29-08-1979,489,424,-24,,,,,,
B25C0335,001,17-10-1979,491,426,-26,,,,,,
B25C0335,001,12-12-1979,497,432,-32,,,,,,
B25C0335,001,23-04-1980,497,432,-32,,,,,,
B25C0335,001,27-08-1980,501,436,-36,,,,,,
B25C0335,001,15-10-1980,512,447,-47,,,,,,
B25C0335,001,10-12-1980,492,427,-27,,,,,,
B25C0335,001,22-04-1981,488,423,-23,,,,,,
B25C0335,001,26-08-1981,509,444,-44,,,,,,
B25C0335,001,14-10-1981,500,435,-35,,,,,,
B25C0335,001,16-12-1981,476,411,-11,,,,,,
B25C0335,001,28-04-1982,495,430,-30,,,,,,
B25C0335,001,25-08-1982,509,444,-44,,,,,,
B25C0335,001,13-10-1982,492,427,-27,,,,,,
B25C0335,001,15-12-1982,485,420,-20,,,,,,
B25C0335,001,27-04-1983,487,422,-22,,,,,,
B25C0335,001,31-08-1983,515,450,-50,,,,,,
B25C0335,001,12-10-1983,493,428,-28,,,,,,
B25C0335,001,14-12-1983,485,420,-20,,,,,,
B25C0335,001,25-04-1984,492,427,-27,,,,,,
B25C0335,001,29-08-1984,515,450,-50,,,,,,
B25C0335,001,17-10-1984,496,431,-31,,,,,,
B25C0335,001,12-12-1984,484,419,-19,,,,,,
B25C0335,001,25-04-1985,494,429,-29,,,,,,
B25C0335,001,28-08-1985,490,425,-25,,,,,,
B25C0335,001,16-10-1985,501,436,-36,,,,,,
B25C0335,001,11-12-1985,508,443,-43,,,,,,
B25C0335,001,23-04-1986,490,425,-25,,,,,,
B25C0335,001,27-08-1986,508,443,-43,,,,,,
B25C0335,001,14-10-1986,512,447,-47,,,,,,
B25C0335,001,17-12-1986,482,417,-17,,,,,,
B25C0335,001,28-04-1987,491,426,-26,,,,,,
B25C0335,001,26-08-1987,489,424,-24,,,,,,
B25C0335,001,14-10-1987,490,425,-25,,,,,,
B25C0335,001,16-12-1987,472,407,-7,,,,,,
B25C0335,001,27-04-1988,484,419,-19,,,,,,
B25C0335,001,31-08-1988,495,430,-30,,,,,,
B25C0335,001,12-10-1988,508,443,-43,,,,,,
B25C0335,001,14-12-1988,495,430,-30,,,,,,
B25C0335,001,26-04-1989,480,415,-15,,,,,,
B25C0335,001,30-08-1989,510,445,-45,,,,,,
B25C0335,001,11-10-1989,485,420,-20,,,,,,
B25C0335,001,13-12-1989,517,452,-52,,,,,,
B25C0335,001,25-04-1990,494,429,-29,,,,,,
B25C0335,001,29-08-1990,528,463,-63,,,,,,
B25C0335,001,10-10-1990,514,449,-49,,,,,,
B25C0335,001,12-12-1990,498,433,-33,,,,,,
B25C0335,001,24-04-1991,499,434,-34,,,,,,
B25C0335,001,28-08-1991,518,453,-53,,,,,,
B25C0335,001,16-10-1991,501,436,-36,,,,,,
B25C0335,001,11-12-1991,491,426,-26,,,,,,
B25C0335,001,29-04-1992,491,426,-26,,,,,,
B25C0335,001,26-08-1992,500,435,-35,,,,,,
B25C0335,001,13-10-1992,529,464,-64,,,,,,
B25C0335,001,16-12-1992,496,431,-31,,,,,,
B25C0335,001,28-04-1993,505,440,-40,,,,,,
B25C0335,001,25-08-1993,491,426,-26,,,,,,
B25C0335,001,13-10-1993,479,414,-14,,,,,,
B25C0335,001,14-12-1993,484,419,-19,,,,,,
B25C0335,001,26-04-1994,509,444,-44,,,,,,
B25C0335,001,24-08-1994,496,431,-31,,,,,,
B25C0335,001,12-10-1994,498,433,-33,,,,,,
B25C0335,001,13-12-1994,480,415,-15,,,,,,
B25C0335,001,25-04-1995,481,416,-16,,,,,,
B25C0335,001,30-08-1995,492,427,-27,,,,,,
B25C0335,001,11-10-1995,487,422,-22,,,,,,
B25C0335,001,13-12-1995,497,432,-32,,,,,,
B25C0335,001,24-04-1996,495,430,-30,,,,,,
B25C0335,001,27-08-1996,499,434,-34,,,,,,
B25C0335,001,15-10-1996,497,432,-32,,,,,,
B25C0335,001,10-12-1996,477,412,-12,,,,,,
B25C0335,001,22-04-1997,492,427,-27,,,,,,
B25C0335,001,27-08-1997,498,433,-33,,,,,,
B25C0335,001,15-10-1997,487,422,-22,,,,,,
B25C0335,001,11-12-1997,484,419,-19,,,,,,
B25C0335,001,29-04-1998,478,413,-13,,,,,,
B25C0335,001,28-08-1998,486,421,-21,,,,,,
B25C0335,001,13-10-1998,473,408,-8,,,,,,
B25C0335,001,16-12-1998,479,414,-14,,,,,,
B25C0335,001,27-04-1999,480,415,-15,,,,,,
B25C0335,001,24-08-1999,491,426,-26,,,,,,
B25C0335,001,12-10-1999,461,396,4,,,,,,
B25C0335,001,15-12-1999,468,403,-3,,,,,,
B25C0335,001,26-04-2000,476,411,-11,,,,,,
B25C0335,001,30-08-2000,493,428,-28,,,,,,
B25C0335,001,11-10-2000,478,413,-13,,,,,,
B25C0335,001,13-12-2000,454,389,11,,,,,,
B25C0335,001,24-04-2001,475,410,-10,,,,,,
B25C0335,001,28-08-2001,488,423,-23,,,,,,
B25C0335,001,16-10-2001,480,415,-15,,,,,,
B25C0335,001,12-12-2001,478,413,-13,,,,,,
B25C0335,001,25-04-2002,487,422,-22,,,,,,
B25C0335,001,27-08-2002,477,412,-12,,,,,,
B25C0335,001,16-10-2002,486,421,-21,,,,,,
B25C0335,001,10-12-2002,479,414,-14,,,,,,
B25C0335,001,23-04-2003,489,424,-24,,,,,,
B25C0335,001,26-08-2003,506,441,-41,,,,,,
B25C0335,001,15-10-2003,511,446,-46,,,,,,
B25C0335,001,29-04-2004,484,419,-19,,,,,,
B25C0335,001,24-08-2004,481,416,-16,,,,,,
B25C0335,001,12-10-2004,483,418,-18,,,,,,
B25C0335,001,28-04-2005,486,421,-21,,,,,,
B25C0335,001,31-08-2005,479,414,-14,,,,,,
B25C0335,001,11-10-2005,482,417,-17,,,,,,
B25C0335,001,15-12-2005,463,398,2,,,,,,
B25C0335,001,27-04-2006,479,414,-14,,,,,,
B25C0335,001,30-08-2006,470,405,-5,,,,,,
B25C0335,001,11-10-2006,470,405,-5,,,,,,
B25C0335,001,12-12-2006,464,399,1,,,,,,
B25C0335,001,25-04-2007,486,421,-21,,,,,,
B25C0335,001,29-08-2007,494,429,-29,,,,,,
B25C0335,001,10-10-2007,490,425,-25,,,,,,
B25C0335,001,13-12-2007,480,415,-15,,,,,,
B25C0335,001,24-04-2008,478,413,-13,,,,,,
B25C0335,001,26-08-2008,487,422,-22,,,,,,
B25C0335,001,06-10-2008,484,419,-19,,,,,,
B25C0335,001,11-12-2008,473,408,-8,,,,,,
B25C0335,001,24-04-2009,490,425,-25,,,,,,
B25C0335,001,25-08-2009,503,438,-38,,,,,,
B25C0335,001,06-10-2009,501,436,-36,,,,,,
B25C0335,001,08-12-2009,475,410,-10,,,,,,
B25C0335,001,22-04-2010,484,419,-19,,,,,,
B25C0335,001,27-08-2010,470,405,-5,,,,,,
B25C0335,001,07-10-2010,473,408,-8,,,,,,
B25C0335,001,07-12-2010,474,409,-9,,,,,,
B25C0335,001,01-06-2011,496,431,-31,,,,,,
B25C0335,001,07-08-2012,477,412,-12,,,,,,
B25C0335,001,26-03-2013,481,416,-16,,,,,,
