Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B24F0028,001,24FP0028,98170,491310,216,,264,-624,-724,1960/03/28,1981/04/28
B24F0028,001,24FP0028,98170,491310,283,,264,-624,-724,1981/04/28,2005/04/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B24F0028,001,1960/03/28 00:00:00,111,
B24F0028,001,1960/04/14 00:00:00,108,
B24F0028,001,1960/04/28 00:00:00,110,
B24F0028,001,1960/05/14 00:00:00,112,
B24F0028,001,1960/05/28 00:00:00,116,
B24F0028,001,1960/06/14 00:00:00,120,
B24F0028,001,1960/06/28 00:00:00,122,
B24F0028,001,1960/07/14 00:00:00,119,
B24F0028,001,1960/07/28 00:00:00,122,
B24F0028,001,1960/08/15 00:00:00,123,
B24F0028,001,1960/08/29 00:00:00,117,
B24F0028,001,1960/09/14 00:00:00,105,
B24F0028,001,1960/09/28 00:00:00,106,
B24F0028,001,1960/10/14 00:00:00,109,
B24F0028,001,1960/10/28 00:00:00,101,
B24F0028,001,1960/11/14 00:00:00,88,
B24F0028,001,1960/11/28 00:00:00,75,
B24F0028,001,1960/12/14 00:00:00,50,
B24F0028,001,1960/12/28 00:00:00,40,
B24F0028,001,1961/01/14 00:00:00,38,
B24F0028,001,1961/01/28 00:00:00,40,
B24F0028,001,1961/02/14 00:00:00,39,
B24F0028,001,1961/02/28 00:00:00,40,
B24F0028,001,1961/03/14 00:00:00,50,
B24F0028,001,1961/03/28 00:00:00,51,
B24F0028,001,1961/04/14 00:00:00,52,
B24F0028,001,1961/04/28 00:00:00,58,
B24F0028,001,1961/05/16 00:00:00,66,
B24F0028,001,1961/05/29 00:00:00,68,
B24F0028,001,1961/06/14 00:00:00,74,
B24F0028,001,1961/06/28 00:00:00,81,
B24F0028,001,1961/07/14 00:00:00,86,
B24F0028,001,1961/07/28 00:00:00,90,
B24F0028,001,1961/08/14 00:00:00,92,
B24F0028,001,1961/08/28 00:00:00,95,
B24F0028,001,1961/09/14 00:00:00,91,
B24F0028,001,1961/09/28 00:00:00,96,
B24F0028,001,1961/10/14 00:00:00,99,
B24F0028,001,1961/10/30 00:00:00,87,
B24F0028,001,1961/11/14 00:00:00,74,
B24F0028,001,1961/11/30 00:00:00,74,
B24F0028,001,1961/12/14 00:00:00,62,
B24F0028,001,1961/12/29 00:00:00,52,
B24F0028,001,1962/01/15 00:00:00,54,
B24F0028,001,1962/01/29 00:00:00,47,
B24F0028,001,1962/02/14 00:00:00,46,
B24F0028,001,1962/02/28 00:00:00,47,
B24F0028,001,1962/03/14 00:00:00,57,
B24F0028,001,1962/03/28 00:00:00,62,
B24F0028,001,1962/04/14 00:00:00,56,
B24F0028,001,1962/04/28 00:00:00,56,
B24F0028,001,1962/05/14 00:00:00,65,
B24F0028,001,1962/05/28 00:00:00,70,
B24F0028,001,1962/06/14 00:00:00,72,
B24F0028,001,1962/06/28 00:00:00,77,
B24F0028,001,1962/07/14 00:00:00,81,
B24F0028,001,1962/07/28 00:00:00,86,
B24F0028,001,1962/08/14 00:00:00,86,
B24F0028,001,1962/08/28 00:00:00,95,
B24F0028,001,1962/09/14 00:00:00,89,
B24F0028,001,1962/09/28 00:00:00,89,
B24F0028,001,1962/10/15 00:00:00,88,
B24F0028,001,1962/11/14 00:00:00,100,
B24F0028,001,1962/11/28 00:00:00,99,
B24F0028,001,1962/12/14 00:00:00,99,
B24F0028,001,1963/03/14 00:00:00,109,
B24F0028,001,1963/03/28 00:00:00,101,
B24F0028,001,1963/04/16 00:00:00,101,
B24F0028,001,1963/04/29 00:00:00,103,
