Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,10-06-2017,,,,,,,,
Gegevens beschikbaar:,15-04-1952,tot:,29-10-1984,,,,,,,,
Datum: ,10-06-2017,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B25D0604,001,25DL0002,113890,486840,,,15-04-1952,14-04-1965,,-4,,
B25D0604,001,25DL0002,113890,486840,-180,14-04-1965,14-04-1965,28-03-1969,-186,-6,-336,-386
B25D0604,001,25DL0002,113890,486840,-180,14-04-1965,28-03-1969,29-11-1972,-191,-11,-341,-391
B25D0604,001,25DL0002,113890,486840,-180,14-04-1965,29-11-1972,18-06-1985,,-5,,


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B25D0604,001,15-04-1952,25,29,,,,,,,
B25D0604,001,28-04-1952,33,37,,,,,,,
B25D0604,001,14-05-1952,37,41,,,,,,,
B25D0604,001,28-05-1952,43,47,,,,,,,
B25D0604,001,14-06-1952,45,49,,,,,,,
B25D0604,001,28-06-1952,40,44,,,,,,,
B25D0604,001,14-07-1952,48,52,,,,,,,
B25D0604,001,28-07-1952,47,51,,,,,,,
B25D0604,001,14-08-1952,48,52,,,,,,,
B25D0604,001,28-08-1952,41,45,,,,,,,
B25D0604,001,14-09-1952,42,46,,,,,,,
B25D0604,001,28-09-1952,5,9,,,,,,,
B25D0604,001,14-10-1952,0,4,,,,,,,
B25D0604,001,28-10-1952,5,9,,,,,,,
B25D0604,001,14-11-1952,0,4,,,,,,,
B25D0604,001,28-11-1952,0,4,,,,,,,
B25D0604,001,14-12-1952,0,4,,,,,,,
B25D0604,001,28-12-1952,0,4,,,,,,,
B25D0604,001,14-01-1953,12,16,,,,,,,
B25D0604,001,28-01-1953,11,15,,,,,,,
B25D0604,001,14-02-1953,0,4,,,,,,,
B25D0604,001,02-03-1953,14,18,,,,,,,
B25D0604,001,14-03-1953,23,27,,,,,,,
B25D0604,001,28-03-1953,28,32,,,,,,,
B25D0604,001,14-04-1953,24,28,,,,,,,
B25D0604,001,28-04-1953,40,44,,,,,,,
B25D0604,001,15-05-1953,50,54,,,,,,,
B25D0604,001,28-05-1953,55,59,,,,,,,
B25D0604,001,15-06-1953,47,51,,,,,,,
B25D0604,001,29-06-1953,50,54,,,,,,,
B25D0604,001,14-07-1953,57,61,,,,,,,
B25D0604,001,28-07-1953,61,65,,,,,,,
B25D0604,001,14-08-1953,65,69,,,,,,,
B25D0604,001,28-08-1953,39,43,,,,,,,
B25D0604,001,14-09-1953,40,44,,,,,,,
B25D0604,001,28-09-1953,29,33,,,,,,,
B25D0604,001,14-10-1953,37,41,,,,,,,
B25D0604,001,28-10-1953,35,39,,,,,,,
B25D0604,001,14-11-1953,36,40,,,,,,,
B25D0604,001,28-11-1953,34,38,,,,,,,
B25D0604,001,14-12-1953,31,35,,,,,,,
B25D0604,001,28-12-1953,0,4,,,,,,,
