Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,10-06-2017,,,,,,,,
Gegevens beschikbaar:,03-01-1952,tot:,14-11-1975,,,,,,,,
Datum: ,10-06-2017,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B25A0235,004,25AP0235,102568,497434,718,01-01-1911,26-12-1911,28-08-1975,440,-278,-12752,-12852
B25A0235,004,25AP0235,102568,497434,728,28-08-1975,28-08-1975,28-11-1975,716,-12,-12752,-12852


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B25A0235,004,03-01-1952,545,823,-105,,,,,,
B25A0235,004,10-01-1952,543,821,-103,,,,,,
B25A0235,004,17-01-1952,543,821,-103,,,,,,
B25A0235,004,24-01-1952,538,816,-98,,,,,,
B25A0235,004,31-01-1952,537,815,-97,,,,,,
B25A0235,004,07-02-1952,538,816,-98,,,,,,
B25A0235,004,14-02-1952,537,815,-97,,,,,,
B25A0235,004,21-02-1952,537,815,-97,,,,,,
B25A0235,004,28-02-1952,535,813,-95,,,,,,
B25A0235,004,06-03-1952,536,814,-96,,,,,,
B25A0235,004,13-03-1952,535,813,-95,,,,,,
B25A0235,004,20-03-1952,538,816,-98,,,,,,
B25A0235,004,27-03-1952,535,813,-95,,,,,,
B25A0235,004,03-04-1952,538,816,-98,,,,,,
B25A0235,004,10-04-1952,538,816,-98,,,,,,
B25A0235,004,17-04-1952,540,818,-100,,,,,,
B25A0235,004,24-04-1952,540,818,-100,,,,,,
B25A0235,004,02-05-1952,543,821,-103,,,,,,
B25A0235,004,08-05-1952,544,822,-104,,,,,,
B25A0235,004,15-05-1952,548,826,-108,,,,,,
B25A0235,004,22-05-1952,550,828,-110,,,,,,
B25A0235,004,29-05-1952,558,836,-118,,,,,,
B25A0235,004,05-06-1952,568,846,-128,,,,,,
B25A0235,004,12-06-1952,570,848,-130,,,,,,
B25A0235,004,19-06-1952,574,852,-134,,,,,,
B25A0235,004,26-06-1952,578,856,-138,,,,,,
B25A0235,004,17-07-1952,590,868,-150,,,,,,
B25A0235,004,31-07-1952,595,873,-155,,,,,,
B25A0235,004,07-08-1952,602,880,-162,,,,,,
B25A0235,004,14-08-1952,609,887,-169,,,,,,
B25A0235,004,21-08-1952,612,890,-172,,,,,,
B25A0235,004,28-08-1952,618,896,-178,,,,,,
B25A0235,004,04-09-1952,623,901,-183,,,,,,
B25A0235,004,11-09-1952,627,905,-187,,,,,,
B25A0235,004,18-09-1952,632,910,-192,,,,,,
B25A0235,004,25-09-1952,635,913,-195,,,,,,
B25A0235,004,02-10-1952,639,917,-199,,,,,,
B25A0235,004,09-10-1952,641,919,-201,,,,,,
B25A0235,004,16-10-1952,646,924,-206,,,,,,
B25A0235,004,23-10-1952,646,924,-206,,,,,,
B25A0235,004,30-10-1952,650,928,-210,,,,,,
B25A0235,004,06-11-1952,651,929,-211,,,,,,
B25A0235,004,13-11-1952,653,931,-213,,,,,,
B25A0235,004,20-11-1952,652,930,-212,,,,,,
B25A0235,004,27-11-1952,654,932,-214,,,,,,
B25A0235,004,04-12-1952,654,932,-214,,,,,,
B25A0235,004,11-12-1952,656,934,-216,,,,,,
B25A0235,004,18-12-1952,653,931,-213,,,,,,
B25A0235,004,24-12-1952,655,933,-215,,,,,,
B25A0235,004,02-01-1953,655,933,-215,,,,,,
B25A0235,004,08-01-1953,653,931,-213,,,,,,
B25A0235,004,15-01-1953,651,929,-211,,,,,,
B25A0235,004,22-01-1953,654,932,-214,,,,,,
B25A0235,004,29-01-1953,653,931,-213,,,,,,
B25A0235,004,05-02-1953,651,929,-211,,,,,,
B25A0235,004,12-02-1953,650,928,-210,,,,,,
B25A0235,004,19-02-1953,651,929,-211,,,,,,
B25A0235,004,26-02-1953,655,933,-215,,,,,,
B25A0235,004,05-03-1953,656,934,-216,,,,,,
B25A0235,004,12-03-1953,656,934,-216,,,,,,
B25A0235,004,19-03-1953,670,948,-230,,,,,,
B25A0235,004,26-03-1953,670,948,-230,,,,,,
B25A0235,004,02-04-1953,672,950,-232,,,,,,
B25A0235,004,09-04-1953,672,950,-232,,,,,,
B25A0235,004,16-04-1953,673,951,-233,,,,,,
B25A0235,004,23-04-1953,674,952,-234,,,,,,
B25A0235,004,29-04-1953,677,955,-237,,,,,,
B25A0235,004,07-05-1953,677,955,-237,,,,,,
B25A0235,004,13-05-1953,683,961,-243,,,,,,
B25A0235,004,21-05-1953,685,963,-245,,,,,,
B25A0235,004,28-05-1953,690,968,-250,,,,,,
B25A0235,004,04-06-1953,696,974,-256,,,,,,
B25A0235,004,11-06-1953,700,978,-260,,,,,,
B25A0235,004,18-06-1953,700,978,-260,,,,,,
B25A0235,004,25-06-1953,705,983,-265,,,,,,
B25A0235,004,09-07-1953,716,994,-276,,,,,,
B25A0235,004,16-07-1953,717,995,-277,,,,,,
B25A0235,004,23-07-1953,724,1002,-284,,,,,,
B25A0235,004,30-07-1953,726,1004,-286,,,,,,
B25A0235,004,06-08-1953,729,1007,-289,,,,,,
B25A0235,004,20-08-1953,740,1018,-300,,,,,,
B25A0235,004,27-08-1953,742,1020,-302,,,,,,
B25A0235,004,03-09-1953,746,1024,-306,,,,,,
B25A0235,004,10-09-1953,750,1028,-310,,,,,,
B25A0235,004,17-09-1953,752,1030,-312,,,,,,
B25A0235,004,24-09-1953,754,1032,-314,,,,,,
B25A0235,004,01-10-1953,753,1031,-313,,,,,,
B25A0235,004,08-10-1953,758,1036,-318,,,,,,
B25A0235,004,15-10-1953,759,1037,-319,,,,,,
B25A0235,004,22-10-1953,762,1040,-322,,,,,,
B25A0235,004,30-10-1953,763,1041,-323,,,,,,
B25A0235,004,05-11-1953,765,1043,-325,,,,,,
B25A0235,004,12-11-1953,763,1041,-323,,,,,,
B25A0235,004,19-11-1953,760,1038,-320,,,,,,
B25A0235,004,26-11-1953,760,1038,-320,,,,,,
B25A0235,004,03-12-1953,760,1038,-320,,,,,,
B25A0235,004,10-12-1953,758,1036,-318,,,,,,
B25A0235,004,17-12-1953,752,1030,-312,,,,,,
B25A0235,004,23-12-1953,755,1033,-315,,,,,,
B25A0235,004,30-12-1953,753,1031,-313,,,,,,
B25A0235,004,07-01-1954,751,1029,-311,,,,,,
B25A0235,004,14-01-1954,717,995,-277,,,,,,
B25A0235,004,21-01-1954,742,1020,-302,,,,,,
B25A0235,004,28-01-1954,740,1018,-300,,,,,,
B25A0235,004,04-02-1954,742,1020,-302,,,,,,
B25A0235,004,11-02-1954,754,1032,-314,,,,,,
B25A0235,004,18-02-1954,750,1028,-310,,,,,,
B25A0235,004,25-02-1954,752,1030,-312,,,,,,
B25A0235,004,04-03-1954,743,1021,-303,,,,,,
B25A0235,004,11-03-1954,745,1023,-305,,,,,,
B25A0235,004,18-03-1954,740,1018,-300,,,,,,
B25A0235,004,25-03-1954,740,1018,-300,,,,,,
B25A0235,004,15-04-1954,740,1018,-300,,,,,,
B25A0235,004,22-04-1954,740,1018,-300,,,,,,
B25A0235,004,29-04-1954,740,1018,-300,,,,,,
B25A0235,004,06-05-1954,740,1018,-300,,,,,,
B25A0235,004,20-05-1954,746,1024,-306,,,,,,
B25A0235,004,26-05-1954,750,1028,-310,,,,,,
B25A0235,004,03-06-1954,752,1030,-312,,,,,,
B25A0235,004,10-06-1954,752,1030,-312,,,,,,
