Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,10-06-2017,,,,,,,,
Gegevens beschikbaar:,05-09-2013,tot:,15-05-2017,,,,,,,,
Datum: ,10-06-2017,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B25B2783,001,,115823,498613,-26,01-08-2013,05-09-2013,15-05-2017,-32,-6,-332,


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B25B2783,001,05-09-2013,94,100,-126,,,,,,
B25B2783,001,06-09-2013,93,99,-125,,,,,,
B25B2783,001,07-09-2013,94,100,-126,,,,,,
B25B2783,001,08-09-2013,91,97,-123,,,,,,
B25B2783,001,09-09-2013,84,90,-116,,,,,,
B25B2783,001,10-09-2013,80,86,-112,,,,,,
B25B2783,001,11-09-2013,66,72,-98,,,,,,
B25B2783,001,12-09-2013,68,74,-100,,,,,,
B25B2783,001,13-09-2013,70,76,-102,,,,,,
B25B2783,001,14-09-2013,65,71,-97,,,,,,
B25B2783,001,15-09-2013,66,72,-98,,,,,,
B25B2783,001,16-09-2013,63,69,-95,,,,,,
B25B2783,001,17-09-2013,66,72,-98,,,,,,
B25B2783,001,18-09-2013,62,68,-94,,,,,,
B25B2783,001,19-09-2013,65,71,-97,,,,,,
B25B2783,001,20-09-2013,60,66,-92,,,,,,
B25B2783,001,21-09-2013,64,70,-96,,,,,,
B25B2783,001,22-09-2013,66,72,-98,,,,,,
B25B2783,001,23-09-2013,68,74,-100,,,,,,
B25B2783,001,24-09-2013,68,74,-100,,,,,,
B25B2783,001,25-09-2013,69,75,-101,,,,,,
B25B2783,001,26-09-2013,71,77,-103,,,,,,
B25B2783,001,27-09-2013,73,79,-105,,,,,,
B25B2783,001,28-09-2013,74,80,-106,,,,,,
B25B2783,001,29-09-2013,75,81,-107,,,,,,
B25B2783,001,30-09-2013,76,82,-108,,,,,,
B25B2783,001,01-10-2013,77,83,-109,,,,,,
B25B2783,001,02-10-2013,78,84,-110,,,,,,
B25B2783,001,03-10-2013,79,85,-111,,,,,,
B25B2783,001,04-10-2013,77,83,-109,,,,,,
B25B2783,001,05-10-2013,78,84,-110,,,,,,
B25B2783,001,06-10-2013,80,86,-112,,,,,,
B25B2783,001,07-10-2013,81,87,-113,,,,,,
B25B2783,001,08-10-2013,81,87,-113,,,,,,
B25B2783,001,09-10-2013,81,87,-113,,,,,,
B25B2783,001,10-10-2013,79,85,-111,,,,,,
B25B2783,001,11-10-2013,76,82,-108,,,,,,
B25B2783,001,12-10-2013,64,70,-96,,,,,,
B25B2783,001,13-10-2013,59,65,-91,,,,,,
B25B2783,001,14-10-2013,48,54,-80,,,,,,
B25B2783,001,15-10-2013,48,54,-80,,,,,,
B25B2783,001,16-10-2013,51,57,-83,,,,,,
B25B2783,001,17-10-2013,54,60,-86,,,,,,
B25B2783,001,18-10-2013,57,63,-89,,,,,,
B25B2783,001,19-10-2013,58,64,-90,,,,,,
B25B2783,001,20-10-2013,56,62,-88,,,,,,
B25B2783,001,21-10-2013,58,64,-90,,,,,,
B25B2783,001,22-10-2013,60,66,-92,,,,,,
B25B2783,001,23-10-2013,61,67,-93,,,,,,
B25B2783,001,24-10-2013,64,70,-96,,,,,,
B25B2783,001,25-10-2013,65,71,-97,,,,,,
B25B2783,001,26-10-2013,66,72,-98,,,,,,
B25B2783,001,27-10-2013,61,67,-93,,,,,,
B25B2783,001,28-10-2013,54,60,-86,,,,,,
B25B2783,001,29-10-2013,53,59,-85,,,,,,
B25B2783,001,30-10-2013,56,62,-88,,,,,,
B25B2783,001,31-10-2013,59,65,-91,,,,,,
B25B2783,001,01-11-2013,61,67,-93,,,,,,
B25B2783,001,02-11-2013,58,64,-90,,,,,,
B25B2783,001,03-11-2013,58,64,-90,,,,,,
B25B2783,001,04-11-2013,43,49,-75,,,,,,
B25B2783,001,05-11-2013,43,49,-75,,,,,,
B25B2783,001,06-11-2013,44,50,-76,,,,,,
B25B2783,001,07-11-2013,45,51,-77,,,,,,
B25B2783,001,08-11-2013,49,55,-81,,,,,,
B25B2783,001,09-11-2013,51,57,-83,,,,,,
B25B2783,001,10-11-2013,44,50,-76,,,,,,
B25B2783,001,11-11-2013,49,55,-81,,,,,,
B25B2783,001,12-11-2013,51,57,-83,,,,,,
B25B2783,001,13-11-2013,54,60,-86,,,,,,
B25B2783,001,14-11-2013,55,61,-87,,,,,,
B25B2783,001,15-11-2013,56,62,-88,,,,,,
B25B2783,001,16-11-2013,59,65,-91,,,,,,
B25B2783,001,17-11-2013,60,66,-92,,,,,,
B25B2783,001,18-11-2013,60,66,-92,,,,,,
B25B2783,001,19-11-2013,60,66,-92,,,,,,
B25B2783,001,20-11-2013,61,67,-93,,,,,,
B25B2783,001,21-11-2013,61,67,-93,,,,,,
B25B2783,001,22-11-2013,63,69,-95,,,,,,
B25B2783,001,23-11-2013,65,71,-97,,,,,,
B25B2783,001,24-11-2013,67,73,-99,,,,,,
B25B2783,001,25-11-2013,68,74,-100,,,,,,
B25B2783,001,26-11-2013,70,76,-102,,,,,,
B25B2783,001,27-11-2013,71,77,-103,,,,,,
B25B2783,001,28-11-2013,71,77,-103,,,,,,
B25B2783,001,29-11-2013,71,77,-103,,,,,,
B25B2783,001,30-11-2013,69,75,-101,,,,,,
B25B2783,001,01-12-2013,71,77,-103,,,,,,
B25B2783,001,02-12-2013,72,78,-104,,,,,,
B25B2783,001,03-12-2013,73,79,-105,,,,,,
B25B2783,001,04-12-2013,73,79,-105,,,,,,
B25B2783,001,05-12-2013,73,79,-105,,,,,,
B25B2783,001,06-12-2013,68,74,-100,,,,,,
B25B2783,001,07-12-2013,69,75,-101,,,,,,
B25B2783,001,08-12-2013,71,77,-103,,,,,,
B25B2783,001,09-12-2013,71,77,-103,,,,,,
B25B2783,001,10-12-2013,73,79,-105,,,,,,
B25B2783,001,11-12-2013,74,80,-106,,,,,,
B25B2783,001,12-12-2013,75,81,-107,,,,,,
B25B2783,001,13-12-2013,75,81,-107,,,,,,
B25B2783,001,14-12-2013,74,80,-106,,,,,,
B25B2783,001,15-12-2013,72,78,-104,,,,,,
B25B2783,001,16-12-2013,72,78,-104,,,,,,
B25B2783,001,17-12-2013,70,76,-102,,,,,,
B25B2783,001,18-12-2013,70,76,-102,,,,,,
B25B2783,001,19-12-2013,65,71,-97,,,,,,
B25B2783,001,20-12-2013,68,74,-100,,,,,,
B25B2783,001,21-12-2013,69,75,-101,,,,,,
B25B2783,001,22-12-2013,64,70,-96,,,,,,
B25B2783,001,23-12-2013,63,69,-95,,,,,,
B25B2783,001,24-12-2013,59,65,-91,,,,,,
B25B2783,001,25-12-2013,54,60,-86,,,,,,
B25B2783,001,26-12-2013,57,63,-89,,,,,,
B25B2783,001,27-12-2013,56,62,-88,,,,,,
B25B2783,001,28-12-2013,57,63,-89,,,,,,
B25B2783,001,29-12-2013,60,66,-92,,,,,,
B25B2783,001,30-12-2013,63,69,-95,,,,,,
B25B2783,001,31-12-2013,64,70,-96,,,,,,
B25B2783,001,01-01-2014,62,68,-94,,,,,,
B25B2783,001,02-01-2014,60,66,-92,,,,,,
B25B2783,001,03-01-2014,60,66,-92,,,,,,
B25B2783,001,04-01-2014,62,68,-94,,,,,,
B25B2783,001,05-01-2014,64,70,-96,,,,,,
B25B2783,001,06-01-2014,65,71,-97,,,,,,
B25B2783,001,07-01-2014,61,67,-93,,,,,,
B25B2783,001,08-01-2014,57,63,-89,,,,,,
B25B2783,001,09-01-2014,56,62,-88,,,,,,
B25B2783,001,10-01-2014,58,64,-90,,,,,,
B25B2783,001,11-01-2014,60,66,-92,,,,,,
B25B2783,001,12-01-2014,63,69,-95,,,,,,
B25B2783,001,13-01-2014,63,69,-95,,,,,,
B25B2783,001,14-01-2014,64,70,-96,,,,,,
B25B2783,001,15-01-2014,65,71,-97,,,,,,
B25B2783,001,16-01-2014,64,70,-96,,,,,,
B25B2783,001,17-01-2014,62,68,-94,,,,,,
B25B2783,001,18-01-2014,63,69,-95,,,,,,
B25B2783,001,19-01-2014,65,71,-97,,,,,,
B25B2783,001,20-01-2014,67,73,-99,,,,,,
B25B2783,001,21-01-2014,68,74,-100,,,,,,
B25B2783,001,22-01-2014,70,76,-102,,,,,,
B25B2783,001,23-01-2014,66,72,-98,,,,,,
B25B2783,001,24-01-2014,60,66,-92,,,,,,
B25B2783,001,25-01-2014,63,69,-95,,,,,,
B25B2783,001,26-01-2014,58,64,-90,,,,,,
B25B2783,001,27-01-2014,53,59,-85,,,,,,
B25B2783,001,28-01-2014,55,61,-87,,,,,,
B25B2783,001,29-01-2014,59,65,-91,,,,,,
B25B2783,001,30-01-2014,62,68,-94,,,,,,
B25B2783,001,31-01-2014,64,70,-96,,,,,,
B25B2783,001,01-02-2014,59,65,-91,,,,,,
B25B2783,001,02-02-2014,62,68,-94,,,,,,
B25B2783,001,03-02-2014,64,70,-96,,,,,,
B25B2783,001,04-02-2014,66,72,-98,,,,,,
B25B2783,001,05-02-2014,66,72,-98,,,,,,
B25B2783,001,06-02-2014,66,72,-98,,,,,,
