Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,10-06-2017,,,,,,,,
Gegevens beschikbaar:,15-10-1990,tot:,20-12-2016,,,,,,,,
Datum: ,10-06-2017,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B25A1321,002,25AP1321,103690,495070,445,01-01-1990,15-10-1990,20-12-2016,434,-11,-1655,-1755


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B25A1321,002,15-10-1990,688,699,-254,,,,,,
B25A1321,002,29-10-1990,678,689,-244,,,,,,
B25A1321,002,14-11-1990,686,697,-252,,,,,,
B25A1321,002,28-11-1990,676,687,-242,,,,,,
B25A1321,002,14-12-1990,658,669,-224,,,,,,
B25A1321,002,28-12-1990,632,643,-198,,,,,,
B25A1321,002,14-01-1991,594,605,-160,,,,,,
B25A1321,002,28-01-1991,568,579,-134,,,,,,
B25A1321,002,14-02-1991,683,694,-249,,,,,,
B25A1321,002,28-02-1991,681,692,-247,,,,,,
B25A1321,002,14-03-1991,598,609,-164,,,,,,
B25A1321,002,28-03-1991,687,698,-253,,,,,,
B25A1321,002,15-04-1991,692,703,-258,,,,,,
B25A1321,002,26-04-1991,700,711,-266,,,,,,
B25A1321,002,14-05-1991,700,711,-266,,,,,,
B25A1321,002,28-05-1991,671,682,-237,,,,,,
B25A1321,002,14-06-1991,640,651,-206,,,,,,
B25A1321,002,28-06-1991,595,606,-161,,,,,,
B25A1321,002,14-07-1991,658,669,-224,,,,,,
B25A1321,002,29-07-1991,635,646,-201,,,,,,
B25A1321,002,14-08-1991,723,734,-289,,,,,,
B25A1321,002,28-08-1991,660,671,-226,,,,,,
B25A1321,002,14-09-1991,720,731,-286,,,,,,
B25A1321,002,27-09-1991,714,725,-280,,,,,,
B25A1321,002,14-10-1991,712,723,-278,,,,,,
B25A1321,002,28-10-1991,684,695,-250,,,,,,
B25A1321,002,14-11-1991,696,707,-262,,,,,,
B25A1321,002,28-11-1991,651,662,-217,,,,,,
B25A1321,002,14-12-1991,680,691,-246,,,,,,
B25A1321,002,24-12-1991,653,664,-219,,,,,,
B25A1321,002,14-01-1992,578,589,-144,,,,,,
B25A1321,002,28-01-1992,555,566,-121,,,,,,
B25A1321,002,14-02-1992,598,609,-164,,,,,,
B25A1321,002,28-02-1992,550,561,-116,,,,,,
B25A1321,002,14-03-1992,646,657,-212,,,,,,
B25A1321,002,28-03-1992,640,651,-206,,,,,,
B25A1321,002,14-04-1992,664,675,-230,,,,,,
B25A1321,002,28-04-1992,692,703,-258,,,,,,
B25A1321,002,14-05-1992,677,688,-243,,,,,,
B25A1321,002,28-05-1992,735,746,-301,,,,,,
B25A1321,002,15-06-1992,731,742,-297,,,,,,
B25A1321,002,30-06-1992,749,760,-315,,,,,,
B25A1321,002,28-08-1992,647,658,-213,,,,,,
B25A1321,002,15-09-1992,630,641,-196,,,,,,
B25A1321,002,29-09-1992,631,642,-197,,,,,,
B25A1321,002,14-10-1992,629,640,-195,,,,,,
B25A1321,002,29-10-1992,595,606,-161,,,,,,
B25A1321,002,13-11-1992,611,622,-177,,,,,,
B25A1321,002,27-11-1992,591,602,-157,,,,,,
B25A1321,002,15-12-1992,625,636,-191,,,,,,
B25A1321,002,29-12-1992,595,606,-161,,,,,,
B25A1321,002,15-01-1993,596,607,-162,,,,,,
B25A1321,002,29-01-1993,614,625,-180,,,,,,
B25A1321,002,16-02-1993,633,644,-199,,,,,,
B25A1321,002,02-03-1993,549,560,-115,,,,,,
B25A1321,002,16-03-1993,560,571,-126,,,,,,
B25A1321,002,30-03-1993,563,574,-129,,,,,,
B25A1321,002,15-04-1993,561,572,-127,,,,,,
B25A1321,002,28-04-1993,573,584,-139,,,,,,
B25A1321,002,14-05-1993,567,578,-133,,,,,,
B25A1321,002,28-05-1993,569,580,-135,,,,,,
B25A1321,002,15-06-1993,600,611,-166,,,,,,
B25A1321,002,29-06-1993,610,621,-176,,,,,,
B25A1321,002,15-07-1993,621,632,-187,,,,,,
B25A1321,002,29-07-1993,665,676,-231,,,,,,
B25A1321,002,12-08-1993,680,691,-246,,,,,,
B25A1321,002,25-08-1993,717,728,-283,,,,,,
B25A1321,002,15-09-1993,699,710,-265,,,,,,
B25A1321,002,29-09-1993,683,694,-249,,,,,,
B25A1321,002,15-10-1993,684,695,-250,,,,,,
B25A1321,002,29-10-1993,675,686,-241,,,,,,
B25A1321,002,16-11-1993,664,675,-230,,,,,,
B25A1321,002,30-11-1993,657,668,-223,,,,,,
B25A1321,002,14-12-1993,607,618,-173,,,,,,
B25A1321,002,29-12-1993,640,651,-206,,,,,,
B25A1321,002,14-01-1994,652,663,-218,,,,,,
B25A1321,002,28-01-1994,648,659,-214,,,,,,
B25A1321,002,15-02-1994,648,659,-214,,,,,,
B25A1321,002,01-03-1994,653,664,-219,,,,,,
B25A1321,002,15-03-1994,638,649,-204,,,,,,
B25A1321,002,29-03-1994,630,641,-196,,,,,,
B25A1321,002,15-04-1994,660,671,-226,,,,,,
B25A1321,002,28-04-1994,594,605,-160,,,,,,
B25A1321,002,17-05-1994,684,695,-250,,,,,,
B25A1321,002,27-05-1994,616,627,-182,,,,,,
B25A1321,002,14-06-1994,602,613,-168,,,,,,
B25A1321,002,28-06-1994,617,628,-183,,,,,,
B25A1321,002,15-07-1994,644,655,-210,,,,,,
B25A1321,002,29-07-1994,655,666,-221,,,,,,
B25A1321,002,16-08-1994,626,637,-192,,,,,,
B25A1321,002,30-08-1994,632,643,-198,,,,,,
B25A1321,002,15-09-1994,570,581,-136,,,,,,
B25A1321,002,29-09-1994,538,549,-104,,,,,,
B25A1321,002,14-10-1994,546,557,-112,,,,,,
B25A1321,002,28-10-1994,509,520,-75,,,,,,
B25A1321,002,15-11-1994,531,542,-97,,,,,,
B25A1321,002,29-11-1994,550,561,-116,,,,,,
B25A1321,002,14-12-1994,545,556,-111,,,,,,
B25A1321,002,28-12-1994,525,536,-91,,,,,,
B25A1321,002,13-01-1995,519,530,-85,,,,,,
B25A1321,002,27-01-1995,520,531,-86,,,,,,
B25A1321,002,14-02-1995,512,523,-78,,,,,,
B25A1321,002,28-02-1995,512,523,-78,,,,,,
B25A1321,002,14-03-1995,518,529,-84,,,,,,
B25A1321,002,28-03-1995,507,518,-73,,,,,,
B25A1321,002,13-04-1995,564,575,-130,,,,,,
B25A1321,002,28-04-1995,515,526,-81,,,,,,
B25A1321,002,16-05-1995,543,554,-109,,,,,,
B25A1321,002,30-05-1995,560,571,-126,,,,,,
B25A1321,002,14-06-1995,530,541,-96,,,,,,
B25A1321,002,28-06-1995,580,591,-146,,,,,,
B25A1321,002,14-07-1995,608,619,-174,,,,,,
B25A1321,002,28-07-1995,597,608,-163,,,,,,
B25A1321,002,15-08-1995,651,662,-217,,,,,,
B25A1321,002,29-08-1995,584,595,-150,,,,,,
B25A1321,002,15-09-1995,580,591,-146,,,,,,
B25A1321,002,29-09-1995,569,580,-135,,,,,,
B25A1321,002,13-10-1995,570,581,-136,,,,,,
