Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B24F0030,001,24FP0030,99597,488142,925,,937,-3725,-3825,1960/07/11,2000/08/17
B24F0030,001,24FP0030,99597,488142,925,,932,-3725,-3825,2000/08/17,2005/04/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B24F0030,001,1960/09/28 00:00:00,940,
B24F0030,001,1960/10/28 00:00:00,932,
B24F0030,001,1960/11/28 00:00:00,899,
B24F0030,001,1960/12/28 00:00:00,884,
B24F0030,001,1961/01/28 00:00:00,896,
B24F0030,001,1961/02/28 00:00:00,896,
B24F0030,001,1961/03/28 00:00:00,890,
B24F0030,001,1961/04/28 00:00:00,896,
B24F0030,001,1961/05/29 00:00:00,907,
B24F0030,001,1961/06/28 00:00:00,923,
B24F0030,001,1961/07/28 00:00:00,915,
B24F0030,001,1961/08/28 00:00:00,898,
B24F0030,001,1961/09/28 00:00:00,890,
B24F0030,001,1961/10/30 00:00:00,881,
B24F0030,001,1961/11/28 00:00:00,864,
B24F0030,001,1962/01/29 00:00:00,856,
B24F0030,001,1962/02/28 00:00:00,864,
B24F0030,001,1962/03/28 00:00:00,859,
B24F0030,001,1962/05/01 00:00:00,864,
B24F0030,001,1962/05/28 00:00:00,865,
B24F0030,001,1962/06/28 00:00:00,876,
B24F0030,001,1962/07/27 00:00:00,884,
B24F0030,001,1962/08/28 00:00:00,876,
B24F0030,001,1962/09/28 00:00:00,878,
B24F0030,001,1962/10/29 00:00:00,878,
B24F0030,001,1962/11/28 00:00:00,880,
B24F0030,001,1962/12/28 00:00:00,874,
B24F0030,001,1963/01/28 00:00:00,902,
B24F0030,001,1963/02/28 00:00:00,912,
B24F0030,001,1963/03/28 00:00:00,898,
B24F0030,001,1963/04/29 00:00:00,903,
B24F0030,001,1963/06/04 00:00:00,902,
B24F0030,001,1963/06/28 00:00:00,893,
B24F0030,001,1963/07/29 00:00:00,906,
B24F0030,001,1963/08/28 00:00:00,924,
B24F0030,001,1963/09/30 00:00:00,899,
B24F0030,001,1963/10/28 00:00:00,910,
B24F0030,001,1963/11/28 00:00:00,879,
B24F0030,001,1963/12/24 00:00:00,884,
B24F0030,001,1964/01/28 00:00:00,886,
B24F0030,001,1964/02/28 00:00:00,895,
B24F0030,001,1964/03/26 00:00:00,899,
B24F0030,001,1964/05/04 00:00:00,900,
B24F0030,001,1964/05/28 00:00:00,914,
B24F0030,001,1964/06/28 00:00:00,919,
B24F0030,001,1964/07/28 00:00:00,923,
B24F0030,001,1964/08/28 00:00:00,919,
B24F0030,001,1964/09/28 00:00:00,930,
B24F0030,001,1964/10/28 00:00:00,922,
B24F0030,001,1964/12/01 00:00:00,918,
B24F0030,001,1965/01/28 00:00:00,899,
B24F0030,001,1965/03/01 00:00:00,893,
B24F0030,001,1965/03/29 00:00:00,897,
B24F0030,001,1965/04/28 00:00:00,898,
B24F0030,001,1965/05/28 00:00:00,900,
B24F0030,001,1965/06/28 00:00:00,904,
B24F0030,001,1965/07/28 00:00:00,895,
B24F0030,001,1965/08/30 00:00:00,896,
B24F0030,001,1965/10/14 00:00:00,904,
B24F0030,001,1965/10/28 00:00:00,900,
B24F0030,001,1965/11/29 00:00:00,897,
B24F0030,001,1965/12/28 00:00:00,867,
B24F0030,001,1966/01/28 00:00:00,872,
B24F0030,001,1966/02/28 00:00:00,869,
B24F0030,001,1966/03/28 00:00:00,865,
