Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,10-06-2017,,,,,,,,
Gegevens beschikbaar:,01-08-2000,tot:,12-01-2005,,,,,,,,
Datum: ,10-06-2017,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B25A1506,004,,104470,492127,,,01-01-2000,12-01-2005,47,,-3153,-3253


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B25A1506,004,01-08-2000,112,,-65,,,,,,
B25A1506,004,02-08-2000,112,,-65,,,,,,
B25A1506,004,03-08-2000,113,,-66,,,,,,
B25A1506,004,04-08-2000,114,,-67,,,,,,
B25A1506,004,05-08-2000,117,,-70,,,,,,
B25A1506,004,06-08-2000,116,,-69,,,,,,
B25A1506,004,07-08-2000,117,,-70,,,,,,
B25A1506,004,08-08-2000,116,,-69,,,,,,
B25A1506,004,09-08-2000,118,,-71,,,,,,
B25A1506,004,10-08-2000,118,,-71,,,,,,
B25A1506,004,11-08-2000,119,,-72,,,,,,
B25A1506,004,12-08-2000,120,,-73,,,,,,
B25A1506,004,13-08-2000,120,,-73,,,,,,
B25A1506,004,14-08-2000,112,,-65,,,,,,
B25A1506,004,15-08-2000,111,,-64,,,,,,
B25A1506,004,16-08-2000,110,,-63,,,,,,
B25A1506,004,17-08-2000,110,,-63,,,,,,
B25A1506,004,18-08-2000,110,,-63,,,,,,
B25A1506,004,19-08-2000,113,,-66,,,,,,
B25A1506,004,20-08-2000,111,,-64,,,,,,
B25A1506,004,21-08-2000,110,,-63,,,,,,
B25A1506,004,22-08-2000,106,,-59,,,,,,
B25A1506,004,23-08-2000,107,,-60,,,,,,
B25A1506,004,24-08-2000,108,,-61,,,,,,
B25A1506,004,25-08-2000,112,,-65,,,,,,
B25A1506,004,26-08-2000,112,,-65,,,,,,
B25A1506,004,27-08-2000,115,,-68,,,,,,
B25A1506,004,28-08-2000,115,,-68,,,,,,
B25A1506,004,29-08-2000,114,,-67,,,,,,
B25A1506,004,30-08-2000,113,,-66,,,,,,
B25A1506,004,31-08-2000,113,,-66,,,,,,
B25A1506,004,01-09-2000,112,,-65,,,,,,
B25A1506,004,02-09-2000,110,,-63,,,,,,
B25A1506,004,03-09-2000,111,,-64,,,,,,
B25A1506,004,04-09-2000,111,,-64,,,,,,
B25A1506,004,05-09-2000,111,,-64,,,,,,
B25A1506,004,06-09-2000,111,,-64,,,,,,
B25A1506,004,07-09-2000,110,,-63,,,,,,
B25A1506,004,08-09-2000,110,,-63,,,,,,
B25A1506,004,09-09-2000,109,,-62,,,,,,
B25A1506,004,10-09-2000,109,,-62,,,,,,
B25A1506,004,11-09-2000,107,,-60,,,,,,
B25A1506,004,12-09-2000,106,,-59,,,,,,
B25A1506,004,13-09-2000,108,,-61,,,,,,
B25A1506,004,14-09-2000,109,,-62,,,,,,
B25A1506,004,15-09-2000,111,,-64,,,,,,
B25A1506,004,16-09-2000,109,,-62,,,,,,
B25A1506,004,17-09-2000,109,,-62,,,,,,
B25A1506,004,18-09-2000,108,,-61,,,,,,
B25A1506,004,19-09-2000,109,,-62,,,,,,
B25A1506,004,20-09-2000,110,,-63,,,,,,
B25A1506,004,21-09-2000,111,,-64,,,,,,
B25A1506,004,22-09-2000,113,,-66,,,,,,
B25A1506,004,23-09-2000,113,,-66,,,,,,
B25A1506,004,24-09-2000,113,,-66,,,,,,
B25A1506,004,25-09-2000,115,,-68,,,,,,
B25A1506,004,26-09-2000,113,,-66,,,,,,
B25A1506,004,27-09-2000,113,,-66,,,,,,
B25A1506,004,28-09-2000,111,,-64,,,,,,
B25A1506,004,29-09-2000,108,,-61,,,,,,
