Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,08-06-2017,,,,,,,,
Gegevens beschikbaar:,28-05-1958,tot:,14-02-1988,,,,,,,,
Datum: ,08-06-2017,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B25A0549,001,25AP0549,102370,489650,70,01-01-1958,22-05-1958,14-01-1961,62,-8,-570,-670
B25A0549,001,25AP0549,102370,489650,68,14-01-1961,14-01-1961,28-02-1988,61,-7,-570,-670


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B25A0549,001,28-05-1958,63,71,-1,,,,,,
B25A0549,001,04-06-1958,70,78,-8,,,,,,
B25A0549,001,13-06-1958,72,80,-10,,,,,,
B25A0549,001,20-06-1958,70,78,-8,,,,,,
B25A0549,001,28-06-1958,74,82,-12,,,,,,
B25A0549,001,07-07-1958,68,76,-6,,,,,,
B25A0549,001,14-07-1958,77,85,-15,,,,,,
B25A0549,001,21-07-1958,75,83,-13,,,,,,
B25A0549,001,28-07-1958,72,80,-10,,,,,,
B25A0549,001,05-08-1958,79,87,-17,,,,,,
B25A0549,001,14-08-1958,75,83,-13,,,,,,
B25A0549,001,21-08-1958,79,87,-17,,,,,,
B25A0549,001,28-08-1958,76,84,-14,,,,,,
B25A0549,001,08-09-1958,80,88,-18,,,,,,
B25A0549,001,15-09-1958,78,86,-16,,,,,,
B25A0549,001,22-09-1958,75,83,-13,,,,,,
B25A0549,001,29-09-1958,65,73,-3,,,,,,
B25A0549,001,06-10-1958,78,86,-16,,,,,,
B25A0549,001,14-10-1958,60,68,2,,,,,,
B25A0549,001,28-10-1958,66,74,-4,,,,,,
B25A0549,001,12-11-1958,67,75,-5,,,,,,
B25A0549,001,28-11-1958,75,83,-13,,,,,,
B25A0549,001,15-12-1958,61,69,1,,,,,,
B25A0549,001,29-12-1958,64,72,-2,,,,,,
B25A0549,001,14-01-1959,49,57,13,,,,,,
B25A0549,001,02-02-1959,68,76,-6,,,,,,
B25A0549,001,14-02-1959,75,83,-13,,,,,,
B25A0549,001,28-02-1959,70,78,-8,,,,,,
