Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,08-06-2017,,,,,,,,
Gegevens beschikbaar:,06-08-2014,tot:,19-04-2017,,,,,,,,
Datum: ,08-06-2017,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B25A3885,001,,102871,490333,43,18-07-2014,18-07-2014,19-04-2017,33,-10,-67,-167


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B25A3885,001,06-08-2014,94,104,-61,,,,,,
B25A3885,001,07-08-2014,93,103,-60,,,,,,
B25A3885,001,08-08-2014,94,104,-61,,,,,,
B25A3885,001,09-08-2014,96,106,-63,,,,,,
B25A3885,001,10-08-2014,95,105,-62,,,,,,
B25A3885,001,11-08-2014,96,106,-63,,,,,,
B25A3885,001,12-08-2014,94,104,-61,,,,,,
B25A3885,001,13-08-2014,92,102,-59,,,,,,
B25A3885,001,14-08-2014,95,105,-62,,,,,,
B25A3885,001,15-08-2014,95,105,-62,,,,,,
B25A3885,001,16-08-2014,97,107,-64,,,,,,
B25A3885,001,17-08-2014,95,105,-62,,,,,,
B25A3885,001,18-08-2014,95,105,-62,,,,,,
B25A3885,001,19-08-2014,88,98,-55,,,,,,
B25A3885,001,20-08-2014,85,95,-52,,,,,,
B25A3885,001,21-08-2014,85,95,-52,,,,,,
B25A3885,001,22-08-2014,77,87,-44,,,,,,
B25A3885,001,23-08-2014,66,76,-33,,,,,,
B25A3885,001,24-08-2014,72,82,-39,,,,,,
B25A3885,001,25-08-2014,75,85,-42,,,,,,
B25A3885,001,26-08-2014,69,79,-36,,,,,,
B25A3885,001,27-08-2014,76,86,-43,,,,,,
B25A3885,001,28-08-2014,79,89,-46,,,,,,
B25A3885,001,29-08-2014,80,90,-47,,,,,,
B25A3885,001,30-08-2014,82,92,-49,,,,,,
B25A3885,001,31-08-2014,84,94,-51,,,,,,
B25A3885,001,01-09-2014,87,97,-54,,,,,,
B25A3885,001,02-09-2014,89,99,-56,,,,,,
B25A3885,001,03-09-2014,91,101,-58,,,,,,
B25A3885,001,04-09-2014,92,102,-59,,,,,,
B25A3885,001,05-09-2014,92,102,-59,,,,,,
B25A3885,001,06-09-2014,93,103,-60,,,,,,
B25A3885,001,07-09-2014,94,104,-61,,,,,,
B25A3885,001,08-09-2014,95,105,-62,,,,,,
B25A3885,001,09-09-2014,97,107,-64,,,,,,
B25A3885,001,10-09-2014,97,107,-64,,,,,,
B25A3885,001,11-09-2014,97,107,-64,,,,,,
B25A3885,001,12-09-2014,98,108,-65,,,,,,
B25A3885,001,13-09-2014,98,108,-65,,,,,,
B25A3885,001,14-09-2014,98,108,-65,,,,,,
B25A3885,001,15-09-2014,97,107,-64,,,,,,
B25A3885,001,16-09-2014,98,108,-65,,,,,,
B25A3885,001,17-09-2014,98,108,-65,,,,,,
B25A3885,001,18-09-2014,98,108,-65,,,,,,
B25A3885,001,19-09-2014,99,109,-66,,,,,,
B25A3885,001,20-09-2014,100,110,-67,,,,,,
B25A3885,001,21-09-2014,101,111,-68,,,,,,
B25A3885,001,22-09-2014,100,110,-67,,,,,,
B25A3885,001,23-09-2014,101,111,-68,,,,,,
B25A3885,001,24-09-2014,99,109,-66,,,,,,
B25A3885,001,25-09-2014,100,110,-67,,,,,,
B25A3885,001,26-09-2014,100,110,-67,,,,,,
B25A3885,001,27-09-2014,101,111,-68,,,,,,
B25A3885,001,28-09-2014,99,109,-66,,,,,,
B25A3885,001,29-09-2014,99,109,-66,,,,,,
B25A3885,001,30-09-2014,100,110,-67,,,,,,
B25A3885,001,01-10-2014,100,110,-67,,,,,,
B25A3885,001,02-10-2014,100,110,-67,,,,,,
B25A3885,001,03-10-2014,98,108,-65,,,,,,
B25A3885,001,04-10-2014,98,108,-65,,,,,,
B25A3885,001,05-10-2014,96,106,-63,,,,,,
B25A3885,001,06-10-2014,95,105,-62,,,,,,
B25A3885,001,07-10-2014,93,103,-60,,,,,,
B25A3885,001,08-10-2014,94,104,-61,,,,,,
B25A3885,001,09-10-2014,93,103,-60,,,,,,
B25A3885,001,10-10-2014,94,104,-61,,,,,,
B25A3885,001,11-10-2014,94,104,-61,,,,,,
B25A3885,001,12-10-2014,94,104,-61,,,,,,
B25A3885,001,13-10-2014,92,102,-59,,,,,,
B25A3885,001,14-10-2014,92,102,-59,,,,,,
B25A3885,001,15-10-2014,91,101,-58,,,,,,
B25A3885,001,16-10-2014,90,100,-57,,,,,,
B25A3885,001,17-10-2014,91,101,-58,,,,,,
B25A3885,001,18-10-2014,92,102,-59,,,,,,
B25A3885,001,19-10-2014,92,102,-59,,,,,,
B25A3885,001,20-10-2014,93,103,-60,,,,,,
B25A3885,001,21-10-2014,86,96,-53,,,,,,
B25A3885,001,22-10-2014,79,89,-46,,,,,,
B25A3885,001,23-10-2014,83,93,-50,,,,,,
B25A3885,001,24-10-2014,85,95,-52,,,,,,
B25A3885,001,25-10-2014,81,91,-48,,,,,,
B25A3885,001,26-10-2014,85,95,-52,,,,,,
B25A3885,001,27-10-2014,87,97,-54,,,,,,
B25A3885,001,28-10-2014,88,98,-55,,,,,,
B25A3885,001,29-10-2014,89,99,-56,,,,,,
B25A3885,001,30-10-2014,91,101,-58,,,,,,
B25A3885,001,31-10-2014,92,102,-59,,,,,,
B25A3885,001,01-11-2014,91,101,-58,,,,,,
B25A3885,001,02-11-2014,91,101,-58,,,,,,
B25A3885,001,03-11-2014,88,98,-55,,,,,,
B25A3885,001,04-11-2014,83,93,-50,,,,,,
B25A3885,001,05-11-2014,87,97,-54,,,,,,
B25A3885,001,06-11-2014,89,99,-56,,,,,,
B25A3885,001,07-11-2014,88,98,-55,,,,,,
B25A3885,001,08-11-2014,90,100,-57,,,,,,
B25A3885,001,09-11-2014,90,100,-57,,,,,,
B25A3885,001,10-11-2014,91,101,-58,,,,,,
B25A3885,001,11-11-2014,92,102,-59,,,,,,
B25A3885,001,12-11-2014,93,103,-60,,,,,,
B25A3885,001,13-11-2014,94,104,-61,,,,,,
B25A3885,001,14-11-2014,93,103,-60,,,,,,
B25A3885,001,15-11-2014,83,93,-50,,,,,,
B25A3885,001,16-11-2014,79,89,-46,,,,,,
B25A3885,001,17-11-2014,75,85,-42,,,,,,
B25A3885,001,18-11-2014,80,90,-47,,,,,,
B25A3885,001,19-11-2014,85,95,-52,,,,,,
B25A3885,001,20-11-2014,87,97,-54,,,,,,
B25A3885,001,21-11-2014,88,98,-55,,,,,,
B25A3885,001,22-11-2014,88,98,-55,,,,,,
B25A3885,001,23-11-2014,88,98,-55,,,,,,
B25A3885,001,24-11-2014,87,97,-54,,,,,,
B25A3885,001,25-11-2014,88,98,-55,,,,,,
B25A3885,001,26-11-2014,87,97,-54,,,,,,
B25A3885,001,27-11-2014,86,96,-53,,,,,,
B25A3885,001,28-11-2014,87,97,-54,,,,,,
B25A3885,001,29-11-2014,91,101,-58,,,,,,
B25A3885,001,30-11-2014,91,101,-58,,,,,,
B25A3885,001,01-12-2014,83,93,-50,,,,,,
B25A3885,001,02-12-2014,85,95,-52,,,,,,
B25A3885,001,03-12-2014,88,98,-55,,,,,,
B25A3885,001,04-12-2014,88,98,-55,,,,,,
B25A3885,001,05-12-2014,91,101,-58,,,,,,
B25A3885,001,06-12-2014,90,100,-57,,,,,,
B25A3885,001,07-12-2014,83,93,-50,,,,,,
B25A3885,001,08-12-2014,82,92,-49,,,,,,
B25A3885,001,09-12-2014,84,94,-51,,,,,,
B25A3885,001,10-12-2014,78,88,-45,,,,,,
B25A3885,001,11-12-2014,78,88,-45,,,,,,
B25A3885,001,12-12-2014,67,77,-34,,,,,,
B25A3885,001,13-12-2014,74,84,-41,,,,,,
B25A3885,001,14-12-2014,77,87,-44,,,,,,
B25A3885,001,15-12-2014,78,88,-45,,,,,,
B25A3885,001,16-12-2014,77,87,-44,,,,,,
B25A3885,001,17-12-2014,75,85,-42,,,,,,
B25A3885,001,18-12-2014,77,87,-44,,,,,,
B25A3885,001,19-12-2014,78,88,-45,,,,,,
B25A3885,001,03-02-2015,74,84,-41,,,,,,
B25A3885,001,04-02-2015,77,87,-44,,,,,,
B25A3885,001,05-02-2015,81,91,-48,,,,,,
B25A3885,001,06-02-2015,83,93,-50,,,,,,
B25A3885,001,07-02-2015,85,95,-52,,,,,,
