LOCATIE gegevens
NITG-nr	X-coord	Y-coord	Coordinaat systeem	Kaartblad	Bepaling locatie	Maaiveldhoogte (m tov NAP)	Bepaling maaiveldhoogte	OLGA-nr	RIVM-nr	Aantal analyses	Meetnet	Indeling	
B25B0432	113175	489513	Rijksdriehoeksmeting	25B		1.0	Landmeting	25BA3432	297	42			

KWALITEIT gegevens VLOEIBAAR
NITG-nr	Monster datum	Monster-nr	Monster apparatuur	Mengmonster	Bovenkant monster (cm tov MV)	Onderkant monster (cm tov MV)	Analyse datum	Al (mg/m3)	Al (ug/l)	As (mg/m3)	As (ug/l)	B (mg/m3)	B (ug/l)	Ba (mg/m3)	Ba (ug/l)	Ca (mg/l)	Ca++ (g/m3)	Cd (mg/m3)	Cd (ug/l)	Cl- (g/m3)	Cl- (mg/l)	Co (mg/m3)	Cr (mg/m3)	Cr (ug/l)	Cu (mg/m3)	Cu (ug/l)	DOC_C (g/m3)	EC (uS/cm)	EC(5)_veld (mS/m)	EC25C (mS/m)	EOCL (ugCl/l)	EOX (umol/m3)	Eg-lab (uS/cm)	Eg-veld (uS/cm)	Ehm_gecorrigeerd (mV)	Fe (g/m3)	Fe (mg/l)	H+ (-)	H+(5)_veld (-)	H-3 (TU)	H3 (TU)	HCO3 (mg/l)	HCO3- (g/m3)	HCO3-_veld (g/m3)	K (mg/l)	K+ (g/m3)	KMnO4_O (g/m3)	Mg (mg/l)	Mg++ (g/m3)	Mn (g/m3)	Mn (mg/l)	NH4 (mg/l)	NH4+_N (g/m3)	NO3 (mg/l)	NO3-_N (g/m3)	Na (mg/l)	Na+ (g/m3)	Ni (mg/m3)	Ni (ug/l)	P-tot_P (g/m3)	PO4 (mg/l)	PO4---_P (g/m3)	PO4-O (mg/l)	PO4-T (mg/l)	Pb (mg/m3)	Pb (ug/l)	SIO2 (mg/l)	SO4 (mg/l)	SO4-- (g/m3)	SiO2 (mg/l)	SiO2_Si (g/m3)	Sr (mg/m3)	Sr (ug/l)	T(5)_veld (C)	TOC (mg/l)	TOC_C (g/m3)	Temp (C)	Tg (TU)	V (mg/m3)	VOCL (ugCl/l)	VOX (umol/m3)	Zn (mg/m3)	Zn (ug/l)	pH (-)	pH-lab (-)	pH-veld (-)	
B25B0432	02-10-1996	C1996-10-1042		nee	10000.0	12000.0	02-10-1996	21.584		1.349				58.365			130.597	<0.056		404.697			1.534		<0.699				265							1.301			6.94					795.5		16.735			68.433	1.298			7.804		0.224		303.146	<0.698		24.373									0.192			723.741		10.8								<6.539					
B25B0432	02-10-1996	L1996-10-7783		nee	10000.0	12000.0			22		1.35				58	131			<.056		405			1.53		<.7								2650			1.3					796			16.7			68			1.3	10.1		.992		303			<.7					74.6				.2					724				10.8						<6.54			6.94	
B25B0432	12-10-1995	C1995-10-1096		nee	27000.0	29000.0	12-10-1995	35.074		<0.15				178.666			82.156	<0.045		505.244			3.016		0.635				279							0.179			7.26				795.701			44.066			70.742	0.621			10.676		2.066		376.599	<0.88		3.221									5.965			721.989		11.3								19.617					
B25B0432	12-10-1995	C1995-10-1095		nee	10000.0	12000.0	12-10-1995	32.376		0.674				28.702			136.701	<0.045		488.154			2.132		<0.635				284							1.139			6.97				992.185			20.645			76.747	1.493			9.933		<0.028		378.507	<0.88		27.068									<0.096			813.99		11.3								<6.539					
B25B0432	12-10-1995	M1995-10-0076		nee	27000.0	29000.0			35		<.15				179	82.2			<.045		505			3.02		.6								2790	84		.179					796			44.1			70.7			.621	13.8		9.15		377			<.88					9.86				6					722				11.3						19.6			7.26	
B25B0432	12-10-1995	M1995-10-0075		nee	10000.0	12000.0			32		.67				29	137			<.045		488			2.13		<.6								2840	73		1.14					992			20.6			76.7			1.49	12.8		<.12		379			<.88					82.8									814				11.3						<6.5			6.97	
B25B0432	24-10-1994	L1994-10-7762		nee	27000.0	29000.0			32						180	83.3			<.045		512					3.8								2780			.128								43.9			71.7			.519	18.6		3.83		380								11.7		.9		5					707				10.7						26.2			7.18	
B25B0432	24-10-1994	C1994-10-1223		nee	27000.0	29000.0	24-10-1994	32.376						180.04			83.254	<0.045		512.008					3.813		40.438		278							0.128			7.18							43.948			71.666	0.519			14.388		0.864		379.726			3.809					0.87				5.283			707.093		10.7								26.156					
B25B0432	24-10-1994	C1994-10-1222		nee	10000.0	12000.0	24-10-1994	18.886						40.924			131.767	<0.045		487.565					3.178		25.918		294							1.636			6.96							20.137			73.343	1.404			9.793		0.164		417.36			26.882					<0.207				0.663			770.18		10.8								19.617					
B25B0432	24-10-1994	L1994-10-7761		nee	10000.0	12000.0			19						41	132			<.045		488					3.2								2940			1.64								20.1			73.3			1.4	12.6		.73		417								82.3		<.2		1					770				10.8						19.6			6.96	
B25B0432	10-02-1994	L1994-02-0118		nee	17400.0	19400.0																																			<1.5																																														
B25B0432	10-02-1994	L1994-02-0117		nee	10000.0	12000.0																																			21.9																																														
B25B0432	14-04-1992	C1992-04-1030		nee	27000.0	29000.0	14-04-1992	93.59		0.18				195.32			80.54	<0.02		497.86					<0.64		42			282.49						2.21		7.23					806.07			43.7			68.36	0.53			14.97		0.39		374.15	<0.59							0.68				23.92			686.81										8.89					
B25B0432	14-04-1992	T1989-00-3321		nee	27000.0	29000.0	14-04-1992									81					498							2500									2.21			<5		806			43.7			68			.53	19.3		1.73		374					3.35							24		26.5														7.23			
B25B0432	14-04-1992	T1989-00-3321		nee	27000.0	29000.0	10-02-1994				.7																																																																												
B25B0432	14-04-1992	L1992-04-0059		nee	27000.0	29000.0			94		.18				195	80.5			<.02		498					<.6							2500				2.21					806			43.7			68.4			.53	19.3		1.73		374			<.59							.7		24					687										8.9		7.23		
B25B0432	14-04-1992	C1992-04-1029		nee	10000.0	12000.0	14-04-1992	31.58		0.35				38.6			107.21	<0.02		632.85					<0.64		29.51			335.59						1.33		7.86					979.37			20.57			61.67	1.12			11.65		0.03		531.2	0.94							0.62				0.19			669.09										7.96					
B25B0432	14-04-1992	T1989-00-3319		nee	10000.0	12000.0	14-04-1992									107					633							2970									1.33			21.9		979			20.6			62			1.12	15		.13		531					29.45							<1		64.2														7.86			
B25B0432	14-04-1992	T1989-00-3319		nee	10000.0	12000.0	10-02-1994				1.7																																																																												
B25B0432	14-04-1992	L1992-04-0058		nee	10000.0	12000.0			32		.35				39	107			<.02		633					<.6							2970				1.33					979			20.6			61.7			1.12	15		.13		531			.94							.6							669										8		7.86		
B25B0432	14-03-1991	C1991-03-1063		nee	27000.0	29000.0	14-03-1991	31.7		<0.07				179.64			80	<0.11		517.95			2.13		<0.63		43.14			283.62						1.89		7.34					783.85			43.29			69.08	0.55			16.77		0.04		380.68	<0.59		3.35					2.4				26.21			699.78										<6.54					
B25B0432	14-03-1991	L1991-03-0027		nee	10000.0	12000.0			<19		2.35				33	117			<.11		716			3.09		5.5							3260				1.77					970			22.1			67.6			1.23	17.9		<.13		582			<.59					90.1		<2.1							751										<6.5		7.14		
B25B0432	14-03-1991	L1991-03-0028		nee	27000.0	29000.0			32		<.07				180	80			<.11		518			2.13		<.6							2510				1.89					784			43.3			69.1			.55	21.6		.18		381			<.59					10.3		2.4		26					700										<6.5		7.34		
B25B0432	14-03-1991	C1991-03-1062		nee	10000.0	12000.0	14-03-1991	<18.83		2.35				33.32			117.29	<0.11		716.33			3.09		5.52		31.45			368.36						1.77		7.14					969.9			22.13			67.63	1.23			13.91		<0.03		582.09	<0.59		29.45					<2.07				<0.19			751.14										<6.54					
