LOCATIE gegevens
NITG-nr	X-coord	Y-coord	Coordinaat systeem	Kaartblad	Bepaling locatie	Maaiveldhoogte (m tov NAP)	Bepaling maaiveldhoogte	OLGA-nr	RIVM-nr	Aantal analyses	Meetnet	Indeling	
B25E0885	126489	499025	Rijksdriehoeksmeting	25E		-4.11		25EP0885	2214	35			

KWALITEIT gegevens VLOEIBAAR
NITG-nr	Monster datum	Monster-nr	Monster apparatuur	Mengmonster	Bovenkant monster (cm tov MV)	Onderkant monster (cm tov MV)	Analyse datum	Al (mg/l)	Al (mg/m3)	Al (ug/l)	As (mg/m3)	As (ug/l)	Ba (mg/m3)	Ba (ug/l)	Benzeen (ug/l)	Ca (g/m3)	Ca (mg/l)	Cd (mg/m3)	Cd (ug/l)	Cl- (g/m3)	Cl- (mg/l)	Cr (mg/m3)	Cr (ug/l)	Cu (mg/m3)	Cu (ug/l)	DOC (g/m3)	DOC (mg/l)	EC (mS/m)	EC-5 (mS/m)	Eg-lab (uS/cm)	Eg-veld (uS/cm)	Ehm_gecorrigeerd (mV)	Ethylbenzeen (ug/l)	Fe (g/m3)	Fe (mg/l)	H3 (TU)	HCO3 (g/m3)	HCO3 (mg/l)	HCO3-Veld (g/m3)	K (g/m3)	K (mg/l)	Methyl tert-butylether (ug/l)	Mg (g/m3)	Mg (mg/l)	Mn (g/m3)	Mn (mg/l)	NH4 (gN/m3)	NH4 (mg/l)	NO3 (gN/m3)	NO3 (mg/l)	Na (g/m3)	Na (mg/l)	Ni (mg/m3)	Ni (ug/l)	P-totaal (mg/l)	PO4-T (mg/l)	Pb (mg/m3)	Pb (ug/l)	SO4 (g/m3)	SO4 (mg/l)	Sr (mg/m3)	Sr (ug/l)	T-5 (C)	T-PO4 (gP/m3)	T-PO4 (mg/l)	TEMP-V (C)	TOLUEEN (ug/l)	TOTH (mmol/l)	Temp (C)	XYLENEN (ug/l)	Zn (mg/m3)	Zn (ug/l)	pH (-)	pH-5 (-)	pH-lab (-)	pH-veld (-)	stijgh_mv (m-mv)	
B25E0885	10-10-1995	C1995-10-8070		nee	8000.0	10000.0	10-10-1995		13.490		1.349		196.107			88.982		<0.045		148.642		1.040		<0.635		11.590			131.16					6.769			677.322			23.655			43.320		0.598		8.714		0.098		147.343		1.115				0.332		<0.096		676.426		10.90	2.106							<6.539			7.09			-0.89	
B25E0885	10-10-1995	M1995-10-0091		nee	8000.0	10000.0				13		1.35		196			89		<.045		149		1.04		<.6						1482	90			6.77			677			23.7			43.3		.598		11.2		.43		147		1.12		6.44		.3				676							10.9			<6.5				7.09		
B25E0885	10-10-1995	C1995-10-8069		nee	13000.0	15000.0	10-10-1995																																																																						0.24	
B25E0885	10-10-1995	M1995-10-0092		nee	23000.0	25000.0				<13		.67		329			124		<.045		890		.47		<.6						3920	50			7.54			775			32.1			86		.485		11.9		8.69		559		<.88		4.65		<.2		11		1096							10.8			6.5				7.18		
B25E0885	10-10-1995	C1995-10-1063		nee	8000.0	10000.0	10-10-1995	.013				1.35		196.11			88.98		<.04		148.64		1.04		<.64										6.77			677.32			23.66			43.32		.6		11.236		.443		147.34		1.11				.33		<.1					6.478	20		4				<6.54						
B25E0885	11-10-1994	C1994-10-1078		nee	8000.0	10000.0	11-10-1994	<.013				2.1		201.05			89.92		<.04		149.75		<.78		.64										7.38			677.93			23.7			44.05		.62		11.442		.31		146.77		1.11				<.21		<.1					6.662	20		4.05				<6.54						
B25E0885	11-10-1994	C1994-10-8086		nee	13000.0	15000.0	11-10-1994		26.980		0.524		144.608			76.962		<0.045		150.567		<0.780		<0.635		10.821			129.6					6.775			664.508			24.437			39.771		0.446		7.523		0.109		165.804		<0.880				<0.207		<0.096		576.540		10.80	1.951							<6.539			7.19			0.22	
B25E0885	11-10-1994	C1994-10-1080		nee	23000.0	25000.0	11-10-1994	.067				.9		307.48			116.88		.09		831.76		<.78		<.64										7.37			792.65			31.59			81.73		.46		12.062		.089		532.63		<.88				.56		3.74					4.759	20		6.28				<6.54						
B25E0885	11-10-1994	L1994-10-7779		nee	23000.0	25000.0				67		.9		307			117		.09		832		<.78		<.6						3650				7.37			793			31.6			81.7		.455		12.1		.09		533		<.88		4.74		.6		4		1009							10.9			<6.5				7.2		
B25E0885	11-10-1994	C1994-10-8085		nee	23000.0	25000.0	11-10-1994		67.450		0.899		307.482			116.881		0.090		831.756		<0.780		<0.635		15.133			323					7.367			792.650			31.593			81.730		0.455		9.345		0.020		532.632		<0.880				0.559		3.737		1008.506		10.90	1.549							<6.539			7.20			0.19	
