LOCATIE gegevens
NITG-nr	X-coord	Y-coord	Coordinaat systeem	Kaartblad	Bepaling locatie	Maaiveldhoogte (m tov NAP)	Bepaling maaiveldhoogte	OLGA-nr	RIVM-nr	Aantal analyses	Meetnet	Indeling	
B25A1123	101863	496950	Rijksdriehoeksmeting	25A		9.5	Landmeting	25AA4123	300	44			

KWALITEIT gegevens VLOEIBAAR
NITG-nr	Monster datum	Monster-nr	Monster apparatuur	Mengmonster	Bovenkant monster (cm tov MV)	Onderkant monster (cm tov MV)	Analyse datum	1,1,1-trichloorethaan (ug/l)	1,1,2-trichloorethaan (ug/l)	1,1-dichloorethaan (ug/l)	1,2-dichloorethaan (ug/l)	1,2-dichloorpropaan (ug/l)	111CL3EA (ug/l)	112CL3EA (ug/l)	11DCEa (ug/l)	12CL2PA (ug/l)	12DCEa (ug/l)	2,4-D (ug/l)	2,4-dinitrofenol (ug/l)	2,6-dichloorbenzamide BAM (ug/l)	24DNP (ug/l)	24DP (ug/l)	AMPA (ug/l)	Abamectine (ug/l)	Al (mg/m3)	Al (ug/l)	Aldicarb (ug/l)	Aldicarb-SO (ug/l)	Aldicarb-SO2 (ug/l)	As (mg/m3)	As (ug/l)	Atrazine (ug/l)	B (mg/m3)	B (ug/l)	BAM (2,6-dichloorbenzamide) (ug/l)	Ba (mg/m3)	Ba (ug/l)	Bentazon (ug/l)	Broompropylaat (ug/l)	Buffercapaciteit pH 4.3 (mmol/l)	Bupirimaat (ug/l)	Butocarboxim (ug/l)	Butocarboxim-SO (ug/l)	C12DCEe (ug/l)	CH4Cl2 (ug/l)	CL3MA (ug/l)	Ca (mg/l)	Ca (ug/l)	Ca++ (g/m3)	Carbaryl (ug/l)	Carbendazim (ug/l)	Carbetamide (ug/l)	Carbofuran (ug/l)	Cd (mg/m3)	Cd (ug/l)	Chloorprofam (ug/l)	Chloridazon (ug/l)	Cis 1,2-dichlooretheen (ug/l)	Cl- (g/m3)	Cl- (mg/l)	Co (mg/m3)	Cr (mg/m3)	Cr (ug/l)	Cu (mg/m3)	Cu (ug/l)	Cycloxidim (ug/l)	DCBN (ug/l)	DMST (ug/l)	DNOC (ug/l)	DOC_C (g/m3)	Diazinon (ug/l)	Dicamba (ug/l)	Dichlobenil (ug/l)	Dichloormethaan (ug/l)	Diethyl toluamide (ug/l)	Difenoconazool (ug/l)	Dikegulac-Natrium (ug/l)	Dimethoaat (ug/l)	Diuron (ug/l)	EC(5)_veld (mS/m)	EC-lab (uS/cm)	EC-veld (uS/cm)	EC25C (mS/m)	ECVELD (uS/cm)	EOCL (ugCl/l)	EOX (umol/m3)	Eg-lab (uS/cm)	Eg-veld (uS/cm)	Ehm_gecorrigeerd (mV)	Ethiofencarb (ug/l)	Ethofumesaat (ug/l)	Ethyl-tert-butylether (ETBE) (ug/l)	Etridiazool (ug/l)	Fe (g/m3)	Fe (mg/l)	Fe (ug/l)	Fenamifos (ug/l)	Fluazifop-p-butyl (ug/l)	Fluroxypyr (ug/l)	Flutolanil (ug/l)	Furalaxyl (ug/l)	Glyfosaat (ug/l)	H+ (-)	H+(5)_veld (-)	H3 (TU)	HCO3 (mg/l)	HCO3- (g/m3)	HCO3-_veld (g/m3)	HCO3-lab (mg/l)	HCO3-veld (mg/l)	HTI (4-hydroxy-2,5,6-trichloorisoftalonitril (ug/l)	HTI (ug/l)	Hexythiazox (ug/l)	Hg (ug/l)	Imazalil (ug/l)	Imidacloprid (ug/l)	K (mg/l)	K (ug/l)	K+ (g/m3)	KMnO4_O (g/m3)	Linuron (ug/l)	MCPA (ug/l)	MCPP (ug/l)	Metalaxyl (ug/l)	Metamitron (ug/l)	Metazachlor (ug/l)	Methabenzthiazuron (ug/l)	Methiocarb (ug/l)	Methiocarb-SO2 (ug/l)	Methomyl (ug/l)	Methyl tert-butylether (ug/l)	Metolachloor (R/S) (ug/l)	Metolachlor (ug/l)	Metoxuron (ug/l)	Mg (mg/l)	Mg (ug/l)	Mg++ (g/m3)	Mn (g/m3)	Mn (mg/l)	Mn (ug/l)	NH4 (mg/l)	NH4 (mgN/l)	NH4+_N (g/m3)	NO2 (mg/l)	NO3 (mg/l)	NO3 (mgN/l)	NO3-_N (g/m3)	Na (mg/l)	Na (ug/l)	Na+ (g/m3)	Ni (mg/m3)	Ni (ug/l)	O-PO4 (mg/l)	O2 (mg/l)	Oxamyl (ug/l)	P-tot_P (g/m3)	P-totaal (mgP/l)	PO4---_P (g/m3)	PO4-O (mg/l)	PO4-T (mg/l)	Pb (mg/m3)	Pb (ug/l)	Pencycuron (ug/l)	Pirimicarb (ug/l)	Pirimifos-methyl (ug/l)	Prochloraz (ug/l)	Procimidon (ug/l)	Propiconazool (ug/l)	Propoxur (ug/l)	Propyzamide (ug/l)	Prosulfocarb (ug/l)	Pyrimethanil (ug/l)	SIO2 (mg/l)	SO4 (mg/l)	SO4-- (g/m3)	SiO2_Si (g/m3)	Simazine (ug/l)	Sr (mg/m3)	Sr (ug/l)	T (C)	T(5)_veld (C)	T12CL2EE (ug/l)	T4CEe (ug/l)	T4CMa (ug/l)	TCEe (ug/l)	TOC (mg/l)	TOC_C (g/m3)	Tebuconazool (ug/l)	Temp (C)	Temp-lab (C)	Temp-veld (C)	Terbutylazine (ug/l)	Tetrachlooretheen per (ug/l)	Tetrachloormethaan (ug/l)	Tg (TU)	Tolclofos-methyl (ug/l)	Trans 1,2-dichlooretheen (ug/l)	Trichlooretheen tri (ug/l)	Trichloormethaan (ug/l)	V (mg/m3)	VOCL (ugCl/l)	VOX (umol/m3)	Vinclozolin (ug/l)	Vinczln (ug/l)	Zn (mg/m3)	Zn (ug/l)	aldicarb (ug/l)	aldicarbsulfon (ug/l)	aldicarbsulfoxide (ug/l)	aminomethylfosfonzuur (AMPA) (ug/l)	bifenox (ug/l)	bromacil (ug/l)	carbaryl (ug/l)	carbendazim (ug/l)	carbofuran (ug/l)	chloorprofam (ug/l)	chloortoluron (ug/l)	chloridazon (ug/l)	clopyralid (ug/l)	cycloxydim (ug/l)	desethylatrazine (ug/l)	dichlobenil (ug/l)	diethyltoluamide (DEET) (ug/l)	dimethoaat (ug/l)	diuron (ug/l)	ethiofencarb (ug/l)	ethofumesaat (ug/l)	ethoprofos (ug/l)	fenamifos (ug/l)	fluroxypyr (ug/l)	flutolanil (ug/l)	furalaxyl (ug/l)	glyfosaat (ug/l)	imidacloprid (ug/l)	isoproturon (ug/l)	linuron (ug/l)	metalaxyl (ug/l)	metamitron (ug/l)	metazachloor (ug/l)	methabenzthiazuron (ug/l)	methiocarb (ug/l)	methiocarbsulfon (ug/l)	methomyl (ug/l)	metolachloor (ug/l)	metoxuron (ug/l)	metribuzin (ug/l)	metsulfuron-methyl (ug/l)	monuron (ug/l)	nicosulfuron (ug/l)	oxamyl (ug/l)	pH-lab (-)	pH-veld (-)	pencycuron (ug/l)	pirimicarb (ug/l)	prochloraz (ug/l)	procymidon (ug/l)	propachloor (ug/l)	propoxur (ug/l)	propyzamide (ug/l)	prosulfocarb (ug/l)	pyrimethanil (ug/l)	rimsulfuron (ug/l)	simazine (ug/l)	tebuconazool (ug/l)	tolclofos-methyl (ug/l)	triadimenol (ug/l)	triclopyr (ug/l)	triflusulfuron-methyl (ug/l)	
B25A1123	15-11-2001	C2001-11-8147		nee	8000.0	10000.0	15-11-2001																		<53.96					1.573						24.719													178.877					0.034					162.219			<1.04		<1.271																135.5														8.093										7.18				482.235											3.363																		10.842	0.716					1.555				0.07			79.706	3.105					0.164																			42.17			637.874			11.9																								<13.078																																																																
B25A1123	15-11-2001	L2001-11-7709		nee	8000.0	10000.0																				<54					1.57						24.7										179								.034					162			<1.04		<1.27																							1199							8.09											482											3.4																		10.8				.716		2.01				.31			80				3.11								.502														42					638										11.9																	<13																																														7.18																	
B25A1123	21-09-2000	L2000-09-7610		nee	8000.0	10000.0																				<54					.52						20.6										165								<.02					116			<1.04		<1.27																							121							4.44											497											3.17																		10				1.1		1.08				.443			76.7				1.83								<.184														33.9					611										12																	<13.1																																														7.01																	
B25A1123	21-09-2000	C2000-09-8148		nee	8000.0	10000.0	21-09-2000																		<53.96					0.524						20.6													165.17					<0.02					116.382			<1.04		<1.271																120.6														4.44										7.01				497.03											3.167																		10.04	1.1					0.841				0.098			76.718	1.831					<0.062																			33.909			610.711			12																								<13.078																																																																
B25A1123	21-09-2000	L2000-09-7611		nee	19500.0	21500.0																				<54					<.15						13.7										119								<.02					33.6			<1.04		<1.27																							70							3.61											377											3.71																		6.34				.62		2.79				1.06			18.1				<1.17								1.1														.96					736										11.7																	13.1																																														7.29																	
B25A1123	21-09-2000	C2000-09-8146		nee	19500.0	21500.0	21-09-2000																		<53.96					<0.15						13.733													119.278					<0.02					33.607			<1.04		<1.271																70														3.613										7.29				377.13											3.715																		6.345	0.616					2.158				0.238			18.07	<1.174					0.356																			0.961			736.008			11.7																								13.078																																																																
B25A1123	15-07-1999	C1999-07-8140		nee	8000.0	10000.0	15-07-1999																		<13.49					<0.15						17.166													161.735					<0.101					103.408			<0.702		<0.699																111.2														1.368										6.95				447.305											2.972																		9.773	0.462					0.56				6.094			63.613	1.702					<0.062																			33.909			582.673			11.8																								<6.539																																																																
B25A1123	15-07-1999	L1999-07-7093		nee	8000.0	10000.0																				<13					<.1						17										161								<.1					103			<.7		<.7																							984							1.37											447											2.9																		9				.46		.722				27			63				1.7								<.184														33					582										11.8																	<6.5																																														6.95																	
B25A1123	22-10-1998	L1998-10-9262		nee	8000.0	10000.0																				46					<.15						22.9										217								<.101					176			<.7		2.28																							1359							.011											440											2.2																		14.8				.781		.704				96.4			98				2.91								.266														110					788										12.7																	26.2																																														7.04																	
B25A1123	22-10-1998	C1998-10-8178		nee	8000.0	10000.0	22-10-1998																		45.866					<0.15						22.934													217.089					<0.101					176.08			<0.702		2.281																153.6														0.011										7.04				440.115											2.151																		14.829	0.781					0.546				21.772			97.707	2.911					0.087																			109.989			787.704			12.7																								26.156																																																																
B25A1123	04-12-1997	C1997-12-1059		nee	8000.0	10000.0	04-12-1997																		29.678					<0.15			65.941			17.853													188.957					<0.045					118.509			<0.728		4.131																145.2														0.017										6.82				452.47											2.307																		12.228	0.176					0.084				14.36			71.844	3.991					<0.062																			68.491			679.931			14.3																								<6.539																																																																
B25A1123	04-12-1997	L1997-12-7312		nee	8000.0	10000.0																				30					<.15			66			17.9										189								<.045					119			<.7		4.13																							1285							.017											452											2.3																		12.2				.176		.108				63.6			72				3.99								<.19														68					680										14.3																	<6.54																																														6.82																	
B25A1123	12-12-1996	C1996-12-1063		nee	19500.0	21500.0	12-12-1996																		<13.49					<0.15						8.102													116.877					<0.056					31.87			<0.702		0.794																62.9														4.161										7.52				374.94											3.558																		6.296	0.516					2.214				0.028			17.932	<0.698					0.437																			0.865			722.865			11.2																								6.539																																																																
B25A1123	12-12-1996	L1996-12-7584		nee	19500.0	21500.0																				<13					<.15						8.1										117								<.056					32			<.7		.794																							629							4.16											375											3.6																		6.3				.516		2.86				.133			17.9				<.7								<.19														.9					723										11.2																	6.54																																														7.52																	
B25A1123	12-12-1996	C1996-12-1062		nee	8000.0	10000.0	12-12-1996																		32.376					<0.15						17.029													164.336					<0.056					89.653			<0.702		<0.699																114.8														0.017										7.07				540.3											2.502																		11.012	0.268					0.252				5.03			69.016	1.919					<0.062																			35.83			602.826			12.8																								<6.539																																																																
B25A1123	12-12-1996	L1996-12-7583		nee	8000.0	10000.0																				32					<.15						17										164								<.056					90			<.7		<.7																							1148							.017											540											2.5																		11				.268		.325				22.3			69				1.92								<.19														36					603										12.8																	<6.54																																														7.07																	
B25A1123	11-10-1995	C1995-10-1086		nee	19500.0	21500.0	11-10-1995																		29.678					<0.15						10.3													114.589					<0.045					30.927			0.26		<0.635																68.1														4.245										7.47			379.544												3.519																		6.223	0.524					2.144				0.041			18.231	<0.88					0.403																			0.682			728.122			13.4																								<6.539																																																																
B25A1123	11-10-1995	C1995-10-1085		nee	8000.0	10000.0	11-10-1995																		26.98					<0.15						21.423													183.839					<0.045					142.353			<0.26		<0.635																124.6														0.089										7.02			475.956												3.05																		12.009	0.291					0.28				3.891			76.143	1.937					<0.062																			57.703			700.084			11.6																								13.078																																																																
B25A1123	11-10-1995	M1995-10-0069		nee	8000.0	10000.0																				27					<.15						21										184								<.045					142			<.26		<.6																							1246	190						.089											476											3																		12				.291		.36				17.2			76.1				1.94								<.19														58					700										11.6																	13.1																																														7.02																	
B25A1123	11-10-1995	M1995-10-0070		nee	19500.0	21500.0																				30					<.15						10										115								<.045					31			.26		<.6																							681	38						4.25											380											3.5																		6.2				.524		2.77				.18			18.2				<.88								1.23														1					728										13.4																	<6.5																																														7.47																	
B25A1123	26-10-1994	C1994-10-1260		nee	8000.0	10000.0	26-10-1994																		43.168											23.209													197.454					<0.045					162.485					<0.635						3.111										129.9														0.419										6.99															2.933																		12.471	0.464					0.336				3.493			89.454						<0.062					<0.207														62.333			721.113			13																								13.078																																																																
B25A1123	26-10-1994	C1994-10-1261		nee	19500.0	21500.0	26-10-1994																		37.772											8.652													114.977					<0.045					29.016					<0.635						2.738										64.9														4.189										7.41															3.636																		6.175	0.521					2.2				<0.014			18.599						0.403					<0.207														0.605			703.589			13.3																								<6.539																																																																
B25A1123	26-10-1994	L1994-10-7756		nee	8000.0	10000.0																				43											23										198								<.045					162					<.6																							1299							.419																						2.9																		12.5				.464		.43				15.5			89.5												<.19		<.2												62					721										13																	13.1																																														6.99																	
B25A1123	26-10-1994	L1994-10-7757		nee	19500.0	21500.0																				38											9										115								<.045					29					<.6																							649							4.19																						3.6																		6.2				.521		2.84				<.06			18.6												1.23		<.2												1					704										13.3																	<6.5																																														7.41																	
B25A1123	27-04-1993	L1993-04-0191		nee	19500.0	21500.0																				<13					<.15						11										111													27																												665							3.93																						3.5																		5.9				.505						.11			18.7												1.04																			721										11.9																	<6.5																																														7.4																	
B25A1123	27-04-1993	C1993-04-1156		nee	8000.0	10000.0	27-04-1993																		13.49					0.225						29.251													238.392										215.749											3.987										154.7														0.022										7.09															3.245																		16.361	0.368									14.914			97.156						<0.062																			118.231			904.238			12																								<6.539																																																																
B25A1123	27-04-1993	L1993-04-0190		nee	8000.0	10000.0																				13					.23						29										238													216																												1547							.022																						3.2																		16.4				.368						66.1			97.2												<.19														118					904										12																	<6.5																																														7.09																	
B25A1123	27-04-1993	C1993-04-1157		nee	19500.0	21500.0	27-04-1993																		<13.49					<0.15						10.849													110.456										26.818											2.666										66.5														3.932										7.4															3.48																		5.932	0.505									0.025			18.737						0.341																			0.461			721.113			11.9																								<6.539																																																																
B25A1123	13-05-1992	L1992-05-0237		nee	8000.0	10000.0																				31					.11						28										234								<.02					195					<.6																						1430								.12											474											3.6																		15.3				.36		.14				59			86.1				2.11										.1												92					894																											<6.5																																													6.97																		
B25A1123	13-05-1992	C1992-05-1125		nee	19500.0	21500.0	13-05-1992																		<13.49					<0.07						8.43													114.72					<0.02					26.06					<0.64						2.04													66.21											4.19									7.41				385.04												3.5																		6.1	0.51					2.16				<0.03			18.84	<0.59										0.15														0.38			719.26																											<6.54																																																																
B25A1123	13-05-1992	C1992-05-1124		nee	8000.0	10000.0	13-05-1992																		30.82					0.11						27.51													233.95					<0.02					195.12					<0.64						3.28													161.58											0.12									6.97				473.52												3.61																		15.25	0.36					0.11				13.32			86.1	2.11										0.06														92.31			894.18																											<6.54																																																																
B25A1123	13-05-1992	L1992-05-0238		nee	19500.0	21500.0																				<13					<.07						8										115								<.02					26					<.6																						586								4.19											385											3.5																		6.1				.51		2.79				<.13			18.8				<.59										.2																	719																											<6.5																																													7.41																		
B25A1123	15-04-1991	L1991-04-7047		nee	8000.0	10000.0																				<19					.17						22										200								<.11					111			<.52		6.4																						1135								.76											474											2.9																		12.8				.45		.21				48.4			55.8				1.29								<.18		<2.1												65					754																											31.2																																													7.25																		
B25A1123	15-04-1991	C1991-04-1110		nee	8000.0	10000.0	15-04-1991																		<18.83					0.17						22.07													199.49					<0.11					110.83			<0.52		6.35						3.15													128.25											0.76									7.25				474.27												2.93																		12.76	0.45					0.16				10.93			55.81	1.29					<0.06					<2.07														64.5			753.58																											31.19																																																																
B25A1123	15-04-1991	L1991-04-7048		nee	19500.0	21500.0																				244					.47						8										114								<.11					25			.57		7.2																						585								2.78											383											3.7																		6				.5		2.71				<.13			19				<.59								.37		<2.1																	715																											<6.5																																													7.62																		
B25A1123	15-04-1991	C1991-04-1111		nee	19500.0	21500.0	15-04-1991																		243.73					0.47						8.46													114.24					<0.11					24.59			0.57		7.18						1.93													66.1											2.78									7.62				383.08												3.65																		6.01	0.5					2.1				<0.03			19.02	<0.59					0.12					<2.07														0.47			715.25																											<6.54																																																																
B25A1123	19-06-1990	C1990-06-1149		nee	8000.0	10000.0	19-06-1990																		<18.83					0.67						21.31													183					1.79					109.8			<0.52		16.59						3.16													120.34											0.56									7.04				460.55												2.92																		12.57	0.24					0.1				7.22			53.42	1.88					<0.06					<2.07														58.34			704.83																											42.37																																																																
B25A1123	19-06-1990	L1990-06-0037		nee	8000.0	10000.0																				<19					.67						21										183								1.79					110			<.52		16.6																						1065								.56											461											2.9																		12.6				.24		.13				32			53.4				1.88								<.18		<2.1												58					705																											42.4																																													7.04																		
B25A1123	19-06-1990	C1990-06-1150		nee	19500.0	21500.0	19-06-1990																		<18.83					0.27						12.85													110.68					<0.11					25.7			0.57		0.81						3.39													66.33											2.95									7.45				375.15												3.55																		5.89	0.49					2.17				<0.28			18.82	<0.59					0.22					<2.07														0.45			678.24																											9.76																																																																
B25A1123	19-06-1990	L1990-06-0038		nee	19500.0	21500.0																				<19					.27						13										111								<.11					26			.57		.8																						587								2.95											375											3.5																		5.9				.49		2.8				<1.24			18.8				<.59								.67		<2.1																	678																											9.8																																													7.45																		
B25A1123	03-04-1989	L1989-04-0002		nee	19500.0	21500.0																																									110													26																											580								4.66											380											3.5																		5.9						2.86				<1.24			19.2											1.01	1.22														2																																																																													7.44																		
B25A1123	03-04-1989	C1989-04-1017		nee	8000.0	10000.0	03-04-1989																																										166										72.8																								109.49											<0.01									7.17				475												2.62																		12.92						0.13				6.06			50.15						0.34																			67.1																																																																																														
B25A1123	03-04-1989	C1989-04-1018		nee	19500.0	21500.0	03-04-1989																																										110										26.2																								65.54											4.66									7.44				380												3.55																		5.94						2.22				<0.28			19.23						0.4		0.33																	2.2																																																																																														
B25A1123	03-04-1989	L1989-04-0001		nee	8000.0	10000.0																																									166													73																											969								<.01											475											2.6																		12.9						.17				26.9			50.2												1.04														67																																																																													7.17																		
B25A1123	18-03-1988	C1988-03-1082		nee	8000.0	10000.0	18-03-1988																																										193										136																								132.2																				7.3				421												2.48																		13.4						0.12				10.4			73.15						0.06																			84.9																																																																																														
B25A1123	18-03-1988	C1988-03-1083		nee	19500.0	21500.0	18-03-1988																																										114										24.4																								66.1																				7.51				367												3.54																		5.77						2.04				<0.28			19.15						0.4																			2																																																																																														
B25A1123	18-03-1988	L1988-03-0028		nee	19500.0	21500.0																																									114													24																											585																			367											3.5																		5.8						2.63				<1.24			19.1												1.22														2																																																																													7.51																		
B25A1123	18-03-1988	L1988-03-0027		nee	8000.0	10000.0																																									193													136																											1170																			421											2.5																		13.4						.15				46.1			73.2												.18														85																																																																													7.3																		
B25A1123	09-04-1987	L1987-04-0021		nee	8000.0	10000.0																				<20																					205													151																											1170																			438											3																		15.4						.06				62.9			76.2												.18														107																																																																													7.41																		
B25A1123	09-04-1987	C1987-04-1067		nee	19500.0	21500.0	09-04-1987																																										112										25.5											2.22													66.1																				7.96				370												3.46																		5.88						2.16				<0.3			20.2						0.12																			2.34																																																																																														
B25A1123	09-04-1987	C1987-04-1066		nee	8000.0	10000.0	09-04-1987																																										205										151											3.52													132.2																				7.41				438												3																		15.4						0.05				14.2			76.2						0.06																			107																																																																																														
B25A1123	09-04-1987	L1987-04-0022		nee	19500.0	21500.0																				<20																					112													26																											585																			370											3.5																		5.9						2.79				<1.33			20.2												.37														2																																																																													7.96																		
B25A1123	14-04-1986	C1986-04-1098		nee	8000.0	10000.0	14-04-1986																																										186										114											3.01													125.42																				7.4				456												2.72																		14						0.1				10.9			67.1						<0.06																			75.6																																																																																														
B25A1123	14-04-1986	C1986-04-1099		nee	19500.0	21500.0	14-04-1986																																										111										25.5											2.26													65.88																				7.3				381												3.54																		6.22						2.22				<0.3			20.6						0.22																			8.49																																																																																														
B25A1123	14-04-1986	L1986-04-0028		nee	19500.0	21500.0																																									111													26																											583																			381											3.5																		6.2						2.86				<1.33			20.6												.67														8																																																																													7.3																		
B25A1123	14-04-1986	L1986-04-0027		nee	8000.0	10000.0																																									186													114																											1110																			456											2.7																		14						.13				48.3			67.1												<.18														76																																																																													7.4																		
B25A1123	19-04-1985	L1985-04-0028		nee	19500.0	21500.0																																									112													26																											590																			380											3.5																		6						2.63				<1.33			19.6												1.13														1																											<6																																																		7.52																		
B25A1123	19-04-1985	C1985-04-1077		nee	8000.0	10000.0	19-04-1985																																										183										85.1											3													118.64																				7.11				461												2.4																		12.8						0.16				11.2			53.5						<0.06																			71																											<6																																																																			
B25A1123	19-04-1985	L1985-04-0027		nee	8000.0	10000.0																																									183													85																											1050																			461											2.4																		12.8						.21				49.6			53.5												<.18														71																											<6																																																		7.11																		
B25A1123	19-04-1985	C1985-04-1078		nee	19500.0	21500.0	19-04-1985																																										112										26											2.4													66.67																				7.52				380												3.55																		5.96						2.04				<0.3			19.6						0.37																			0.93																											<6																																																																			
B25A1123	30-01-1984	C1984-01-1020		nee	19500.0	21500.0	30-01-1984																																										100										27																								66.67			30																	7.56				387												3.5	2.8																	7.4						2.2				1.4			19						0.63		<0.01																	6	24											<0.1																																																																																		
B25A1123	30-01-1984	C1984-01-1019		nee	8000.0	10000.0	30-01-1984																																																				78																								119.77			15																	7.27				453													1.9																	15.2						0.16				16									0.52		<0.01																	94	5.2											3.6																																																																																		
B25A1123	30-01-1984	L1984-01-0005		nee	8000.0	10000.0																																																						78																									15		1060																			453																													15.2						.21				70.9														<.03	1.59													11.1	94												3.6																																																																	7.27																		
B25A1123	30-01-1984	L1984-01-0006		nee	19500.0	21500.0																																									100													27																									30		590																			387											3.5																		7.4						2.84				6.2			19											<.03	1.93													51.4	6												<.1																																																																	7.56																		
B25A1123	17-01-1983	C1983-01-1038		nee	19500.0	21500.0	17-01-1983																																										116										28																								59.89																				7.42				382												3.3	3.6																	7						3.2				<0.1			20						0.26																			10	22											2								<5							<6																																																																			
B25A1123	17-01-1983	L1983-01-7510		nee	8000.0	10000.0																									<.5																181													80																											940																		39	480											3.3																		17						4.64				44.3			50				4								.18													10.3	110												4															<6					<10																																													7.16																		
B25A1123	17-01-1983	L1983-01-7511		nee	19500.0	21500.0																									1																116													28																											530																		<5	382											3.3																		7						4.13				<.44			20				2								.8													47.1	10												2															<6					<10																																													7.42																		
B25A1123	17-01-1983	C1983-01-1037		nee	8000.0	10000.0	17-01-1983																																										181										80																								106.21																				7.16				480												3.3	3.6																	17						3.6				10			50						0.06																			110	4.8											4								39							<6																																																																			
B25A1123	10-08-1981	C1981-08-1008		nee	19500.0	21500.0	10-08-1981																																										110										28																								67.8			10																	7.37				386												3.4	2.2																	7.3						2.5				0.1			20						0.32																			7	22											2															<3																																																																			
B25A1123	10-08-1981	L1981-08-0080		nee	12000.0	14000.0																									4																190													117																									<5		1100																			472											4.5																		10.8						1.29				1.77			75				7								1.29													18.8	120												2															<3					30																																													7.08																		
B25A1123	10-08-1981	C1981-08-1006		nee	8000.0	10000.0	10-08-1981																																										200										170																								146.89			10																	7.1				662												2.9	2.8																	26						1.1				5.5			100						0.04																			140	7											2															<3																																																																			
B25A1123	10-08-1981	C1981-08-1007		nee	12000.0	14000.0	10-08-1981																																										190										117																								124.29			<5																	7.08				472												4.5	2																	10.8						1				0.4			75						0.42																			120	8.8											2															<3																																																																			
B25A1123	10-08-1981	L1981-08-0081		nee	19500.0	21500.0																									<.5																110													28																									10		600																			386											3.4																		7.3						3.22				.44			20				<1								.98													47.1	7												2															<3					10																																													7.37																		
B25A1123	10-08-1981	L1981-08-0079		nee	8000.0	10000.0																									.5																200													170																									10		1300																			662											2.9																		26						1.42				24.4			100				2								.12													15	140												2															<3					40																																													7.1																		
