LOCATIE gegevens
NITG-nr	X-coord	Y-coord	Coordinaat systeem	Kaartblad	Bepaling locatie	Maaiveldhoogte (m tov NAP)	Bepaling maaiveldhoogte	OLGA-nr	RIVM-nr	Aantal analyses	Meetnet	Indeling	
B25E0345	123125	488738	Rijksdriehoeksmeting	25E		0.95	Landmeting	25EA3345	293	28			

KWALITEIT gegevens VLOEIBAAR
NITG-nr	Monster datum	Monster-nr	Monster apparatuur	Mengmonster	Bovenkant monster (cm tov MV)	Onderkant monster (cm tov MV)	Analyse datum	1,1,1-trichloorethaan (ug/l)	1,1,2-trichloorethaan (ug/l)	1,1-dichloorethaan (ug/l)	1,2-dichloorethaan (ug/l)	1,2-dichloorpropaan (ug/l)	111CL3EA (ug/l)	112CL3EA (ug/l)	11DCEa (ug/l)	12CL2PA (ug/l)	12DCEa (ug/l)	2,4-D (ug/l)	2,4-dinitrofenol (ug/l)	2,6-dichloorbenzamide BAM (ug/l)	24DNP (ug/l)	AMPA (ug/l)	Abamectine (ug/l)	Al (mg/m3)	Al (ug/l)	Aldicarb (ug/l)	Aldicarb-SO (ug/l)	Aldicarb-SO2 (ug/l)	As (mg/m3)	As (ug/l)	Atrazine (ug/l)	BAM (2,6-dichloorbenzamide) (ug/l)	Ba (mg/m3)	Ba (ug/l)	Bentazon (ug/l)	Broompropylaat (ug/l)	Bupirimaat (ug/l)	Butocarboxim (ug/l)	Butocarboxim-SO (ug/l)	C12DCEe (ug/l)	CH4Cl2 (ug/l)	CL3MA (ug/l)	Ca (mg/l)	Ca++ (g/m3)	Carbaryl (ug/l)	Carbendazim (ug/l)	Carbofuran (ug/l)	Cd (mg/m3)	Cd (ug/l)	Chloorprofam (ug/l)	Chloridazon (ug/l)	Cis 1,2-dichlooretheen (ug/l)	Cl- (g/m3)	Cl- (mg/l)	Cr (mg/m3)	Cr (ug/l)	Cu (mg/m3)	Cu (ug/l)	Cycloxidim (ug/l)	DCBN (ug/l)	DMST (ug/l)	DNOC (ug/l)	DOC_C (g/m3)	Diazinon (ug/l)	Dichlobenil (ug/l)	Dichloormethaan (ug/l)	Diethyl toluamide (ug/l)	Dimethoaat (ug/l)	Diuron (ug/l)	EC(5)_veld (mS/m)	EC-veld (uS/cm)	EC25C (mS/m)	EOCL (ugCl/l)	EOX (umol/m3)	Eg-lab (uS/cm)	Eg-veld (uS/cm)	Ehm_gecorrigeerd (mV)	Ethiofencarb (ug/l)	Ethofumesaat (ug/l)	Etridiazool (ug/l)	Fe (g/m3)	Fe (mg/l)	Fenamifos (ug/l)	Fluroxypyr (ug/l)	Flutolanil (ug/l)	Furalaxyl (ug/l)	Glyfosaat (ug/l)	H+ (-)	H+(5)_veld (-)	H3 (TU)	HCO3 (mg/l)	HCO3- (g/m3)	HTI (4-hydroxy-2,5,6-trichloorisoftalonitril (ug/l)	HTI (ug/l)	Hexythiazox (ug/l)	Hg (ug/l)	Imazalil (ug/l)	Imidacloprid (ug/l)	K (mg/l)	K+ (g/m3)	KMnO4_O (g/m3)	Linuron (ug/l)	MCPA (ug/l)	MCPP (ug/l)	Metalaxyl (ug/l)	Metamitron (ug/l)	Metazachlor (ug/l)	Methabenzthiazuron (ug/l)	Methiocarb (ug/l)	Methiocarb-SO2 (ug/l)	Methomyl (ug/l)	Metolachlor (ug/l)	Metoxuron (ug/l)	Mg (mg/l)	Mg++ (g/m3)	Mn (g/m3)	Mn (mg/l)	Mn (ug/l)	NH4 (mg/l)	NH4+_N (g/m3)	NO2 (mg/l)	NO3 (mg/l)	NO3-_N (g/m3)	Na (mg/l)	Na+ (g/m3)	Ni (mg/m3)	Ni (ug/l)	O-PO4 (mg/l)	Oxamyl (ug/l)	P-tot_P (g/m3)	PO4---_P (g/m3)	PO4-O (mg/l)	PO4-T (mg/l)	Pb (mg/m3)	Pb (ug/l)	Pencycuron (ug/l)	Pirimicarb (ug/l)	Pirimifos-methyl (ug/l)	Prochloraz (ug/l)	Procimidon (ug/l)	Propiconazool (ug/l)	Propoxur (ug/l)	Propyzamide (ug/l)	Prosulfocarb (ug/l)	Pyrimethanil (ug/l)	SIO2 (mg/l)	SO4 (mg/l)	SO4-- (g/m3)	SiO2_Si (g/m3)	Simazine (ug/l)	Sr (mg/m3)	Sr (ug/l)	T (C)	T(5)_veld (C)	T12CL2EE (ug/l)	T4CEe (ug/l)	T4CMa (ug/l)	TCEe (ug/l)	TOC (mg/l)	TOC_C (g/m3)	Tebuconazool (ug/l)	Temp (C)	Terbutylazine (ug/l)	Tetrachlooretheen per (ug/l)	Tetrachloormethaan (ug/l)	Tg (TU)	Tolclofos-methyl (ug/l)	Trans 1,2-dichlooretheen (ug/l)	Trichlooretheen tri (ug/l)	Trichloormethaan (ug/l)	VOCL (ugCl/l)	VOX (umol/m3)	Vinclozolin (ug/l)	Vinczln (ug/l)	Zn (mg/m3)	Zn (ug/l)	aldicarb (ug/l)	aldicarbsulfon (ug/l)	aldicarbsulfoxide (ug/l)	aminomethylfosfonzuur (AMPA) (ug/l)	carbaryl (ug/l)	carbendazim (ug/l)	carbofuran (ug/l)	chloorprofam (ug/l)	chloridazon (ug/l)	cycloxydim (ug/l)	diethyltoluamide (DEET) (ug/l)	dimethoaat (ug/l)	diuron (ug/l)	ethiofencarb (ug/l)	ethofumesaat (ug/l)	fenamifos (ug/l)	fluroxypyr (ug/l)	flutolanil (ug/l)	furalaxyl (ug/l)	glyfosaat (ug/l)	imidacloprid (ug/l)	isoproturon (ug/l)	linuron (ug/l)	metalaxyl (ug/l)	metamitron (ug/l)	metazachloor (ug/l)	methabenzthiazuron (ug/l)	methiocarb (ug/l)	methiocarbsulfon (ug/l)	methomyl (ug/l)	metolachloor (ug/l)	metoxuron (ug/l)	oxamyl (ug/l)	pH-lab (-)	pH-veld (-)	pirimicarb (ug/l)	prochloraz (ug/l)	procymidon (ug/l)	propoxur (ug/l)	propyzamide (ug/l)	prosulfocarb (ug/l)	pyrimethanil (ug/l)	simazine (ug/l)	tebuconazool (ug/l)	tolclofos-methyl (ug/l)	
B25E0345	23-10-1991	C1991-10-1246		nee	25200.0	27200.0	23-10-1991																	73.96					1.07				852.96											278.27				<0.02					4249.17		2.03		<0.64						13.62									1333.33									17.87							7.14				1058.96								85.15															300.49	0.67				38.13			<0.03		2158.48	1.58				5.34				1.53														4.42			2661.58																								<6.54																																															
B25E0345	23-10-1991	L1991-10-7577		nee	15200.0	17200.0																			42					13.9				1525									572						<.02					2593		1.51		<.6																	8150							23.3									1064								57.5															156			11.1		57.7			.18		1077			2.82						12.7		1.5																	3739																								19.8																																		6.69												
B25E0345	23-10-1991	C1991-10-1245		nee	15200.0	17200.0	23-10-1991																	42.04					13.87				1524.88											571.71				<0.02					2592.67		1.51		<0.64						14.6									920.9									23.32							6.69				1063.84								57.49															155.68	11.12				44.72			0.04		1077.43	2.82				4.15				1.51														<0.19			3739.43																								19.84																																															
B25E0345	09-03-1990	C1990-03-1083		nee	15200.0	17200.0	09-03-1990																	<18.83					36.84				1871.9											588.32				<0.11					2810.53		6.14		1.59						13.93									971.75									29.55							6.59				1070.55								59.3															160.85	11.58				46.88			<0.28		1086.01	6.69				4.06				3.03														1.56			3994.3																								19.5																																															
B25E0345	09-03-1990	C1990-03-1084		nee	25200.0	27200.0	09-03-1990																	109.58					0.63				752.03											280.7				<0.11					4137.24		4.16		1.46						15.91									1282.49									21.61							7.06				1051.64								83.4															296.22	0.72				37.89			<0.28		1924.42	0.65				4.12				<2.07														3.48			2684.46																								11.01																																															
B25E0345	09-03-1990	L1990-03-7530		nee	15200.0	17200.0																			<19					36.8				1872									588						<.11					2811		6.14		1.6																	8600							29.6									1071								59.3															161			11.6		60.5			<1.24		1086			6.69						12.4		3												2					3994																								19.5																																		6.59												
B25E0345	09-03-1990	L1990-03-7531		nee	25200.0	27200.0																			110					.63				752									281						<.11					4137		4.16		1.5																	11350							21.6									1052								83.4															296			.72		48.9			<1.24		1924			.65						12.6		<2.1												3					2684																								11																																		7.06												
B25E0345	04-04-1989	C1989-04-1072		nee	7900.0	8900.0	04-04-1989																																					288									3872																			1395.48									0.32							7.52				2477								91.5															336.1					50.6			<0.28		2227					0.37	0.09																	4.2																																																																										
B25E0345	04-04-1989	L1989-04-0004		nee	25200.0	27200.0																																					270											4031																					11450							19.9									1107								80.5															294					49.8			2.13		1898								12.2	12.4														4																																																															7.14												
B25E0345	04-04-1989	C1989-04-1073		nee	25200.0	27200.0	04-04-1989																																					270									4031																			1293.79									19.9							7.14				1107								80.5															293.8					38.57			0.48		1898					4.06	3.98																	4.3																																																																										
B25E0345	04-04-1989	L1989-04-0003		nee	7900.0	8900.0																																					288											3872																					12350							.32									2477								91.5															336					65.3			<1.24		2227								.28	1.13														4																																																															7.52												
B25E0345	21-03-1988	C1988-03-1090		nee	25200.0	27200.0	21-03-1988																																					270									4081																			1316.38																7.18				1032								81.33															299.6					34.59			<0.28		1996					0.37																		3.6																																																																										
B25E0345	21-03-1988	L1988-03-0038		nee	25200.0	27200.0																																					270											4081																					11650																1032								81.3															300					44.6			<1.24		1996									1.13														4																																																															7.18												
B25E0345	21-03-1988	L1988-03-0037		nee	7900.0	8900.0																																					294											3629																					11650																2364								90.4															317					62.6			<1.24		2076									7.59														3																																																															6.83												
B25E0345	21-03-1988	C1988-03-1089		nee	7900.0	8900.0	21-03-1988																																					294									3629																			1316.38																6.83				2364								90.37															316.6					48.55			<0.28		2076					2.48																		2.7																																																																										
B25E0345	08-04-1987	C1987-04-1054		nee	7900.0	8900.0	08-04-1987																																					270									3270										48.1									1197.74																7.56				2540								88.1															299					47.3			<0.3		1970					0.22																		3.96																																																																										
B25E0345	08-04-1987	L1987-04-0027		nee	7900.0	8900.0																			<20																		270											3270																					10600																2540								88.1															299					61			<1.33		1970									.67														4																																																															7.56												
B25E0345	08-04-1987	C1987-04-1055		nee	25200.0	27200.0	08-04-1987																																					269									4240										16.3									1310.73																7.21				1070								82.1															298					39.4			<0.3		2080					6.11																		5.13																																																																										
B25E0345	08-04-1987	L1987-04-0028		nee	25200.0	27200.0																			33																		269											4240																					11600																1070								82.1															298					50.8			<1.33		2080									18.7														5																																																															7.21												
B25E0345	15-04-1986	L1986-04-0038		nee	25200.0	27200.0																																					276											4060																					11300																1040								81.8															301					52.4			<1.33		2030									13.6														4																																																															7.06												
B25E0345	15-04-1986	C1986-04-1110		nee	25200.0	27200.0	15-04-1986																																					276									4060										19.1									1276.84																7.06				1040								81.8															301					40.6			<0.3		2030					4.43																		4.47																																																																										
B25E0345	15-04-1986	C1986-04-1109		nee	7900.0	8900.0	15-04-1986																																					275									3240										45.2									1197.74																7.23				2280								84.4															297					47.8			<0.3		2000					1.36																		6.66																																																																										
B25E0345	15-04-1986	L1986-04-0037		nee	7900.0	8900.0																																					275											3240																					10600																2280								84.4															297					61.7			<1.33		2000									4.16														7																																																															7.23												
B25E0345	12-04-1985	L1985-04-0038		nee	25200.0	27200.0																																					286											3990																					11500																1030								84															299					51.5			<1.33		2000									14.4														6																																																															6.91												
B25E0345	12-04-1985	C1985-04-1039		nee	7900.0	8900.0	12-04-1985																																					257									2890										40									1079.1																7.7				2010								85.6															279					43.2			<0.3		1760					4.19																		5.41																																																																										
B25E0345	12-04-1985	C1985-04-1040		nee	25200.0	27200.0	12-04-1985																																					286									3990										17									1299.44																6.91				1030								84															299					39.9			<0.3		2000					4.71																		5.99																																																																										
B25E0345	12-04-1985	L1985-04-0037		nee	7900.0	8900.0																																					257											2890																					9550																2010								85.6															279					55.7			<1.33		1760									12.8														5																																																															7.7												
B25E0345	09-02-1984	L1984-02-0077		nee	25200.0	27200.0																																																																																				<5																																																																																																																																				
B25E0345	09-02-1984	C1984-02-8027		nee	25200.0	27200.0	09-02-1984																																																																																																																																																															<5																																																								
B25E0345	09-02-1984	L1984-02-0076		nee	15200.0	17200.0																								35													630						<1					3100		2.5		2.5																	8300																1060								55															192					72.2			.44		1100			18					.15	15.9		<5											64.2	13												13																	20																																		6.67												
B25E0345	09-02-1984	C1984-02-1039		nee	7900.0	8900.0	09-02-1984																																					650									2700																			994.35																7.13				2360								53	56														280					40			<0.1		1000					6.3	0.17																	16	22											54						25																																																								
B25E0345	09-02-1984	L1984-02-0075		nee	7900.0	8900.0																								50													650						<1					2700		2		.5																	8800															25	2360								53															280					51.6			<.44		1000			20					.52	19.3		<5											47.1	16												54																	10																																		7.13												
B25E0345	09-02-1984	C1984-02-1040		nee	15200.0	17200.0	09-02-1984																																					630									3100																			937.85																6.67				1060								55	26														192					56			0.1		1100					5.2	0.05																	13	30											13																																																														
B25E0345	19-01-1983	L1983-01-7514		nee	25200.0	27200.0																								4													310											4100																					8500																1280								85															370					49			<.44		2100			17						36.7													28.2	23												39												<6																																							6.89												
B25E0345	19-01-1983	C1983-01-1049		nee	25200.0	27200.0	19-01-1983																																					310									4100																			960.45																6.89				1280								85	211														370					38			<0.1		2100					12																		23	13.2											39												<6																																																		
B25E0345	17-07-1981	C1981-07-1131		nee	15200.0	17200.0	17-07-1981																																					670									2800																			949.15		35														6.66				1090								52	17														210					2.8			0.2		1000					2.8																		35	24											21												<3																																																		
B25E0345	17-07-1981	L1981-07-0042		nee	15200.0	17200.0																								23													670											2800																			35		8400																1090								52															210					3.61			.89		1000			60						8.57													51.4	35												21												<3					160																																		6.66												
B25E0345	17-07-1981	C1981-07-1130		nee	7900.0	8900.0	17-07-1981																																					27									47																			40.68		25														6.21				21								6.4	0.5														11.9					<0.2			7.4		22					0.04																		62	10.6											1												<3																																																		
B25E0345	17-07-1981	L1981-07-0041		nee	7900.0	8900.0																								<.5													27											47																			25		360																21								6.4															11.9					<.26			32.8		22			4						.12													22.7	62												1												<3					20																																		6.21												
