LOCATIE gegevens
NITG-nr	X-coord	Y-coord	Coordinaat systeem	Kaartblad	Bepaling locatie	Maaiveldhoogte (m tov NAP)	Bepaling maaiveldhoogte	OLGA-nr	RIVM-nr	Aantal analyses	Meetnet	Indeling	
B25F0141	131100	493150	Rijksdriehoeksmeting	25F		-1.5	Landmeting	25FA3141	302	39			

KWALITEIT gegevens VLOEIBAAR
NITG-nr	Monster datum	Monster-nr	Monster apparatuur	Mengmonster	Bovenkant monster (cm tov MV)	Onderkant monster (cm tov MV)	Analyse datum	1,1,1-trichloorethaan (ug/l)	1,1,2-trichloorethaan (ug/l)	1,1-dichloorethaan (ug/l)	1,2-dichloorethaan (ug/l)	1,2-dichloorpropaan (ug/l)	111CL3EA (ug/l)	112CL3EA (ug/l)	11DCEa (ug/l)	12CL2PA (ug/l)	12DCEa (ug/l)	2,4-D (ug/l)	2,4-dinitrofenol (ug/l)	2,6-dichloorbenzamide BAM (ug/l)	24DNP (ug/l)	AMPA (ug/l)	Abamectine (ug/l)	Al (mg/m3)	Al (ug/l)	Aldicarb (ug/l)	Aldicarb-SO (ug/l)	Aldicarb-SO2 (ug/l)	As (mg/m3)	As (ug/l)	Atrazine (ug/l)	B (mg/m3)	BAM (2,6-dichloorbenzamide) (ug/l)	Ba (mg/m3)	Ba (ug/l)	Bentazon (ug/l)	Broompropylaat (ug/l)	Bupirimaat (ug/l)	Butocarboxim (ug/l)	Butocarboxim-SO (ug/l)	C12DCEe (ug/l)	CH4Cl2 (ug/l)	CL3MA (ug/l)	Ca (mg/l)	Ca++ (g/m3)	Carbaryl (ug/l)	Carbendazim (ug/l)	Carbofuran (ug/l)	Cd (mg/m3)	Cd (ug/l)	Chloorprofam (ug/l)	Chloridazon (ug/l)	Cis 1,2-dichlooretheen (ug/l)	Cl- (g/m3)	Cl- (mg/l)	Co (mg/m3)	Cr (mg/m3)	Cr (ug/l)	Cu (mg/m3)	Cu (ug/l)	Cycloxidim (ug/l)	DCBN (ug/l)	DMST (ug/l)	DNOC (ug/l)	DOC_C (g/m3)	Diazinon (ug/l)	Dichlobenil (ug/l)	Dichloormethaan (ug/l)	Diethyl toluamide (ug/l)	Dimethoaat (ug/l)	Diuron (ug/l)	EC (uS/cm)	EC(5)_veld (mS/m)	EC-veld (uS/cm)	EC25C (mS/m)	EOCL (ugCl/l)	EOX (umol/m3)	Eg-lab (uS/cm)	Eg-veld (uS/cm)	Ehm_gecorrigeerd (mV)	Ethiofencarb (ug/l)	Ethofumesaat (ug/l)	Etridiazool (ug/l)	Fe (g/m3)	Fe (mg/l)	Fenamifos (ug/l)	Fluroxypyr (ug/l)	Flutolanil (ug/l)	Furalaxyl (ug/l)	Glyfosaat (ug/l)	H+ (-)	H+(5)_veld (-)	H-3 (TU)	H3 (TU)	HCO3 (mg/l)	HCO3- (g/m3)	HCO3-_veld (g/m3)	HTI (4-hydroxy-2,5,6-trichloorisoftalonitril (ug/l)	HTI (ug/l)	Hexythiazox (ug/l)	Hg (ug/l)	Imazalil (ug/l)	Imidacloprid (ug/l)	K (mg/l)	K+ (g/m3)	KMnO4_O (g/m3)	Linuron (ug/l)	MCPA (ug/l)	MCPP (ug/l)	Metalaxyl (ug/l)	Metamitron (ug/l)	Metazachlor (ug/l)	Methabenzthiazuron (ug/l)	Methiocarb (ug/l)	Methiocarb-SO2 (ug/l)	Methomyl (ug/l)	Metolachlor (ug/l)	Metoxuron (ug/l)	Mg (mg/l)	Mg++ (g/m3)	Mn (g/m3)	Mn (mg/l)	Mn (ug/l)	NH4 (mg/l)	NH4+_N (g/m3)	NO2 (mg/l)	NO3 (mg/l)	NO3-_N (g/m3)	Na (mg/l)	Na+ (g/m3)	Ni (mg/m3)	Ni (ug/l)	O-PO4 (mg/l)	Oxamyl (ug/l)	P-tot_P (g/m3)	PO4 (mg/l)	PO4---_P (g/m3)	PO4-O (mg/l)	PO4-T (mg/l)	Pb (mg/m3)	Pb (ug/l)	Pencycuron (ug/l)	Pirimicarb (ug/l)	Pirimifos-methyl (ug/l)	Prochloraz (ug/l)	Procimidon (ug/l)	Propiconazool (ug/l)	Propoxur (ug/l)	Propyzamide (ug/l)	Prosulfocarb (ug/l)	Pyrimethanil (ug/l)	SIO2 (mg/l)	SO4 (mg/l)	SO4-- (g/m3)	SiO2 (mg/l)	SiO2_Si (g/m3)	Simazine (ug/l)	Sr (mg/m3)	Sr (ug/l)	T (C)	T(5)_veld (C)	T12CL2EE (ug/l)	T4CEe (ug/l)	T4CMa (ug/l)	TCEe (ug/l)	TOC (mg/l)	TOC_C (g/m3)	Tebuconazool (ug/l)	Temp (C)	Terbutylazine (ug/l)	Tetrachlooretheen per (ug/l)	Tetrachloormethaan (ug/l)	Tg (TU)	Tolclofos-methyl (ug/l)	Trans 1,2-dichlooretheen (ug/l)	Trichlooretheen tri (ug/l)	Trichloormethaan (ug/l)	V (mg/m3)	VOCL (ugCl/l)	VOX (umol/m3)	Vinclozolin (ug/l)	Vinczln (ug/l)	Zn (mg/m3)	Zn (ug/l)	aldicarb (ug/l)	aldicarbsulfon (ug/l)	aldicarbsulfoxide (ug/l)	aminomethylfosfonzuur (AMPA) (ug/l)	carbaryl (ug/l)	carbendazim (ug/l)	carbofuran (ug/l)	chloorprofam (ug/l)	chloridazon (ug/l)	cycloxydim (ug/l)	diethyltoluamide (DEET) (ug/l)	dimethoaat (ug/l)	diuron (ug/l)	ethiofencarb (ug/l)	ethofumesaat (ug/l)	fenamifos (ug/l)	fluroxypyr (ug/l)	flutolanil (ug/l)	furalaxyl (ug/l)	glyfosaat (ug/l)	imidacloprid (ug/l)	isoproturon (ug/l)	linuron (ug/l)	metalaxyl (ug/l)	metamitron (ug/l)	metazachloor (ug/l)	methabenzthiazuron (ug/l)	methiocarb (ug/l)	methiocarbsulfon (ug/l)	methomyl (ug/l)	metolachloor (ug/l)	metoxuron (ug/l)	oxamyl (ug/l)	pH (-)	pH-lab (-)	pH-veld (-)	pirimicarb (ug/l)	prochloraz (ug/l)	procymidon (ug/l)	propoxur (ug/l)	propyzamide (ug/l)	prosulfocarb (ug/l)	pyrimethanil (ug/l)	simazine (ug/l)	tebuconazool (ug/l)	tolclofos-methyl (ug/l)	
B25F0141	03-04-1987	C1987-04-1030		nee	3200.0	5200.0	03-04-1987																																						98.6									1460											46										542.37																6.99					695									35.1															84.6					13.3			<0.3		912					3.5																			58.6																																																																													
B25F0141	03-04-1987	C1987-04-1031		nee	22800.0	24800.0	03-04-1987																																						191									436											10.3										245.2																7.47					770									34.1															90.3					19.1			<0.3		142					2.24																			1.7																																																																													
B25F0141	03-04-1987	L1987-04-0030		nee	22800.0	24800.0																			<20																			191											436																							2170																	770									34.1															90.3					24.6			<1.33		142										6.85														2																																																																		7.47												
B25F0141	03-04-1987	L1987-04-0029		nee	3200.0	5200.0																			290																			98.6											1460																							4800																	695									35.1															84.6					17.2			<1.33		912										10.7														59																																																																		6.99												
B25F0141	15-04-1986	C1986-04-1111		nee	3200.0	5200.0	15-04-1986																																						88.9									1310											48										500.56																6.92					755									33.9															79.5					13.1			<0.3		901					2.14																			70.1																																																																													
B25F0141	15-04-1986	C1986-04-1112		nee	22800.0	24800.0	15-04-1986																																						191									448											10.2										241.81																7.05					767									33.8															91.7					18.9			<0.3		136					3.26																			9.44																																																																													
B25F0141	15-04-1986	L1986-04-0039		nee	3200.0	5200.0																																						88.9											1310																							4430																	755									33.9															79.5					16.9			<1.33		901										6.55														70																																																																		6.92												
B25F0141	15-04-1986	L1986-04-0040		nee	22800.0	24800.0																																						191											448																							2140																	767									33.8															91.7					24.4			<1.33		136										9.98														9																																																																		7.05												
B25F0141	12-04-1985	C1985-04-1041		nee	3200.0	5200.0	12-04-1985																																						138									1460											40										549.15																7.16					712									45.2															90.1					13.7			<0.3		918					4.22																			63.9																																																																													
B25F0141	12-04-1985	C1985-04-1042		nee	22800.0	24800.0	12-04-1985																																						185									431											9										244.07																7.11					720									34.6															92.4					19.3			<0.3		134					1.89																			<0.2																																																																													
B25F0141	12-04-1985	L1985-04-0039		nee	3200.0	5200.0																																						138											1460																							4860																	712									45.2															90.1					17.7			<1.33		918										12.9														64																																																																		7.16												
B25F0141	12-04-1985	L1985-04-0040		nee	22800.0	24800.0																																						185											431																							2160																	720									34.6															92.4					24.9			<1.33		134										5.78																																																																																7.11												
B25F0141	09-02-1984	C1984-02-1041		nee	3200.0	5200.0	09-02-1984																																						110									1480																					531.07																7.29					748									35	55														89					12.4			<0.1		820					3.2		0.63																	33		11.4											36																																																																
B25F0141	09-02-1984	C1984-02-1042		nee	22800.0	24800.0	09-02-1984																																						200									430																					233.9																7.09					796									33	13														93					16			<0.1		130					1.8		0.26																	5		12.2											4.3																																																																
B25F0141	09-02-1984	L1984-02-0079		nee	22800.0	24800.0																								<.5														200						<.1					430			.5		3																		2070																	796									33															93					20.6			<.44		130			2						.8	5.51		<5											26.1	5													4.3																		10																																			7.09												
B25F0141	09-02-1984	L1984-02-0078		nee	3200.0	5200.0																								<.5														110						<1					1480			<.5		.5																		4700																	748									35															89					16			<.44		820			2						1.93	9.79		<5											24.4	33													36																		10																																			7.29												
B25F0141	18-01-1983	L1983-01-7515		nee	3200.0	5200.0																								2														121											1510																							3700																24	756									32															86					15.5			<.44		950			5							4.59													23.5	31													35													<6					<10																																			7.68												
B25F0141	18-01-1983	L1983-01-7516		nee	22800.0	24800.0																								<.5														210											430																							1600																11	767									30															110					20.6			<.44		130			5							7.34													25.3	4													7													<6					<10																																			7.14												
B25F0141	18-01-1983	C1983-01-1044		nee	22800.0	24800.0	18-01-1983																																						210									430																					180.79																7.14					767									30	20														110					16			<0.1		130					2.4																			4		11.8											7						11							<6																																																			
B25F0141	18-01-1983	C1983-01-1043		nee	3200.0	5200.0	18-01-1983																																						121									1510																					418.08																7.68					756									32	92														86					12			<0.1		950					1.5																			31		11											35						24							<6																																																			
B25F0141	17-07-1981	C1981-07-1133		nee	22800.0	24800.0	17-07-1981																																						187									400																					231.64		5														7.01					763									32	8.2														110					19			<0.1		120					2.1																			7		13.6											13													<3																																																			
B25F0141	17-07-1981	L1981-07-0044		nee	22800.0	24800.0																								2.5														187						<.1					400			1.5		2																5		2050																	763									32															110					24.5			<.44		120			7							6.43		5											29.1	7													13													<3					80																																			7.01												
B25F0141	17-07-1981	L1981-07-0043		nee	15800.0	17800.0																								1.5														162											300																					<5		1700																	698									27															78					19.4			<.44		100			4							6.12													34.2	8													11													<3					<10																																			7.04												
B25F0141	17-07-1981	C1981-07-1132		nee	15800.0	17800.0	17-07-1981																																						162									300																					192.09		<5														7.04					698									27	9														78					15			<0.1		100					2																			8		16											11													<3																																																			
