LOCATIE gegevens
NITG-nr	X-coord	Y-coord	Coordinaat systeem	Kaartblad	Bepaling locatie	Maaiveldhoogte (m tov NAP)	Bepaling maaiveldhoogte	OLGA-nr	RIVM-nr	Aantal analyses	Meetnet	Indeling	
B25E0884	123350	494240	Rijksdriehoeksmeting	25E		-0.95		25EP0884	2213	39			

KWALITEIT gegevens VLOEIBAAR
NITG-nr	Monster datum	Monster-nr	Monster apparatuur	Mengmonster	Bovenkant monster (cm tov MV)	Onderkant monster (cm tov MV)	Analyse datum	1,1,1-trichloorethaan (ug/l)	1,1,2-trichloorethaan (ug/l)	1,1-dichloorethaan (ug/l)	1,2-dichloorethaan (ug/l)	1,2-dichloorpropaan (ug/l)	111CL3EA (ug/l)	112CL3EA (ug/l)	11DCEa (ug/l)	12CL2PA (ug/l)	12DCEa (ug/l)	2,4-D (ug/l)	2,4-dinitrofenol (ug/l)	2,6-dichloorbenzamide BAM (ug/l)	24DNP (ug/l)	24DP (ug/l)	AMPA (ug/l)	Abamectine (ug/l)	Al (mg/l)	Al (mg/m3)	Al (ug/l)	Aldicarb (ug/l)	Aldicarb-SO (ug/l)	Aldicarb-SO2 (ug/l)	As (mg/m3)	As (ug/l)	Atrazine (ug/l)	BAM (2,6-dichloorbenzamide) (ug/l)	Ba (mg/m3)	Ba (ug/l)	Bentazon (ug/l)	Broompropylaat (ug/l)	Buffercapaciteit pH 4.3 (mmol/l)	Bupirimaat (ug/l)	Butocarboxim (ug/l)	Butocarboxim-SO (ug/l)	C12DCEe (ug/l)	CH4Cl2 (ug/l)	CL3MA (ug/l)	Ca (g/m3)	Ca (mg/l)	Ca (ug/l)	Carbaryl (ug/l)	Carbendazim (ug/l)	Carbetamide (ug/l)	Carbofuran (ug/l)	Cd (mg/m3)	Cd (ug/l)	Chloorprofam (ug/l)	Chloridazon (ug/l)	Cis 1,2-dichlooretheen (ug/l)	Cl- (g/m3)	Cl- (mg/l)	Cr (mg/m3)	Cr (ug/l)	Cu (mg/m3)	Cu (ug/l)	Cycloxidim (ug/l)	DCBN (ug/l)	DMST (ug/l)	DNOC (ug/l)	DOC (g/m3)	DOC (mg/l)	Diazinon (ug/l)	Dicamba (ug/l)	Dichlobenil (ug/l)	Dichloormethaan (ug/l)	Diethyl toluamide (ug/l)	Difenoconazool (ug/l)	Dikegulac-Natrium (ug/l)	Dimethoaat (ug/l)	Diuron (ug/l)	EC (mS/m)	EC (uS/cm)	EC-5 (mS/m)	EC-LAB25C (mS/m)	EC-lab (uS/cm)	EC-veld (uS/cm)	ECVELD (uS/cm)	Eg-lab (uS/cm)	Eg-veld (uS/cm)	Ehm_gecorrigeerd (mV)	Ethiofencarb (ug/l)	Ethofumesaat (ug/l)	Ethyl-tert-butylether (ETBE) (ug/l)	Etridiazool (ug/l)	Fe (g/m3)	Fe (mg/l)	Fe (ug/l)	Fenamifos (ug/l)	Fluazifop-p-butyl (ug/l)	Fluroxypyr (ug/l)	Flutolanil (ug/l)	Furalaxyl (ug/l)	Glyfosaat (ug/l)	H-3 (TU)	H3 (TU)	HCO3 (g/m3)	HCO3 (mg/l)	HCO3-Veld (g/m3)	HCO3-lab (mg/l)	HCO3-veld (mg/l)	HTI (4-hydroxy-2,5,6-trichloorisoftalonitril (ug/l)	HTI (ug/l)	Hexythiazox (ug/l)	Hg (ug/l)	Imazalil (ug/l)	Imidacloprid (ug/l)	K (g/m3)	K (mg/l)	K (ug/l)	Linuron (ug/l)	MCPA (ug/l)	MCPP (ug/l)	Metalaxyl (ug/l)	Metamitron (ug/l)	Metazachlor (ug/l)	Methabenzthiazuron (ug/l)	Methiocarb (ug/l)	Methiocarb-SO2 (ug/l)	Methomyl (ug/l)	Methyl tert-butylether (ug/l)	Metolachloor (R/S) (ug/l)	Metolachlor (ug/l)	Metoxuron (ug/l)	Mg (g/m3)	Mg (mg/l)	Mg (ug/l)	Mn (g/m3)	Mn (mg/l)	Mn (ug/l)	NH4 (gN/m3)	NH4 (mg/l)	NH4 (mgN/l)	NO2 (mg/l)	NO3 (gN/m3)	NO3 (mg/l)	NO3 (mgN/l)	Na (g/m3)	Na (mg/l)	Na (ug/l)	Ni (mg/m3)	Ni (ug/l)	O-PO4 (mg/l)	O2 (mg/l)	Ortho-fosfaat (mgP/l)	Oxamyl (ug/l)	P-totaal (mg/l)	P-totaal (mgP/l)	PO4-T (mg/l)	Pb (mg/m3)	Pb (ug/l)	Pencycuron (ug/l)	Pirimicarb (ug/l)	Pirimifos-methyl (ug/l)	Prochloraz (ug/l)	Procimidon (ug/l)	Propiconazool (ug/l)	Propoxur (ug/l)	Propyzamide (ug/l)	Prosulfocarb (ug/l)	Pyrimethanil (ug/l)	SO4 (g/m3)	SO4 (mg/l)	SiO2 (mg/l)	SiO2 (mgSi/l)	Simazine (ug/l)	Sr (mg/m3)	Sr (ug/l)	T (C)	T-5 (C)	T-PO4 (gP/m3)	T-PO4 (mg/l)	T12CL2EE (ug/l)	T4CEe (ug/l)	T4CMa (ug/l)	TCEe (ug/l)	TEMP-V (C)	TOTH (mmol/l)	Tebuconazool (ug/l)	Temp (C)	Temp-lab (C)	Temp-veld (C)	Terbutylazine (ug/l)	Tetrachlooretheen per (ug/l)	Tetrachloormethaan (ug/l)	Tolclofos-methyl (ug/l)	Trans 1,2-dichlooretheen (ug/l)	Trichlooretheen tri (ug/l)	Trichloormethaan (ug/l)	Vinclozolin (ug/l)	Vinczln (ug/l)	Zn (mg/m3)	Zn (ug/l)	aldicarb (ug/l)	aldicarbsulfon (ug/l)	aldicarbsulfoxide (ug/l)	aminomethylfosfonzuur (AMPA) (ug/l)	bifenox (ug/l)	bromacil (ug/l)	carbaryl (ug/l)	carbendazim (ug/l)	carbofuran (ug/l)	chloorprofam (ug/l)	chloortoluron (ug/l)	chloridazon (ug/l)	clopyralid (ug/l)	cycloxydim (ug/l)	desethylatrazine (ug/l)	dichlobenil (ug/l)	diethyltoluamide (DEET) (ug/l)	dimethoaat (ug/l)	diuron (ug/l)	ethiofencarb (ug/l)	ethofumesaat (ug/l)	ethoprofos (ug/l)	fenamifos (ug/l)	fluroxypyr (ug/l)	flutolanil (ug/l)	furalaxyl (ug/l)	glyfosaat (ug/l)	imidacloprid (ug/l)	isoproturon (ug/l)	linuron (ug/l)	metalaxyl (ug/l)	metamitron (ug/l)	metazachloor (ug/l)	methabenzthiazuron (ug/l)	methiocarb (ug/l)	methiocarbsulfon (ug/l)	methomyl (ug/l)	metolachloor (ug/l)	metoxuron (ug/l)	metribuzin (ug/l)	metsulfuron-methyl (ug/l)	monuron (ug/l)	nicosulfuron (ug/l)	oxamyl (ug/l)	pH (-)	pH-5 (-)	pH-lab (-)	pH-veld (-)	pencycuron (ug/l)	pirimicarb (ug/l)	prochloraz (ug/l)	procymidon (ug/l)	propachloor (ug/l)	propoxur (ug/l)	propyzamide (ug/l)	prosulfocarb (ug/l)	pyrimethanil (ug/l)	rimsulfuron (ug/l)	simazine (ug/l)	stijgh_mv (m-mv)	tebuconazool (ug/l)	tolclofos-methyl (ug/l)	triadimenol (ug/l)	triclopyr (ug/l)	triflusulfuron-methyl (ug/l)	
B25E0884	10-10-1995	C1995-10-8071		nee	23040.0	25040.0	10-10-1995																			37.772					0.225				319.292											316.528							<0.045					631.542		<0.260		<0.635						11.181													249.57												24.568											535.145											5.435																	35.638			2.223			7.187				0.042			178.655			<0.880									<0.207												<0.096					1050.564			11.30	0.712																					<6.539																																															6.81														-1.28						
B25E0884	10-10-1995	M1995-10-0090		nee	23040.0	25040.0																					38					.23				319											317							<.045					632		<.26		<.6																								2820	77						24.6											535											5.4																	35.6			2.22			9.27				.19			179			<.88							2.18		<.2																	1051												11.3													<6.5																																																6.81																		
B25E0884	09-11-1994	L1994-11-7698		nee	23040.0	25040.0																																																																																	2900	162															<.5																																																.2																																				11.8																																																													6.83																		
B25E0884	11-10-1994	C1994-10-1075		nee	8080.0	10080.0	11-10-1994																		.024							2.77				94.62											197.18							<.04					1044.52		1.77		<.64																															16.88											859.77											14.94																	63.89			1.12			15.828				.133			649.28			.94									.27												<.1									5.311					20	7.55															19.62																																																																		
B25E0884	11-10-1994	L1994-10-7774		nee	8080.0	10080.0																					24					2.77				95											197							<.045					1045		1.77		<.6																								4330							16.9											860											14.9																	63.9			1.12			15.8				.15			649			.94							5.31		.3																	755												11.3													19.6																																																6.88																		
B25E0884	11-10-1994	C1994-10-8091		nee	8080.0	10080.0	11-10-1994																			24.282					2.772				94.620											197.182							<0.045					1044.517		1.768		<0.635						31.118													383												16.878											859.772											14.936																	63.887			1.121			12.273				0.034			649.284			0.939									0.269												<0.096					755.284			11.30	1.734																					19.617																																															6.88														-0.84						
B25E0884	11-10-1994	L1994-10-7775		nee	12530.0	14530.0																					22					8.62				314											238							.067					1584		1.56		.6																								5770							21.4											798											7.7																	67.8			1.93			16.1				.11			914			<.88							4.83		.3																	846												12.4													32.7																																																6.9																		
B25E0884	11-10-1994	C1994-10-1076		nee	12530.0	14530.0	11-10-1994																		.022							8.62				314.35											237.47							.07					1584.09		1.56		.64																															21.41											797.53											7.7																	67.83			1.93			16.086				.089			913.67			<.88									.27												<.1									4.851					20	8.71															32.7																																																																		
B25E0884	11-10-1994	C1994-10-8080		nee	12530.0	14530.0	11-10-1994																			21.584					8.616				314.348											237.466							0.067					1584.094		1.560		0.635						27.755													511												21.407											797.531											7.703																	67.825			1.932			12.469				0.024			913.669			<0.880									0.269												<0.096					846.409			12.40	1.579																					32.695																																															6.90														-1.24						
B25E0884	11-10-1994	C1994-10-1077		nee	23040.0	25040.0	11-10-1994																		.057							.38				302.68											318.68							<.04					609.24		<.78		1.27																															24.33											527.21											5.47																	35.3			2.17			9.365				.31			157.41			<.88									<.21												<.1									2.18					20	9.4															<6.54																																																																		
B25E0884	11-10-1994	L1994-10-7776		nee	23040.0	25040.0																					57					.38				303											319							<.045					609		<.78		1.3																								2630							24.3											527											5.5																	35.3			2.17			9.36				.3			157			<.88							2.18		<.2																	1021												11.3													<6.5																																																6.82																		
B25E0884	11-10-1994	C1994-10-8088		nee	23040.0	25040.0	11-10-1994																			56.658					0.375				302.675											318.684							<0.045					609.240		<0.780		1.271						11.049													233												24.334											527.213											5.474																	35.298			2.174			7.257				0.067			157.413			<0.880									<0.207												<0.096					1020.773			11.30	0.712																					<6.539																																															6.82														-1.25						
B25E0884	09-02-1994	L1994-02-0124		nee	23040.0	25040.0																																																																																	2960	121																																																															1.3																																				11.6																																																													6.74																		
B25E0884	09-02-1994	L1994-02-0123		nee	12530.0	14530.0																																																																																	6260	109															13.6																																																2.5																																				11.7																																																													6.81																		
B25E0884	09-02-1994	L1994-02-0122		nee	8080.0	10080.0																																																																																	3980	103																																																															2.1																																				11.7																																																													6.97																		
B25E0884	15-11-1993	T1989-00-3389		nee	23040.0	25040.0	15-11-1993																																								313												580																					2310														24.57											517											5.3																	34			2.18			9.2				.42			149																								<1																																																																											6.8																					
B25E0884	15-11-1993	T1989-00-3389		nee	23040.0	25040.0	09-02-1994																									.2																																																																																																																																																																																																																																										
B25E0884	15-11-1993	C1993-11-1237		nee	8080.0	10080.0	15-11-1993																		.076							7.42				127.03											175.68							.08					953.46		2.5		<.64																															17.16											898.83											19.08																	70.91			1.34			15.312				.177			628.29			2.41									.41												<.1									6.171					20	7.3															<6.54																																																																		
B25E0884	15-11-1993	C1993-11-8082		nee	23040.0	25040.0	15-11-1993																			18.886					0.300				295.260											313.265							<0.045					580.387		<0.780		<0.635						10.689													235												24.574											517.450											5.279																	34.326			2.184			7.131				0.095			148.906			<0.880									<0.207												<0.096					1024.278			11.30	0.712																					<6.539																																															6.79														-1.34						
B25E0884	15-11-1993	C1993-11-8084		nee	12530.0	14530.0	15-11-1993																																																																																																																																																																																																																																																													-1.33						
B25E0884	15-11-1993	C1993-11-1238		nee	23040.0	25040.0	15-11-1993																		.019							.3				295.26											313.26							<.04					580.39		<.78		<.64																															24.57											517.45											5.28																	34.33			2.18			9.198				.443			148.91			<.88									<.21												<.1									2.18					20	9.23															<6.54																																																																		
B25E0884	15-11-1993	C1993-11-8081		nee	8080.0	10080.0	15-11-1993																			75.544					7.417				127.030											175.683							0.079					953.463		2.496		<0.635						32.967													379.67												17.163											898.825											19.081																	70.912			1.338			11.866				0.042			628.294			2.406									0.414												<0.096					756.161			11.30	2.013																					<6.539																																															6.87														-0.83						
B25E0884	15-11-1993	T1989-00-3387		nee	8080.0	10080.0	15-11-1993																																								176												953																					4540														17.16								20.5			899											19.1																	71			1.34			15.3				.19			628																								<1																																																																											6.95																					
B25E0884	15-11-1993	T1989-00-3387		nee	8080.0	10080.0	09-02-1994																									14.7																																																																																																																																																																																																																																										
B25E0884	15-11-1993	L1993-11-0113		nee	8080.0	10080.0																					76					7.42				127											176							.079					953		2.5		<.6																								4290							17.2											899											19.1																	70.9			1.34			15.3				.19			628			2.41							6.16		.4																	756												11.3													<6.5																																																6.87																		
B25E0884	15-11-1993	L1993-11-0114		nee	23040.0	25040.0																					19					.3				295											313							<.045					580		<.78		<.6																								2650							24.6											517											5.3																	34.3			2.18			9.2				.42			149			<.88							2.18		<.2																	1024												11.3													<6.5																																																6.79																		
B25E0884	20-05-1992	C1992-05-8259		nee	23040.0	25040.0	20-05-1992																			76.96					0.40				345.49											316.81							<0.02					573.08		0.68		<0.64						7.64											231.00														25.68											510.13											5.25																	37.35			2.20			6.70				<0.03			135.59			<0.59									0.06												<0.19					1023.85				0.64																					8.77																																														6.80																					
B25E0884	20-05-1992	C1992-05-1204		nee	23040.0	25040.0	20-05-1992																		.077							.4				345.49											316.81							<.02					573.08		.68		<.64																231															25.68											510.13											5.25																	37.35			2.2			8.643				<.133			135.59			<.59									.06												<.19									1.965					20	9.44															8.77																																													6.8																					
B25E0884	20-05-1992	L1992-05-0241		nee	8080.0	10080.0																					37					1.04				154											249							<.02					1280		1.51		<.6																							4540								19.6											780											11.2																	55.4			1.72			16.9				<.13			731			2.58							3.89		.9																	883																									33.4																																															6.95																			
B25E0884	20-05-1992	C1992-05-1203		nee	8080.0	10080.0	20-05-1992																		.037							1.04				154.18											248.88							<.02					1280.35		1.51		<.64																454															19.56											779.84											11.24																	55.42			1.72			16.899				<.133			730.85			2.58									.85												.48									3.899					20	8.49															33.37																																													6.95																					
B25E0884	20-05-1992	C1992-05-8260		nee	8080.0	10080.0	20-05-1992																			37.23					1.04				154.18											248.88							<0.02					1280.35		1.51		<0.64						24.54											454.00														19.56											779.84											11.24																	55.42			1.72			13.10				<0.03			730.85			2.58									0.85												0.48					883.22				1.27																					33.37																																														6.95																					
B25E0884	20-05-1992	L1992-05-0242		nee	23040.0	25040.0																					77					.4				345											317							<.02					573		.68		<.6																							2310								25.7											510											5.3																	37.3			2.2			8.64				<.13			136			<.59							1.96		.1																	1024																									8.8																																															6.8																			
B25E0884	24-03-1992	L1992-03-7580		nee	23040.0	25040.0																																																																																	2190																																																																																																				11.5																																																													7.07																		
B25E0884	24-03-1992	L1992-03-7579		nee	8080.0	10080.0																																																																																	4050																20.5																																																																																				11.3																																																													6.99																		
B25E0884	07-11-1991	C1991-11-8064		nee	12530.0	14530.0	07-11-1991																			<13.49					3.82				301.69											235.23							<0.02					1493.66		2.08		0.89						21.46											507.00														15.37											784.46											6.00																	44.30			3.36			11.05				<0.03			903.45			5.22									0.12												0.77					848.42				0.61																					37.60																																														6.88																					
B25E0884	07-11-1991	T1989-00-3388		nee	12530.0	14530.0	07-11-1991																																								235												1494																					5070														15.37								13.6			784											6																	44			3.36			14.3				.13			904																								1																																																																											6.88																					
B25E0884	07-11-1991	T1989-00-3388		nee	12530.0	14530.0	09-02-1994																									10.5																																																																																																																																																																																																																																										
B25E0884	07-11-1991	C1991-11-1034		nee	8080.0	10080.0	07-11-1991																		.014							.64				130.72											214.35							<.02					1284.35		2.39		<.64																411															11.62											854.61											15.49																	65.05			2.02			16.564				.133			682.57			2.46									.97												1.54									4.82					20	8.03															13.21																																													6.86																					
B25E0884	07-11-1991	L1991-11-7619		nee	8080.0	10080.0																					14					.64				131											214							<.02					1284		2.39		<.6																							4110								11.6											855											15.5																	65.1			2.02			16.6				.13			683			2.46							4.8		1												2					577																									13.2																																															6.86																			
B25E0884	07-11-1991	L1991-11-7620		nee	12530.0	14530.0																					<13					3.82				302											235							<.02					1494		2.08		.9																							5070								15.4											784											6																	44.3			3.36			14.3				<.13			904			5.22							1.87		.1												1					848																									37.6																																															6.88																			
B25E0884	07-11-1991	C1991-11-8063		nee	8080.0	10080.0	07-11-1991																			14.45					0.64				130.72											214.35							<0.02					1284.35		2.39		<0.64						25.69											411.00														11.62											854.61											15.49																	65.05			2.02			12.84				0.03			682.57			2.46									0.97												1.54					577.37				1.57																					13.21																																														6.86																					
B25E0884	07-11-1991	C1991-11-8065		nee	23040.0	25040.0	07-11-1991																			<13.49					0.41				270.87											301.46							<0.02					473.57		<0.52		<0.64						7.14											201.00														25.16											503.86											5.28																	36.31			2.07			8.29				0.04			94.40			<0.59									0.10												0.29					981.52				1.30																					8.74																																														6.77																					
B25E0884	07-11-1991	C1991-11-1036		nee	23040.0	25040.0	07-11-1991																		<.013							.41				270.87											301.46							<.02					473.57		<.52		<.64																201															25.16											503.86											5.28																	36.31			2.07			10.694				.177			94.4			<.59									.1												.29									3.991					20	9.01															8.74																																													6.77																					
B25E0884	07-11-1991	C1991-11-1035		nee	12530.0	14530.0	07-11-1991																		<.013							3.82				301.69											235.23							<.02					1493.66		2.08		.89																507															15.37											784.46											6																	44.3			3.36			14.255				<.133			903.45			5.22									.12												.77									1.873					20	7.69															37.6																																													6.88																					
B25E0884	07-11-1991	L1991-11-7621		nee	23040.0	25040.0																					<13					.41				271											302							<.02					474		<.52		<.6																							2010								25.2											504											5.3																	36.3			2.07			10.7				.18			94.4			<.59							3.98		.1																	982																									8.7																																															6.77																			
